Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,54.45,55.01,53.01,53.33,3211133.0,0.0,1.0,54.45,55.01,53.01,53.33,3211133.0
2018-03-26,53.52,54.16,52.7,54.05,1755945.0,0.0,1.0,53.52,54.16,52.7,54.05,1755945.0
2018-03-23,54.04,54.345,52.72,52.75,2794485.0,0.0,1.0,54.04,54.345,52.72,52.75,2794485.0
2018-03-22,55.09,55.67,54.06,54.105,2909468.0,0.0,1.0,55.09,55.67,54.06,54.105,2909468.0
2018-03-21,56.0,56.52,55.54,55.76,1930002.0,0.0,1.0,56.0,56.52,55.54,55.76,1930002.0
2018-03-20,54.4,56.32,54.39,56.15,2026750.0,0.0,1.0,54.4,56.32,54.39,56.15,2026750.0
2018-03-19,54.64,54.8,53.2896,54.43,2103378.0,0.0,1.0,54.64,54.8,53.2896,54.43,2103378.0
2018-03-16,54.65,55.44,54.17,55.3,2307662.0,0.0,1.0,54.65,55.44,54.17,55.3,2307662.0
2018-03-15,55.04,55.36,54.18,54.43,1390190.0,0.0,1.0,55.04,55.36,54.18,54.43,1390190.0
2018-03-14,54.76,55.49,54.38,54.82,1955948.0,0.0,1.0,54.76,55.49,54.38,54.82,1955948.0
2018-03-13,56.82,57.18,54.77,54.93,1461776.0,0.0,1.0,56.82,57.18,54.77,54.93,1461776.0
2018-03-12,56.41,57.45,56.3,56.31,1562201.0,0.0,1.0,56.41,57.45,56.3,56.31,1562201.0
2018-03-09,55.05,56.4,54.59,56.09,1498338.0,0.0,1.0,55.05,56.4,54.59,56.09,1498338.0
2018-03-08,55.01,55.18,54.06,54.66,1558308.0,0.0,1.0,55.01,55.18,54.06,54.66,1558308.0
2018-03-07,52.76,55.08,52.6,54.9,2089773.0,0.0,1.0,52.76,55.08,52.6,54.9,2089773.0
2018-03-06,52.53,53.67,52.5257,53.1,1887584.0,0.0,1.0,52.53,53.67,52.5257,53.1,1887584.0
2018-03-05,52.44,52.92,51.81,52.52,1469036.0,0.0,1.0,52.44,52.92,51.81,52.52,1469036.0
2018-03-02,52.34,53.18,51.4644,53.02,1661883.0,0.0,1.0,52.34,53.18,51.4644,53.02,1661883.0
2018-03-01,53.47,53.95,52.451,53.0,1800149.0,0.045,1.0,53.47,53.95,52.451,53.0,1800149.0
2018-02-28,53.55,54.65,53.44,53.71,1799541.0,0.0,1.0,53.55,54.65,53.44,53.71,1799541.0
2018-02-27,54.0,54.58,53.3301,53.55,1675708.0,0.0,1.0,54.0,54.58,53.3301,53.55,1675708.0
2018-02-26,54.28,54.37,53.12,53.88,2985974.0,0.0,1.0,54.28,54.37,53.12,53.88,2985974.0
2018-02-23,54.22,55.19,53.63,54.2,1958964.0,0.0,1.0,54.22,55.19,53.63,54.2,1958964.0
2018-02-22,56.9,56.96,53.66,54.52,3780474.0,0.0,1.0,56.9,56.96,53.66,54.52,3780474.0
2018-02-21,56.69,58.03,56.5969,56.965,4419046.0,0.0,1.0,56.69,58.03,56.5969,56.965,4419046.0
2018-02-20,55.0,57.18,55.0,56.44,3742913.0,0.0,1.0,55.0,57.18,55.0,56.44,3742913.0
2018-02-16,52.75,56.4,52.0,55.77,8218240.0,0.0,1.0,52.75,56.4,52.0,55.77,8218240.0
2018-02-15,59.87,60.47,57.13,58.8,2496452.0,0.0,1.0,59.87,60.47,57.13,58.8,2496452.0
2018-02-14,55.04,58.14,55.04,58.05,2684569.0,0.0,1.0,55.04,58.14,55.04,58.05,2684569.0
2018-02-13,54.77,56.15,54.55,55.17,2352389.0,0.0,1.0,54.77,56.15,54.55,55.17,2352389.0
2018-02-12,55.79,56.0,53.97,54.89,2016520.0,0.0,1.0,55.79,56.0,53.97,54.89,2016520.0
2018-02-09,54.24,55.52,52.545,54.99,2365076.0,0.0,1.0,54.24,55.52,52.545,54.99,2365076.0
