Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,77.64,77.94,76.48,76.92,3267798.0,0.0,1.0,77.64,77.94,76.48,76.92,3267798.0
2018-03-26,75.6,77.5,75.42,77.32,2027986.0,0.0,1.0,75.6,77.5,75.42,77.32,2027986.0
2018-03-23,75.14,76.43,74.8,74.84,2276942.0,0.0,1.0,75.14,76.43,74.8,74.84,2276942.0
2018-03-22,76.67,77.26,74.87,75.04,2352728.0,0.0,1.0,76.67,77.26,74.87,75.04,2352728.0
2018-03-21,77.11,78.71,77.03,77.41,2193011.0,0.0,1.0,77.11,78.71,77.03,77.41,2193011.0
2018-03-20,77.35,77.66,76.83,77.31,2004776.0,0.0,1.0,77.35,77.66,76.83,77.31,2004776.0
2018-03-19,76.58,77.66,76.5,77.04,2566177.0,0.0,1.0,76.58,77.66,76.5,77.04,2566177.0
2018-03-16,76.76,77.49,76.26,76.75,3796318.0,0.0,1.0,76.76,77.49,76.26,76.75,3796318.0
2018-03-15,77.22,77.55,76.5,76.82,2598438.0,0.0,1.0,77.22,77.55,76.5,76.82,2598438.0
2018-03-14,77.42,77.58,76.68,77.18,2468391.0,0.0,1.0,77.42,77.58,76.68,77.18,2468391.0
2018-03-13,77.18,78.08,76.72,77.0,2419692.0,0.0,1.0,77.18,78.08,76.72,77.0,2419692.0
2018-03-12,76.87,77.15,76.01,76.43,3967116.0,0.0,1.0,76.87,77.15,76.01,76.43,3967116.0
2018-03-09,76.13,77.05,75.22,77.01,3402980.0,0.0,1.0,76.13,77.05,75.22,77.01,3402980.0
2018-03-08,75.95,76.93,74.91,75.22,3617256.0,0.0,1.0,75.95,76.93,74.91,75.22,3617256.0
2018-03-07,76.67,77.31,73.76,75.4,8768165.0,0.0,1.0,76.67,77.31,73.76,75.4,8768165.0
2018-03-06,78.5,80.67,78.155,80.51,4420893.0,0.0,1.0,78.5,80.67,78.155,80.51,4420893.0
2018-03-05,78.36,78.37,76.73,77.98,2756778.0,0.0,1.0,78.36,78.37,76.73,77.98,2756778.0
2018-03-02,77.18,79.0499,76.6826,78.42,2603788.0,0.0,1.0,77.18,79.0499,76.6826,78.42,2603788.0
2018-03-01,77.93,79.31,76.9,77.95,3033118.0,0.0,1.0,77.93,79.31,76.9,77.95,3033118.0
2018-02-28,78.9,80.7,78.08,78.09,3475117.0,0.0,1.0,78.9,80.7,78.08,78.09,3475117.0
2018-02-27,80.22,81.16,77.52,77.54,3171023.0,0.0,1.0,80.22,81.16,77.52,77.54,3171023.0
2018-02-26,79.31,80.02,78.66,79.95,2046145.0,0.0,1.0,79.31,80.02,78.66,79.95,2046145.0
2018-02-23,79.05,79.38,76.88,78.87,3129778.0,0.0,1.0,79.05,79.38,76.88,78.87,3129778.0
2018-02-22,78.22,79.56,78.1575,78.5,1243046.0,0.0,1.0,78.22,79.56,78.1575,78.5,1243046.0
2018-02-21,78.04,79.64,77.81,77.88,1745874.0,0.0,1.0,78.04,79.64,77.81,77.88,1745874.0
2018-02-20,79.69,79.92,77.94,77.98,2235114.0,0.0,1.0,79.69,79.92,77.94,77.98,2235114.0
2018-02-16,80.48,80.94,79.7,80.17,2338694.0,0.0,1.0,80.48,80.94,79.7,80.17,2338694.0
2018-02-15,79.16,80.63,78.72,80.61,2150326.0,0.0,1.0,79.16,80.63,78.72,80.61,2150326.0
2018-02-14,77.15,79.24,76.94,78.93,1975979.0,0.0,1.0,77.15,79.24,76.94,78.93,1975979.0
2018-02-13,77.13,77.99,76.61,77.82,1364648.0,0.0,1.0,77.13,77.99,76.61,77.82,1364648.0
2018-02-12,77.72,78.15,76.23,77.35,2275248.0,0.0,1.0,77.72,78.15,76.23,77.35,2275248.0
2018-02-09,75.53,78.02,74.0,77.26,3447183.0,0.0,1.0,75.53,78.02,74.0,77.26,3447183.0
2018-02-08,77.87,78.7,75.02,75.04,2500256.0,0.0,1.0,77.87,78.7,75.02,75.04,2500256.0
2018-02-07,77.7,79.34,77.2,77.99,2196918.0,0.0,1.0,77.7,79.34,77.2,77.99,2196918.0
2018-02-06,75.47,78.86,74.0,78.33,2924712.0,0.0,1.0,75.47,78.86,74.0,78.33,2924712.0
2018-02-05,79.03,80.28,77.06,77.35,2864236.0,0.0,1.0,79.03,80.28,77.06,77.35,2864236.0
2018-02-02,81.49,81.93,79.0,79.08,3186458.0,0.0,1.0,81.49,81.93,79.0,79.08,3186458.0
2018-02-01,81.71,83.18,81.6,82.0,2182801.0,0.0,1.0,81.71,83.18,81.6,82.0,2182801.0
2018-01-31,83.51,83.68,81.66,82.41,3206252.0,0.0,1.0,83.51,83.68,81.66,82.41,3206252.0
2018-01-30,84.8,85.2,83.24,83.39,2105036.0,0.0,1.0,84.8,85.2,83.24,83.39,2105036.0
2018-01-29,85.04,85.66,84.2389,84.57,1686817.0,0.0,1.0,85.04,85.66,84.2389,84.57,1686817.0
2018-01-26,84.87,85.51,84.16,85.46,1794322.0,0.0,1.0,84.87,85.51,84.16,85.46,1794322.0
2018-01-25,85.07,85.11,83.81,84.39,1099063.0,0.0,1.0,85.07,85.11,83.81,84.39,1099063.0
2018-01-24,84.63,85.32,83.45,84.59,1713928.0,0.0,1.0,84.63,85.32,83.45,84.59,1713928.0
2018-01-23,84.22,84.66,83.85,84.58,1458358.0,0.0,1.0,84.22,84.66,83.85,84.58,1458358.0
2018-01-22,83.87,84.559,83.47,84.48,1700728.0,0.0,1.0,83.87,84.559,83.47,84.48,1700728.0
2018-01-19,82.16,83.9,81.735,83.76,2432796.0,0.0,1.0,82.16,83.9,81.735,83.76,2432796.0
2018-01-18,81.51,82.46,81.35,81.65,2010488.0,0.0,1.0,81.51,82.46,81.35,81.65,2010488.0
2018-01-17,81.58,82.22,81.18,81.3,2375140.0,0.0,1.0,81.58,82.22,81.18,81.3,2375140.0
2018-01-16,84.08,84.26,80.6,80.87,2564645.0,0.0,1.0,84.08,84.26,80.6,80.87,2564645.0
2018-01-12,82.92,83.93,82.81,83.58,2180740.0,0.0,1.0,82.92,83.93,82.81,83.58,2180740.0
2018-01-11,80.96,82.62,80.38,82.56,2240451.0,0.0,1.0,80.96,82.62,80.38,82.56,2240451.0
2018-01-10,80.38,81.21,79.92,80.68,3342901.0,0.0,1.0,80.38,81.21,79.92,80.68,3342901.0
2018-01-09,81.17,81.17,79.57,80.51,1676333.0,0.0,1.0,81.17,81.17,79.57,80.51,1676333.0
2018-01-08,81.96,82.12,80.835,81.22,3312268.0,0.0,1.0,81.96,82.12,80.835,81.22,3312268.0
2018-01-05,81.32,82.12,80.97,81.97,2198393.0,0.0,1.0,81.32,82.12,80.97,81.97,2198393.0
2018-01-04,80.46,81.01,79.61,80.91,2307146.0,0.0,1.0,80.46,81.01,79.61,80.91,2307146.0
2018-01-03,80.64,80.66,79.62,80.45,2935039.0,0.0,1.0,80.64,80.66,79.62,80.45,2935039.0
2018-01-02,80.86,81.36,80.43,80.5,2087139.0,0.0,1.0,80.86,81.36,80.43,80.5,2087139.0
2017-12-29,80.56,81.48,80.22,80.25,1744227.0,0.0,1.0,80.56,81.48,80.22,80.25,1744227.0
2017-12-28,80.92,80.92,80.02,80.61,807807.0,0.0,1.0,80.92,80.92,80.02,80.61,807807.0
2017-12-27,81.24,81.24,80.56,80.73,945273.0,0.0,1.0,81.24,81.24,80.56,80.73,945273.0
2017-12-26,80.55,81.13,80.4,80.96,1307838.0,0.0,1.0,80.55,81.13,80.4,80.96,1307838.0
