Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-07,11.01,11.23,11.0,11.05,2633159.0,0.0,1.0,11.01,11.23,11.0,11.05,2633159.0
2018-03-06,11.23,11.25,10.99,11.1,2177188.0,0.0,1.0,11.23,11.25,10.99,11.1,2177188.0
2018-03-05,10.97,11.275,10.93,11.22,3365126.0,0.0,1.0,10.97,11.275,10.93,11.22,3365126.0
2018-03-02,10.84,11.12,10.69,11.08,3040787.0,0.0,1.0,10.84,11.12,10.69,11.08,3040787.0
2018-03-01,10.96,11.03,10.84,10.98,3105950.0,0.0,1.0,10.96,11.03,10.84,10.98,3105950.0
2017-04-25,12.86,12.955,12.68,12.71,2401514.0,0.0,1.0,12.86,12.955,12.68,12.71,2401514.0
2017-04-24,13.08,13.14,12.74,12.75,3625299.0,0.0,1.0,13.08,13.14,12.74,12.75,3625299.0
2017-04-21,12.69,12.955,12.59,12.8,4583152.0,0.0,1.0,12.69,12.955,12.59,12.8,4583152.0
2017-04-20,12.9,13.2,12.29,12.7,10797823.0,0.0,1.0,12.9,13.2,12.29,12.7,10797823.0
2017-04-19,11.6,11.6518,11.41,11.53,3495707.0,0.0,1.0,11.6,11.6518,11.41,11.53,3495707.0
2017-04-18,11.67,11.74,11.37,11.49,4899028.0,0.0,1.0,11.67,11.74,11.37,11.49,4899028.0
2017-04-17,11.6,11.74,11.445,11.73,3452749.0,0.0,1.0,11.6,11.74,11.445,11.73,3452749.0
2017-04-13,11.81,11.9,11.54,11.555,2479760.0,0.0,1.0,11.81,11.9,11.54,11.555,2479760.0
2017-04-12,12.03,12.13,11.81,11.84,1965368.0,0.0,1.0,12.03,12.13,11.81,11.84,1965368.0
2017-04-11,11.91,12.13,11.83,12.09,2713138.0,0.0,1.0,11.91,12.13,11.83,12.09,2713138.0
2017-04-10,12.01,12.15,11.855,11.95,2251705.0,0.0,1.0,12.01,12.15,11.855,11.95,2251705.0
2017-04-07,11.76,12.15,11.74,12.03,2897020.0,0.0,1.0,11.76,12.15,11.74,12.03,2897020.0
2017-04-06,11.65,11.94,11.52,11.9,2394958.0,0.0,1.0,11.65,11.94,11.52,11.9,2394958.0
2017-04-05,12.05,12.175,11.56,11.57,2562013.0,0.0,1.0,12.05,12.175,11.56,11.57,2562013.0
2017-04-04,11.95,12.03,11.88,11.9,1929743.0,0.0,1.0,11.95,12.03,11.88,11.9,1929743.0
2017-04-03,12.1,12.14,11.81,11.98,2773183.0,0.0,1.0,12.1,12.14,11.81,11.98,2773183.0
2017-03-31,12.26,12.26,12.09,12.1,3610823.0,0.0,1.0,12.26,12.26,12.09,12.1,3610823.0
2017-03-30,12.15,12.39,12.13,12.31,5190465.0,0.0,1.0,12.15,12.39,12.13,12.31,5190465.0
2017-03-29,12.19,12.3458,12.11,12.15,4342764.0,0.0,1.0,12.19,12.3458,12.11,12.15,4342764.0
2017-03-28,11.79,12.43,11.78,12.21,4338795.0,0.0,1.0,11.79,12.43,11.78,12.21,4338795.0
2017-03-27,11.41,11.88,11.32,11.85,3009099.0,0.0,1.0,11.41,11.88,11.32,11.85,3009099.0
2017-03-24,11.76,11.91,11.57,11.69,2245736.0,0.0,1.0,11.76,11.91,11.57,11.69,2245736.0
2017-03-23,11.54,11.82,11.54,11.74,3956001.0,0.0,1.0,11.54,11.82,11.54,11.74,3956001.0
2017-03-22,11.53,11.6,11.31,11.53,3933614.0,0.0,1.0,11.53,11.6,11.31,11.53,3933614.0
2017-03-21,12.31,12.325,11.585,11.6,5685246.0,0.0,1.0,12.31,12.325,11.585,11.6,5685246.0
2017-03-20,11.67,12.26,11.67,12.23,2782018.0,0.0,1.0,11.67,12.26,11.67,12.23,2782018.0
2017-03-17,12.33,12.4,12.155,12.28,4842987.0,0.0,1.0,12.33,12.4,12.155,12.28,4842987.0
2017-03-16,12.26,12.4,12.25,12.35,2861315.0,0.0,1.0,12.26,12.4,12.25,12.35,2861315.0
2017-03-15,12.2,12.23,12.06,12.22,3210969.0,0.0,1.0,12.2,12.23,12.06,12.22,3210969.0
2017-03-14,11.84,12.07,11.76,12.07,2895644.0,0.0,1.0,11.84,12.07,11.76,12.07,2895644.0
2017-03-13,11.81,11.965,11.53,11.92,3528527.0,0.0,1.0,11.81,11.965,11.53,11.92,3528527.0
2017-03-10,11.64,11.86,11.56,11.84,3427012.0,0.0,1.0,11.64,11.86,11.56,11.84,3427012.0
2017-03-09,11.67,11.72,11.505,11.55,1455563.0,0.0,1.0,11.67,11.72,11.505,11.55,1455563.0
2017-03-08,11.75,11.84,11.56,11.58,2542523.0,0.0,1.0,11.75,11.84,11.56,11.58,2542523.0
2017-03-07,11.72,11.87,11.63,11.68,1970604.0,0.0,1.0,11.72,11.87,11.63,11.68,1970604.0
2017-03-06,11.85,11.85,11.54,11.76,2804467.0,0.0,1.0,11.85,11.85,11.54,11.76,2804467.0
2017-03-03,11.93,12.0,11.66,11.955,2096155.0,0.0,1.0,11.93,12.0,11.66,11.955,2096155.0
2017-03-02,12.13,12.13,11.88,11.91,2883290.0,0.0,1.0,12.13,12.13,11.88,11.91,2883290.0
2017-03-01,12.33,12.51,12.105,12.14,5463145.0,0.0,1.0,12.33,12.51,12.105,12.14,5463145.0
2017-02-28,12.06,12.14,11.87,11.99,3432875.0,0.0,1.0,12.06,12.14,11.87,11.99,3432875.0
2017-02-27,11.98,12.22,11.86,12.21,2736446.0,0.0,1.0,11.98,12.22,11.86,12.21,2736446.0
2017-02-24,11.79,12.0001,11.67,11.96,2947270.0,0.0,1.0,11.79,12.0001,11.67,11.96,2947270.0
2017-02-23,12.11,12.11,11.76,11.92,2800208.0,0.0,1.0,12.11,12.11,11.76,11.92,2800208.0
2017-02-22,12.1,12.21,11.97,12.06,3268503.0,0.0,1.0,12.1,12.21,11.97,12.06,3268503.0
2017-02-21,12.28,12.35,12.09,12.14,3037908.0,0.0,1.0,12.28,12.35,12.09,12.14,3037908.0
2017-02-17,12.23,12.27,12.11,12.23,2695211.0,0.0,1.0,12.23,12.27,12.11,12.23,2695211.0
2017-02-16,12.47,12.54,12.2,12.35,2050188.0,0.0,1.0,12.47,12.54,12.2,12.35,2050188.0
2017-02-15,12.45,12.535,12.35,12.47,2293653.0,0.0,1.0,12.45,12.535,12.35,12.47,2293653.0
2017-02-14,12.39,12.525,12.29,12.45,2030019.0,0.0,1.0,12.39,12.525,12.29,12.45,2030019.0
2017-02-13,12.51,12.6,12.43,12.44,1612062.0,0.0,1.0,12.51,12.6,12.43,12.44,1612062.0
2017-02-10,12.44,12.575,12.33,12.43,3774613.0,0.0,1.0,12.44,12.575,12.33,12.43,3774613.0
2017-02-09,12.05,12.46,11.995,12.4,4404275.0,0.0,1.0,12.05,12.46,11.995,12.4,4404275.0
2017-02-08,11.88,12.03,11.59,12.03,5596437.0,0.0,1.0,11.88,12.03,11.59,12.03,5596437.0
2017-02-07,12.07,12.07,11.89,11.93,1866258.0,0.0,1.0,12.07,12.07,11.89,11.93,1866258.0
2017-02-06,11.96,12.135,11.9,12.01,1909960.0,0.0,1.0,11.96,12.135,11.9,12.01,1909960.0
2017-02-03,12.04,12.075,11.9,12.04,3162998.0,0.0,1.0,12.04,12.075,11.9,12.04,3162998.0
2017-02-02,11.79,11.96,11.72,11.86,3642611.0,0.0,1.0,11.79,11.96,11.72,11.86,3642611.0
2017-02-01,11.97,12.16,11.74,11.84,2575938.0,0.0,1.0,11.97,12.16,11.74,11.84,2575938.0
2017-01-31,11.72,11.96,11.56,11.88,5217528.0,0.0,1.0,11.72,11.96,11.56,11.88,5217528.0
2017-01-30,11.64,11.75,11.4345,11.73,4416184.0,0.0,1.0,11.64,11.75,11.4345,11.73,4416184.0
2017-01-27,11.82,11.87,11.61,11.79,2744903.0,0.0,1.0,11.82,11.87,11.61,11.79,2744903.0
2017-01-26,11.79,11.85,11.74,11.83,2452167.0,0.0,1.0,11.79,11.85,11.74,11.83,2452167.0
2017-01-25,11.8,11.87,11.62,11.82,3819465.0,0.0,1.0,11.8,11.87,11.62,11.82,3819465.0
2017-01-24,11.41,11.77,11.36,11.72,4443499.0,0.0,1.0,11.41,11.77,11.36,11.72,4443499.0
2017-01-23,11.4,11.55,11.31,11.36,3248092.0,0.0,1.0,11.4,11.55,11.31,11.36,3248092.0
2017-01-20,11.34,11.54,11.34,11.47,3531124.0,0.0,1.0,11.34,11.54,11.34,11.47,3531124.0
2017-01-19,11.0,11.56,10.71,11.35,5492230.0,0.0,1.0,11.0,11.56,10.71,11.35,5492230.0
2017-01-18,11.0,11.16,10.87,11.04,5116446.0,0.0,1.0,11.0,11.16,10.87,11.04,5116446.0
2017-01-17,11.28,11.34,10.91,10.96,3319425.0,0.0,1.0,11.28,11.34,10.91,10.96,3319425.0
2017-01-13,11.27,11.47,11.27,11.36,4075499.0,0.0,1.0,11.27,11.47,11.27,11.36,4075499.0
2017-01-12,11.26,11.39,10.99,11.18,3062698.0,0.0,1.0,11.26,11.39,10.99,11.18,3062698.0
2017-01-11,11.4,11.42,11.145,11.35,3297667.0,0.0,1.0,11.4,11.42,11.145,11.35,3297667.0
2017-01-10,11.28,11.42,11.24,11.35,3470768.0,0.0,1.0,11.28,11.42,11.24,11.35,3470768.0
2017-01-09,11.23,11.3,11.04,11.26,2092724.0,0.0,1.0,11.23,11.3,11.04,11.26,2092724.0
2017-01-06,11.46,11.5,11.26,11.28,4139419.0,0.0,1.0,11.46,11.5,11.26,11.28,4139419.0
2017-01-05,11.44,11.61,11.18,11.36,3960904.0,0.0,1.0,11.44,11.61,11.18,11.36,3960904.0
2017-01-04,11.37,11.58,11.37,11.5,5352475.0,0.0,1.0,11.37,11.58,11.37,11.5,5352475.0
2017-01-03,11.11,11.365,11.05,11.35,5407158.0,0.0,1.0,11.11,11.365,11.05,11.35,5407158.0
