Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,50.94,51.93,50.44,51.69,805579.0,0.0,1.0,50.94,51.93,50.44,51.69,805579.0
2018-03-26,50.11,50.86,49.74,50.73,535643.0,0.0,1.0,50.11,50.86,49.74,50.73,535643.0
2018-03-23,50.69,50.92,49.78,49.98,837255.0,0.0,1.0,50.69,50.92,49.78,49.98,837255.0
2018-03-22,50.8,51.53,50.48,50.56,1124349.0,0.0,1.0,50.8,51.53,50.48,50.56,1124349.0
2018-03-21,50.53,51.21,50.49,50.83,691762.0,0.0,1.0,50.53,51.21,50.49,50.83,691762.0
2018-03-20,50.82,51.08,50.25,50.41,575120.0,0.0,1.0,50.82,51.08,50.25,50.41,575120.0
2018-03-19,51.1,51.2,50.5,50.7,699072.0,0.0,1.0,51.1,51.2,50.5,50.7,699072.0
2018-03-16,50.34,51.19,50.13,51.1,1691061.0,0.0,1.0,50.34,51.19,50.13,51.1,1691061.0
2018-03-15,50.26,50.76,49.9,50.11,793075.0,0.0,1.0,50.26,50.76,49.9,50.11,793075.0
2018-03-14,50.06,50.65,49.89,50.34,753119.0,0.0,1.0,50.06,50.65,49.89,50.34,753119.0
2018-03-13,49.9,50.225,49.6,49.91,962346.0,0.0,1.0,49.9,50.225,49.6,49.91,962346.0
2018-03-12,49.91,50.18,49.64,49.73,875218.0,0.0,1.0,49.91,50.18,49.64,49.73,875218.0
2018-03-09,49.29,49.95,49.29,49.75,933764.0,0.0,1.0,49.29,49.95,49.29,49.75,933764.0
2018-03-08,49.05,49.77,49.035,49.55,684365.0,0.0,1.0,49.05,49.77,49.035,49.55,684365.0
2018-03-07,49.56,49.9,49.0,49.33,923556.0,0.0,1.0,49.56,49.9,49.0,49.33,923556.0
2018-03-06,50.09,50.09,49.43,49.72,910414.0,0.0,1.0,50.09,50.09,49.43,49.72,910414.0
2018-03-05,48.69,50.26,48.54,50.15,768710.0,0.0,1.0,48.69,50.26,48.54,50.15,768710.0
2018-03-02,48.89,49.65,48.47,48.85,470224.0,0.0,1.0,48.89,49.65,48.47,48.85,470224.0
2018-03-01,48.95,50.07,48.81,49.16,1636953.0,0.0,1.0,48.95,50.07,48.81,49.16,1636953.0
2018-02-28,49.33,49.62,48.71,48.73,636915.0,0.0,1.0,49.33,49.62,48.71,48.73,636915.0
2018-02-27,50.47,50.65,49.11,49.12,777335.0,0.0,1.0,50.47,50.65,49.11,49.12,777335.0
2018-02-26,50.91,50.96,49.77,50.46,837369.0,0.0,1.0,50.91,50.96,49.77,50.46,837369.0
2018-02-23,49.61,50.81,49.61,50.76,1052210.0,0.0,1.0,49.61,50.81,49.61,50.76,1052210.0
2018-02-22,48.75,49.86,48.71,49.7,784048.0,0.0,1.0,48.75,49.86,48.71,49.7,784048.0
2018-02-21,49.59,50.1,48.9,48.93,398828.0,0.0,1.0,49.59,50.1,48.9,48.93,398828.0
2018-02-20,50.49,50.68,49.51,49.65,603274.0,0.0,1.0,50.49,50.68,49.51,49.65,603274.0
2018-02-16,50.5,50.9,50.31,50.71,516818.0,0.0,1.0,50.5,50.9,50.31,50.71,516818.0
