Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,74.0,74.8949,73.275,73.7,14625541.0,0.0,1.0,74.0,74.8949,73.275,73.7,14625541.0
2018-03-26,73.65,74.15,72.7548,74.0,14894438.0,0.0,1.0,73.65,74.15,72.7548,74.0,14894438.0
2018-03-23,73.81,74.21,72.67,72.89,19069634.0,0.0,1.0,73.81,74.21,72.67,72.89,19069634.0
2018-03-22,74.42,74.7,73.39,73.5,17118037.0,0.0,1.0,74.42,74.7,73.39,73.5,17118037.0
2018-03-21,74.23,75.64,73.98,75.04,14813757.0,0.0,1.0,74.23,75.64,73.98,75.04,14813757.0
2018-03-20,74.22,74.7,73.95,73.99,12832959.0,0.0,1.0,74.22,74.7,73.95,73.99,12832959.0
2018-03-19,75.0,75.01,73.865,74.15,12112007.0,0.0,1.0,75.0,75.01,73.865,74.15,12112007.0
2018-03-16,74.36,75.12,74.36,75.12,30035185.0,0.0,1.0,74.36,75.12,74.36,75.12,30035185.0
2018-03-15,74.35,75.0,74.1,74.42,14431472.0,0.0,1.0,74.35,75.0,74.1,74.42,14431472.0
2018-03-14,74.64,74.79,73.53,73.6,14683884.0,0.0,1.0,74.64,74.79,73.53,73.6,14683884.0
2018-03-13,75.33,75.82,74.25,74.53,13408868.0,0.0,1.0,75.33,75.82,74.25,74.53,13408868.0
2018-03-12,74.87,75.58,74.69,75.24,14070886.0,0.0,1.0,74.87,75.58,74.69,75.24,14070886.0
2018-03-09,74.82,75.06,74.21,74.56,19385382.0,0.0,1.0,74.82,75.06,74.21,74.56,19385382.0
2018-03-08,74.5,74.77,73.69,74.12,18633737.0,0.0,1.0,74.5,74.77,73.69,74.12,18633737.0
2018-03-07,75.0,75.24,73.56,74.26,27255463.0,0.0,1.0,75.0,75.24,73.56,74.26,27255463.0
2018-03-06,76.67,76.98,75.861,76.18,10696030.0,0.0,1.0,76.67,76.98,75.861,76.18,10696030.0
2018-03-05,75.23,76.56,75.12100000000001,76.27,14890975.0,0.0,1.0,75.23,76.56,75.12100000000001,76.27,14890975.0
2018-03-02,74.89,75.87,74.48,75.55,15630250.0,0.0,1.0,74.89,75.87,74.48,75.55,15630250.0
2018-03-01,75.53,76.6808,74.855,75.2,15696665.0,0.0,1.0,75.53,76.6808,74.855,75.2,15696665.0
2018-02-28,78.16,78.25,75.7,75.74,16453545.0,0.0,1.0,78.16,78.25,75.7,75.74,16453545.0
2018-02-27,79.0,79.87,77.5,77.5,14420126.0,0.0,1.0,79.0,79.87,77.5,77.5,14420126.0
2018-02-26,77.74,78.93,77.56,78.84,16733474.0,0.0,1.0,77.74,78.93,77.56,78.84,16733474.0
2018-02-23,76.09,77.62,75.95,77.53,12685294.0,0.0,1.0,76.09,77.62,75.95,77.53,12685294.0
2018-02-22,75.3,76.84,75.185,75.86,13399232.0,0.0,1.0,75.3,76.84,75.185,75.86,13399232.0
2018-02-21,75.82,76.435,74.87,74.89,11347176.0,0.0,1.0,75.82,76.435,74.87,74.89,11347176.0
2018-02-20,76.47,77.47,75.461,75.75,12753690.0,0.0,1.0,76.47,77.47,75.461,75.75,12753690.0
2018-02-16,76.15,77.12,75.85,76.54,13674350.0,0.0,1.0,76.15,77.12,75.85,76.54,13674350.0
2018-02-15,76.62,76.7,75.45,76.21,14030212.0,0.0,1.0,76.62,76.7,75.45,76.21,14030212.0
2018-02-14,75.79,76.66,75.165,76.46,16741063.0,0.0,1.0,75.79,76.66,75.165,76.46,16741063.0
2018-02-13,76.1,76.75,75.73,76.3,11846694.0,0.0,1.0,76.1,76.75,75.73,76.3,11846694.0
2018-02-12,77.05,77.62100000000001,75.84100000000001,76.42,19095387.0,0.0,1.0,77.05,77.62100000000001,75.84100000000001,76.42,19095387.0
2018-02-09,76.25,76.48,73.9,75.78,28642694.0,0.0,1.0,76.25,76.48,73.9,75.78,28642694.0
2018-02-08,77.44,77.58,76.03,76.07,25441223.0,0.0,1.0,77.44,77.58,76.03,76.07,25441223.0
2018-02-07,78.44,79.41,76.92,76.94,21669549.0,0.0,1.0,78.44,79.41,76.92,76.94,21669549.0
2018-02-06,78.51,80.35,76.9,78.35,36178748.0,0.0,1.0,78.51,80.35,76.9,78.35,36178748.0
2018-02-05,83.28,83.99,78.13,79.72,30074991.0,0.0,1.0,83.28,83.99,78.13,79.72,30074991.0
2018-02-02,85.13,86.01,82.9978,84.53,29684559.0,0.0,1.0,85.13,86.01,82.9978,84.53,29684559.0
2018-02-01,87.5,89.25,87.35,89.07,17952508.0,0.0,1.0,87.5,89.25,87.35,89.07,17952508.0
2018-01-31,86.56,87.47,86.33,87.3,14103043.0,0.0,1.0,86.56,87.47,86.33,87.3,14103043.0
2018-01-30,87.54,88.38,86.78,86.78,12135811.0,0.0,1.0,87.54,88.38,86.78,86.78,12135811.0
2018-01-29,88.59,89.3,87.95,88.01,8876966.0,0.0,1.0,88.59,89.3,87.95,88.01,8876966.0
2018-01-26,88.64,89.0,88.47,89.0,8983385.0,0.0,1.0,88.64,89.0,88.47,89.0,8983385.0
2018-01-25,88.55,88.87,88.2,88.37,10541834.0,0.0,1.0,88.55,88.87,88.2,88.37,10541834.0
2018-01-24,88.49,88.91799999999999,88.01,88.53,10106938.0,0.0,1.0,88.49,88.91799999999999,88.01,88.53,10106938.0
2018-01-23,88.25,88.46,87.74,88.3,9685959.0,0.0,1.0,88.25,88.46,87.74,88.3,9685959.0
2018-01-22,87.17,88.29,87.05,88.25,9681905.0,0.0,1.0,87.17,88.29,87.05,88.25,9681905.0
2018-01-19,87.57,87.76,86.61,87.15,12700399.0,0.0,1.0,87.57,87.76,86.61,87.15,12700399.0
2018-01-18,87.77,88.19,87.34,87.43,8579334.0,0.0,1.0,87.77,88.19,87.34,87.43,8579334.0
2018-01-17,87.2,88.21,86.93,88.0,10483088.0,0.0,1.0,87.2,88.21,86.93,88.0,10483088.0
2018-01-16,87.74,87.76,86.6,86.97,10836102.0,0.0,1.0,87.74,87.76,86.6,86.97,10836102.0
2018-01-12,87.2,87.99,87.18,87.52,9804861.0,0.0,1.0,87.2,87.99,87.18,87.52,9804861.0
2018-01-11,86.36,87.37,85.93,86.93,14358191.0,0.0,1.0,86.36,87.37,85.93,86.93,14358191.0
2018-01-10,87.0,87.19,85.98,86.08,10624415.0,0.0,1.0,87.0,87.19,85.98,86.08,10624415.0
2018-01-09,86.94,87.15,86.65,86.77,7870756.0,0.0,1.0,86.94,87.15,86.65,86.77,7870756.0
2018-01-08,86.7,87.15,86.6034,87.14,10549116.0,0.0,1.0,86.7,87.15,86.6034,87.14,10549116.0
2018-01-05,86.75,86.88,85.705,86.75,11003133.0,0.0,1.0,86.75,86.88,85.705,86.75,11003133.0
2018-01-04,86.79,87.22,86.43,86.82,10840055.0,0.0,1.0,86.79,87.22,86.43,86.82,10840055.0
2018-01-03,85.16,86.965,84.82,86.7,13862035.0,0.0,1.0,85.16,86.965,84.82,86.7,13862035.0
2018-01-02,83.82,85.195,83.66,85.03,11447647.0,0.0,1.0,83.82,85.195,83.66,85.03,11447647.0
2017-12-29,84.0,84.2,83.64,83.64,8463522.0,0.0,1.0,84.0,84.2,83.64,83.64,8463522.0
2017-12-28,83.98,84.05,83.8,84.02,7487247.0,0.0,1.0,83.98,84.05,83.8,84.02,7487247.0
2017-12-27,83.99,84.1,83.74,83.9,6825086.0,0.0,1.0,83.99,84.1,83.74,83.9,6825086.0
2017-12-26,83.96,84.36,83.9,83.98,4717376.0,0.0,1.0,83.96,84.36,83.9,83.98,4717376.0
2017-12-22,83.815,84.02,83.6,83.97,10065910.0,0.0,1.0,83.815,84.02,83.6,83.97,10065910.0
2017-12-21,83.32,84.27,82.96,83.85,13449636.0,0.0,1.0,83.32,84.27,82.96,83.85,13449636.0
2017-12-20,82.63,83.14,82.5201,82.87,10275611.0,0.0,1.0,82.63,83.14,82.5201,82.87,10275611.0
2017-12-19,82.99,83.17,82.33,82.44,10235419.0,0.0,1.0,82.99,83.17,82.33,82.44,10235419.0
2017-12-18,83.04,83.6744,82.91,82.94,9355224.0,0.0,1.0,83.04,83.6744,82.91,82.94,9355224.0
2017-12-15,83.1,83.28,82.87,83.03,25196695.0,0.0,1.0,83.1,83.28,82.87,83.03,25196695.0
2017-12-14,83.04,83.33,82.89,82.9,9485125.0,0.0,1.0,83.04,83.33,82.89,82.9,9485125.0
2017-12-13,82.61,83.3,82.48,83.12,10048298.0,0.0,1.0,82.61,83.3,82.48,83.12,10048298.0
2017-12-12,83.09,83.38,82.7,82.76,11302886.0,0.0,1.0,83.09,83.38,82.7,82.76,11302886.0
2017-12-11,82.95,83.25,82.74,83.03,8670818.0,0.0,1.0,82.95,83.25,82.74,83.03,8670818.0
2017-12-08,82.75,82.9,82.26,82.66,10865102.0,0.0,1.0,82.75,82.9,82.26,82.66,10865102.0
2017-12-07,82.4,82.62,82.17,82.55,11329637.0,0.0,1.0,82.4,82.62,82.17,82.55,11329637.0
2017-12-06,83.08,83.2,82.21,82.28,12002675.0,0.0,1.0,83.08,83.2,82.21,82.28,12002675.0
2017-12-05,83.5,83.77,82.71,82.89,9251978.0,0.0,1.0,83.5,83.77,82.71,82.89,9251978.0
2017-12-04,83.21,84.175,83.0,83.57,11960443.0,0.0,1.0,83.21,84.175,83.0,83.57,11960443.0
2017-12-01,83.44,84.13,82.41,83.46,13751851.0,0.0,1.0,83.44,84.13,82.41,83.46,13751851.0
2017-11-30,82.45,83.4,82.41,83.29,18041317.0,0.0,1.0,82.45,83.4,82.41,83.29,18041317.0
2017-11-29,81.65,82.31,81.48,82.27,9475070.0,0.0,1.0,81.65,82.31,81.48,82.27,9475070.0
2017-11-28,81.41,81.999,81.31,81.67,9415527.0,0.0,1.0,81.41,81.999,81.31,81.67,9415527.0
2017-11-27,81.32,81.4,81.02,81.11,8693590.0,0.0,1.0,81.32,81.4,81.02,81.11,8693590.0
2017-11-24,81.44,81.7,81.22,81.42,3851283.0,0.0,1.0,81.44,81.7,81.22,81.42,3851283.0
2017-11-22,81.16,81.4051,81.05,81.1,7935387.0,0.0,1.0,81.16,81.4051,81.05,81.1,7935387.0
2017-11-21,80.69,81.25,80.64,80.87,8806565.0,0.0,1.0,80.69,81.25,80.64,80.87,8806565.0
2017-11-20,80.23,80.64,80.01,80.55,8457293.0,0.0,1.0,80.23,80.64,80.01,80.55,8457293.0
2017-11-17,80.32,80.66,80.16,80.24,9211520.0,0.0,1.0,80.32,80.66,80.16,80.24,9211520.0
2017-11-16,80.44,80.85,80.145,80.56,10440352.0,0.0,1.0,80.44,80.85,80.145,80.56,10440352.0
2017-11-15,81.75,82.09,81.15,81.21,9531060.0,0.0,1.0,81.75,82.09,81.15,81.21,9531060.0
2017-11-14,82.42,82.75,82.09,82.24,9241110.0,0.0,1.0,82.42,82.75,82.09,82.24,9241110.0
2017-11-13,82.65,83.09,82.6,82.89,6718298.0,0.0,1.0,82.65,83.09,82.6,82.89,6718298.0
2017-11-10,83.01,83.08,82.42,82.94,8687062.0,0.0,1.0,83.01,83.08,82.42,82.94,8687062.0
2017-11-09,83.3,84.14,83.08,83.97,10332203.0,0.0,1.0,83.3,84.14,83.08,83.97,10332203.0
2017-11-07,83.74,83.82,83.03,83.58,8420512.0,0.0,1.0,83.74,83.82,83.03,83.58,8420512.0
2017-11-06,83.3,83.87,83.06,83.75,8979116.0,0.0,1.0,83.3,83.87,83.06,83.75,8979116.0
2017-11-03,83.42,83.64,83.16,83.18,6807003.0,0.0,1.0,83.42,83.64,83.16,83.18,6807003.0
2017-11-02,83.6,83.705,82.91,83.53,7729028.0,0.0,1.0,83.6,83.705,82.91,83.53,7729028.0
2017-11-01,83.39,83.94,83.26,83.87,9234038.0,0.0,1.0,83.39,83.94,83.26,83.87,9234038.0
2017-10-31,83.65,83.68,83.17,83.35,8439312.0,0.0,1.0,83.65,83.68,83.17,83.35,8439312.0
2017-10-30,83.71,83.95,83.41,83.54,7784259.0,0.0,1.0,83.71,83.95,83.41,83.54,7784259.0
2017-10-27,83.0,84.24,82.01,83.71,14805318.0,0.0,1.0,83.0,84.24,82.01,83.71,14805318.0
2017-10-26,83.37,83.65,83.11,83.47,8816415.0,0.0,1.0,83.37,83.65,83.11,83.47,8816415.0
2017-10-25,83.45,83.73,82.9465,83.2,7651626.0,0.0,1.0,83.45,83.73,82.9465,83.2,7651626.0
2017-10-24,83.55,83.8065,83.31,83.47,7310730.0,0.0,1.0,83.55,83.8065,83.31,83.47,7310730.0
2017-10-23,83.15,83.76,83.0401,83.24,9812800.0,0.0,1.0,83.15,83.76,83.0401,83.24,9812800.0
2017-10-20,82.85,83.13,82.62,83.11,9325185.0,0.0,1.0,82.85,83.13,82.62,83.11,9325185.0
2017-10-19,82.35,83.05,82.33,82.74,7922037.0,0.0,1.0,82.35,83.05,82.33,82.74,7922037.0
2017-10-18,82.96,83.391,82.54,82.76,6351012.0,0.0,1.0,82.96,83.391,82.54,82.76,6351012.0
2017-10-17,82.63,82.97,82.54,82.96,6273406.0,0.0,1.0,82.63,82.97,82.54,82.96,6273406.0
2017-10-16,82.7,82.95,82.54,82.81,5696629.0,0.0,1.0,82.7,82.95,82.54,82.81,5696629.0
2017-10-13,82.73,83.08,82.36,82.41,7173911.0,0.0,1.0,82.73,83.08,82.36,82.41,7173911.0
2017-10-12,82.31,82.5,82.17,82.43,6496593.0,0.0,1.0,82.31,82.5,82.17,82.43,6496593.0
2017-10-11,82.16,82.74,82.14,82.6,6848224.0,0.0,1.0,82.16,82.74,82.14,82.6,6848224.0
2017-10-10,82.34,82.735,82.09,82.26,7201227.0,0.0,1.0,82.34,82.735,82.09,82.26,7201227.0
2017-10-09,81.84,82.18,81.76,82.03,6620140.0,0.0,1.0,81.84,82.18,81.76,82.03,6620140.0
2017-10-06,81.77,81.89,81.355,81.71,6013010.0,0.0,1.0,81.77,81.89,81.355,81.71,6013010.0
2017-10-05,81.72,82.24,81.59,82.02,7234124.0,0.0,1.0,81.72,82.24,81.59,82.02,7234124.0
2017-10-04,81.8,81.87,81.45,81.79,6263944.0,0.0,1.0,81.8,81.87,81.45,81.79,6263944.0
2017-10-03,81.41,81.97,81.3,81.76,6069501.0,0.0,1.0,81.41,81.97,81.3,81.76,6069501.0
2017-10-02,81.3,81.819,81.245,81.63,6745659.0,0.0,1.0,81.3,81.819,81.245,81.63,6745659.0
2017-09-29,81.94,82.055,81.575,81.98,9788759.0,0.0,1.0,81.94,82.055,81.575,81.98,9788759.0
