Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,93.0,93.45,91.93,92.43,2067191.0,0.0,1.0,93.0,93.45,91.93,92.43,2067191.0
2018-03-26,91.39,93.155,91.06,92.65,2050793.0,0.0,1.0,91.39,93.155,91.06,92.65,2050793.0
2018-03-23,91.84,92.31,89.89,90.06,2553539.0,0.0,1.0,91.84,92.31,89.89,90.06,2553539.0
2018-03-22,92.31,93.36,91.69,91.75,2273419.0,0.0,1.0,92.31,93.36,91.69,91.75,2273419.0
2018-03-21,93.57,94.65,92.95,92.98,3829117.0,0.0,1.0,93.57,94.65,92.95,92.98,3829117.0
2018-03-20,94.13,94.23,92.88,93.41,2637269.0,0.0,1.0,94.13,94.23,92.88,93.41,2637269.0
2018-03-19,95.5,96.05,93.37,94.04,2412474.0,0.0,1.0,95.5,96.05,93.37,94.04,2412474.0
2018-03-16,93.59,95.8,93.39,95.43,5084581.0,0.0,1.0,93.59,95.8,93.39,95.43,5084581.0
2018-03-15,96.22,96.5,92.29,93.44,10222619.0,0.0,1.0,96.22,96.5,92.29,93.44,10222619.0
2018-03-14,89.55,89.75,88.56,89.2,3885486.0,0.0,1.0,89.55,89.75,88.56,89.2,3885486.0
2018-03-13,88.85,91.0,88.63,89.53,3972974.0,0.0,1.0,88.85,91.0,88.63,89.53,3972974.0
2018-03-12,87.24,88.86,87.05,88.61,3608610.0,0.0,1.0,87.24,88.86,87.05,88.61,3608610.0
2018-03-09,86.71,87.18,85.54,86.94,3480796.0,0.0,1.0,86.71,87.18,85.54,86.94,3480796.0
2018-03-08,89.62,89.88,86.04,86.05,3852383.0,0.0,1.0,89.62,89.88,86.04,86.05,3852383.0
2018-03-07,89.58,90.64,87.54,89.39,5306223.0,0.0,1.0,89.58,90.64,87.54,89.39,5306223.0
2018-03-06,93.51,94.195,91.85,93.44,4039305.0,0.0,1.0,93.51,94.195,91.85,93.44,4039305.0
2018-03-05,93.64,94.01,93.0601,93.43,2424826.0,0.0,1.0,93.64,94.01,93.0601,93.43,2424826.0
2018-03-02,94.74,95.095,92.8,94.28,2879739.0,0.0,1.0,94.74,95.095,92.8,94.28,2879739.0
2018-03-01,94.57,95.89,93.78,95.31,1861794.0,0.0,1.0,94.57,95.89,93.78,95.31,1861794.0
2018-02-28,96.11,96.32,94.59,94.59,1810110.0,0.0,1.0,96.11,96.32,94.59,94.59,1810110.0
2018-02-27,97.96,98.445,94.89,95.52,2112281.0,0.0,1.0,97.96,98.445,94.89,95.52,2112281.0
2018-02-26,97.73,98.23,96.62,97.55,1406157.0,0.0,1.0,97.73,98.23,96.62,97.55,1406157.0
2018-02-23,96.77,97.32,95.72,97.2,1643245.0,0.0,1.0,96.77,97.32,95.72,97.2,1643245.0
2018-02-22,95.86,97.0,95.46,96.1,1230152.0,0.0,1.0,95.86,97.0,95.46,96.1,1230152.0
2018-02-21,94.88,96.88,94.88,95.27,2183694.0,0.0,1.0,94.88,96.88,94.88,95.27,2183694.0
2018-02-20,95.05,96.31,93.67,94.56,3097746.0,0.0,1.0,95.05,96.31,93.67,94.56,3097746.0
2018-02-16,98.31,98.9,97.02,97.73,1767683.0,0.0,1.0,98.31,98.9,97.02,97.73,1767683.0
2018-02-15,97.51,98.45,96.3148,98.45,1898691.0,0.0,1.0,97.51,98.45,96.3148,98.45,1898691.0
2018-02-14,96.31,97.33,96.05,96.67,2683342.0,0.0,1.0,96.31,97.33,96.05,96.67,2683342.0
2018-02-13,94.94,97.93,94.82,96.86,2525212.0,0.0,1.0,94.94,97.93,94.82,96.86,2525212.0
2018-02-12,98.77,99.08,93.32,95.09,4591623.0,0.0,1.0,98.77,99.08,93.32,95.09,4591623.0
2018-02-09,96.09,99.5,93.83,98.26,3322348.0,0.0,1.0,96.09,99.5,93.83,98.26,3322348.0
2018-02-08,98.18,98.36,95.07,95.1,2885023.0,0.0,1.0,98.18,98.36,95.07,95.1,2885023.0
2018-02-07,97.51,99.53,97.45,97.88,2048208.0,0.0,1.0,97.51,99.53,97.45,97.88,2048208.0
2018-02-06,94.19,98.0,92.74,97.6,4004725.0,0.0,1.0,94.19,98.0,92.74,97.6,4004725.0
2018-02-05,98.68,100.45,95.79,95.8,2730133.0,0.0,1.0,98.68,100.45,95.79,95.8,2730133.0
2018-02-02,101.7,101.7,99.35,99.44,4312499.0,0.0,1.0,101.7,101.7,99.35,99.44,4312499.0
2018-02-01,102.18,103.01,101.74,102.28,2388999.0,0.0,1.0,102.18,103.01,101.74,102.28,2388999.0
2018-01-31,104.44,104.95,102.35,103.12,2120689.0,0.0,1.0,104.44,104.95,102.35,103.12,2120689.0
2018-01-30,104.92,105.57,103.74,104.23,2716609.0,0.0,1.0,104.92,105.57,103.74,104.23,2716609.0
2018-01-29,105.21,105.82,104.71,105.34,1946300.0,0.0,1.0,105.21,105.82,104.71,105.34,1946300.0
2018-01-26,104.21,105.33,103.42,105.3,1526517.0,0.0,1.0,104.21,105.33,103.42,105.3,1526517.0
2018-01-25,105.07,105.4,102.56,103.75,1677546.0,0.0,1.0,105.07,105.4,102.56,103.75,1677546.0
2018-01-24,103.21,103.63,101.305,102.69,1319267.0,0.0,1.0,103.21,103.63,101.305,102.69,1319267.0
2018-01-23,103.47,103.99,102.661,103.17,1579968.0,0.0,1.0,103.47,103.99,102.661,103.17,1579968.0
2018-01-22,101.94,102.3,101.09,102.27,1104934.0,0.0,1.0,101.94,102.3,101.09,102.27,1104934.0
2018-01-19,101.53,102.09,100.91,101.98,1843346.0,0.0,1.0,101.53,102.09,100.91,101.98,1843346.0
2018-01-18,100.9,101.2582,100.12,101.03,1434641.0,0.0,1.0,100.9,101.2582,100.12,101.03,1434641.0
2018-01-17,99.17,101.07,98.89,100.5,2530055.0,0.0,1.0,99.17,101.07,98.89,100.5,2530055.0
2018-01-16,99.7,99.7,97.92,98.44,1859461.0,0.0,1.0,99.7,99.7,97.92,98.44,1859461.0
2018-01-12,98.39,99.69,98.2,99.1,2315283.0,0.0,1.0,98.39,99.69,98.2,99.1,2315283.0
2018-01-11,94.66,98.33,94.6,98.19,2929198.0,0.0,1.0,94.66,98.33,94.6,98.19,2929198.0
2018-01-10,94.23,95.22,93.92,94.78,1444911.0,0.0,1.0,94.23,95.22,93.92,94.78,1444911.0
2018-01-09,94.79,94.79,93.86,94.25,2613216.0,0.0,1.0,94.79,94.79,93.86,94.25,2613216.0
2018-01-08,95.61,96.05,94.13,94.15,2087571.0,0.0,1.0,95.61,96.05,94.13,94.15,2087571.0
2018-01-05,95.63,95.89,95.03,95.72,2451330.0,0.0,1.0,95.63,95.89,95.03,95.72,2451330.0
2018-01-04,94.2,95.78,93.85,95.09,2890752.0,0.0,1.0,94.2,95.78,93.85,95.09,2890752.0
2018-01-03,94.27,94.45,93.62,93.99,1820799.0,0.0,1.0,94.27,94.45,93.62,93.99,1820799.0
2018-01-02,93.56,94.52,93.3233,94.06,1988537.0,0.0,1.0,93.56,94.52,93.3233,94.06,1988537.0
2017-12-29,92.92,93.85,92.87,93.01,2317632.0,0.0,1.0,92.92,93.85,92.87,93.01,2317632.0
2017-12-28,92.67,92.74,92.21,92.58,1015952.0,0.0,1.0,92.67,92.74,92.21,92.58,1015952.0
2017-12-27,92.84,92.855,92.14,92.62,1904963.0,0.0,1.0,92.84,92.855,92.14,92.62,1904963.0
2017-12-26,92.5,93.51,92.26,92.48,1258088.0,0.0,1.0,92.5,93.51,92.26,92.48,1258088.0
2017-12-22,92.15,92.99,91.79,92.91,2673017.0,0.0,1.0,92.15,92.99,91.79,92.91,2673017.0
2017-12-21,92.265,92.48,91.56,91.64,2349893.0,0.0,1.0,92.265,92.48,91.56,91.64,2349893.0
2017-12-20,92.83,94.13,91.44,91.73,4053047.0,0.0,1.0,92.83,94.13,91.44,91.73,4053047.0
2017-12-19,92.58,93.0,91.53,92.1,1793339.0,0.0,1.0,92.58,93.0,91.53,92.1,1793339.0
2017-12-18,92.07,93.11,91.47,92.55,1874519.0,0.0,1.0,92.07,93.11,91.47,92.55,1874519.0
2017-12-15,91.77,92.24,90.88,90.93,3919575.0,0.0,1.0,91.77,92.24,90.88,90.93,3919575.0
