Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,70.67,70.67,65.56,66.29,7134493.0,0.0,1.0,70.67,70.67,65.56,66.29,7134493.0
2018-03-26,69.43,70.14,68.43,70.08,4664390.0,0.0,1.0,69.43,70.14,68.43,70.08,4664390.0
2018-03-23,69.86,70.52,68.02,68.04,5237847.0,0.0,1.0,69.86,70.52,68.02,68.04,5237847.0
2018-03-22,70.63,71.625,69.645,69.76,5057479.0,0.0,1.0,70.63,71.625,69.645,69.76,5057479.0
2018-03-21,71.2,72.63,71.11,71.61,4714769.0,0.0,1.0,71.2,72.63,71.11,71.61,4714769.0
2018-03-20,71.34,72.08,70.84,71.37,3849084.0,0.0,1.0,71.34,72.08,70.84,71.37,3849084.0
2018-03-19,71.0,72.15,69.81,71.05,7787476.0,0.0,1.0,71.0,72.15,69.81,71.05,7787476.0
2018-03-16,73.87,73.9,71.61,71.68,10308708.0,0.0,1.0,73.87,73.9,71.61,71.68,10308708.0
2018-03-15,72.99,73.7,72.51,73.38,9924358.0,0.0,1.0,72.99,73.7,72.51,73.38,9924358.0
2018-03-14,76.35,76.46,73.93,74.22,11744094.0,0.0,1.0,76.35,76.46,73.93,74.22,11744094.0
2018-03-13,77.49,77.85,75.805,75.93,5010331.0,0.0,1.0,77.49,77.85,75.805,75.93,5010331.0
2018-03-12,79.24,79.63,76.29,76.86,8343328.0,0.0,1.0,79.24,79.63,76.29,76.86,8343328.0
2018-03-09,76.855,78.25,76.41,78.22,8834722.0,0.0,1.0,76.855,78.25,76.41,78.22,8834722.0
2018-03-08,74.51,76.91,74.23,76.81,8576294.0,0.0,1.0,74.51,76.91,74.23,76.81,8576294.0
2018-03-07,73.38,74.14,72.75,74.07,5834774.0,0.0,1.0,73.38,74.14,72.75,74.07,5834774.0
2018-03-06,75.4,75.48,72.86,73.92,8413256.0,0.0,1.0,75.4,75.48,72.86,73.92,8413256.0
2018-03-05,73.66,75.35,72.92,75.1,6276549.0,0.0,1.0,73.66,75.35,72.92,75.1,6276549.0
2018-03-02,71.22,74.35,70.74,74.01,6942413.0,0.0,1.0,71.22,74.35,70.74,74.01,6942413.0
2018-03-01,73.16,73.42,71.52,72.01,8123915.0,0.0,1.0,73.16,73.42,71.52,72.01,8123915.0
2018-02-28,73.15,74.82,72.97,73.13,7396064.0,0.0,1.0,73.15,74.82,72.97,73.13,7396064.0
2018-02-27,73.05,73.36,72.0221,72.61,4013404.0,0.0,1.0,73.05,73.36,72.0221,72.61,4013404.0
2018-02-26,72.68,74.12,72.68,73.16,4835168.0,0.0,1.0,72.68,74.12,72.68,73.16,4835168.0
2018-02-23,69.95,72.07,69.79,72.07,5633355.0,0.0,1.0,69.95,72.07,69.79,72.07,5633355.0
2018-02-22,70.06,70.7,69.07,69.49,5093076.0,0.0,1.0,70.06,70.7,69.07,69.49,5093076.0
2018-02-21,70.9,71.84,70.22,70.22,5533239.0,0.0,1.0,70.9,71.84,70.22,70.22,5533239.0
2018-02-20,69.97,71.29,69.75,70.84,5240786.0,0.0,1.0,69.97,71.29,69.75,70.84,5240786.0
2018-02-16,71.96,72.1252,69.79,70.19,6382932.0,0.0,1.0,71.96,72.1252,69.79,70.19,6382932.0
2018-02-15,70.0,72.07,69.05,71.99,6150809.0,0.0,1.0,70.0,72.07,69.05,71.99,6150809.0
2018-02-14,67.21,69.9,67.11,69.65,7074660.0,0.0,1.0,67.21,69.9,67.11,69.65,7074660.0
2018-02-13,67.96,68.21,67.18,68.07,5012493.0,0.0,1.0,67.96,68.21,67.18,68.07,5012493.0
2018-02-12,67.16,69.2,67.16,68.32,8163088.0,0.0,1.0,67.16,69.2,67.16,68.32,8163088.0
2018-02-09,66.99,67.78,63.32,66.78,17754889.0,0.0,1.0,66.99,67.78,63.32,66.78,17754889.0
2018-02-08,69.63,69.79,65.76,65.83,9778437.0,0.0,1.0,69.63,69.79,65.76,65.83,9778437.0
2018-02-07,69.62,70.86,69.43,69.46,6093640.0,0.0,1.0,69.62,70.86,69.43,69.46,6093640.0
2018-02-06,66.0,69.84,65.72,69.7,10184870.0,0.0,1.0,66.0,69.84,65.72,69.7,10184870.0
2018-02-05,70.54,71.13,66.91,68.4,9021030.0,0.0,1.0,70.54,71.13,66.91,68.4,9021030.0
2018-02-02,72.66,72.96,71.38,71.42,5636144.0,0.0,1.0,72.66,72.96,71.38,71.42,5636144.0
2018-02-01,73.48,74.24,73.16,73.35,5093499.0,0.0,1.0,73.48,74.24,73.16,73.35,5093499.0
2018-01-31,72.96,74.945,72.96,74.13,6897612.0,0.0,1.0,72.96,74.945,72.96,74.13,6897612.0
2018-01-30,71.435,71.88,70.82,71.61,4711066.0,0.0,1.0,71.435,71.88,70.82,71.61,4711066.0
2018-01-29,72.5,72.68,71.7,72.45,7772773.0,0.0,1.0,72.5,72.68,71.7,72.45,7772773.0
2018-01-26,71.34,72.59,70.755,72.52,5647243.0,0.0,1.0,71.34,72.59,70.755,72.52,5647243.0
2018-01-25,70.6,71.2,69.95,70.82,4562462.0,0.0,1.0,70.6,71.2,69.95,70.82,4562462.0
2018-01-24,71.66,71.9,69.88,70.08,9066200.0,0.0,1.0,71.66,71.9,69.88,70.08,9066200.0
2018-01-23,71.32,72.3651,71.15,71.55,4980860.0,0.0,1.0,71.32,72.3651,71.15,71.55,4980860.0
2018-01-22,70.45,71.4,69.68,71.3,3654197.0,0.0,1.0,70.45,71.4,69.68,71.3,3654197.0
2018-01-19,70.22,70.84,69.48,70.57,5150621.0,0.0,1.0,70.22,70.84,69.48,70.57,5150621.0
2018-01-18,70.11,70.725,69.17,69.8,5487073.0,0.0,1.0,70.11,70.725,69.17,69.8,5487073.0
2018-01-17,69.97,70.82,68.79,70.36,6856420.0,0.0,1.0,69.97,70.82,68.79,70.36,6856420.0
2018-01-16,70.92,71.18,68.4,68.7,5264681.0,0.0,1.0,70.92,71.18,68.4,68.7,5264681.0
2018-01-12,69.7,70.71,69.05,70.36,7796426.0,0.0,1.0,69.7,70.71,69.05,70.36,7796426.0
2018-01-11,68.29,69.33,67.23,69.24,8089856.0,0.0,1.0,68.29,69.33,67.23,69.24,8089856.0
2018-01-10,65.93,66.94,65.78,66.83,4108750.0,0.0,1.0,65.93,66.94,65.78,66.83,4108750.0
2018-01-09,66.75,66.75,64.9,66.19,5914145.0,0.0,1.0,66.75,66.75,64.9,66.19,5914145.0
2018-01-08,66.49,67.27,65.65,66.63,4502299.0,0.0,1.0,66.49,67.27,65.65,66.63,4502299.0
2018-01-05,64.88,66.47,64.49,66.37,4969918.0,0.0,1.0,64.88,66.47,64.49,66.37,4969918.0
2018-01-04,65.75,65.87,64.36,64.66,3896685.0,0.0,1.0,65.75,65.87,64.36,64.66,3896685.0
2018-01-03,64.55,65.745,64.3955,65.31,4333169.0,0.0,1.0,64.55,65.745,64.3955,65.31,4333169.0
2018-01-02,63.54,64.67,63.37,64.31,5118509.0,0.0,1.0,63.54,64.67,63.37,64.31,5118509.0
2017-12-29,63.59,63.83,63.12,63.32,3188465.0,0.0,1.0,63.59,63.83,63.12,63.32,3188465.0
2017-12-28,63.34,63.5,62.6001,63.4,3102865.0,0.0,1.0,63.34,63.5,62.6001,63.4,3102865.0
