Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,68.76,69.0,66.13,66.69,2597827.0,0.0,1.0,68.76,69.0,66.13,66.69,2597827.0
2018-03-26,67.28,68.67,66.81,68.42,2812164.0,0.0,1.0,67.28,68.67,66.81,68.42,2812164.0
2018-03-23,68.58,68.92,65.8,65.97,3319224.0,0.0,1.0,68.58,68.92,65.8,65.97,3319224.0
2018-03-22,70.1,70.42,68.11,68.4,3061186.0,0.0,1.0,70.1,70.42,68.11,68.4,3061186.0
2018-03-21,70.92,71.65,70.19,70.87,1797415.0,0.0,1.0,70.92,71.65,70.19,70.87,1797415.0
2018-03-20,71.45,71.7617,70.56,70.67,1690610.0,0.0,1.0,71.45,71.7617,70.56,70.67,1690610.0
2018-03-19,71.49,71.63,70.15,71.05,1952296.0,0.0,1.0,71.49,71.63,70.15,71.05,1952296.0
2018-03-16,71.29,72.42,71.0,71.53,5197945.0,0.0,1.0,71.29,72.42,71.0,71.53,5197945.0
2018-03-15,71.35,71.41,70.5,71.13,1721653.0,0.0,1.0,71.35,71.41,70.5,71.13,1721653.0
2018-03-14,72.51,72.53,70.695,71.06,2874569.0,0.0,1.0,72.51,72.53,70.695,71.06,2874569.0
2018-03-13,73.11,73.16,72.03,72.27,3137294.0,0.0,1.0,73.11,73.16,72.03,72.27,3137294.0
2018-03-12,72.7,73.37,72.39,72.58,2541055.0,0.0,1.0,72.7,73.37,72.39,72.58,2541055.0
2018-03-09,71.9,72.87,71.54,72.85,1838346.0,0.0,1.0,71.9,72.87,71.54,72.85,1838346.0
2018-03-08,71.76,71.95,70.38,71.32,1684530.0,0.0,1.0,71.76,71.95,70.38,71.32,1684530.0
2018-03-07,70.08,71.7,70.08,71.47,1829998.0,0.0,1.0,70.08,71.7,70.08,71.47,1829998.0
2018-03-06,70.85,71.26,70.07,71.07,2109692.0,0.0,1.0,70.85,71.26,70.07,71.07,2109692.0
2018-03-05,68.9,70.91,68.535,70.67,2267508.0,0.0,1.0,68.9,70.91,68.535,70.67,2267508.0
2018-03-02,68.67,69.84,67.53,69.62,2797167.0,0.0,1.0,68.67,69.84,67.53,69.62,2797167.0
2018-03-01,70.03,70.32,68.39,69.09,3367153.0,0.0,1.0,70.03,70.32,68.39,69.09,3367153.0
2018-02-28,71.16,71.61,69.79,69.84,3261743.0,0.0,1.0,71.16,71.61,69.79,69.84,3261743.0
2018-02-27,71.78,72.51,70.53,70.57,2956052.0,0.0,1.0,71.78,72.51,70.53,70.57,2956052.0
2018-02-26,71.78,72.07,70.97,72.0,1989919.0,0.0,1.0,71.78,72.07,70.97,72.0,1989919.0
2018-02-23,70.51,71.34,70.14,71.29,1992098.0,0.0,1.0,70.51,71.34,70.14,71.29,1992098.0
2018-02-22,71.87,71.9,70.15,70.34,2462953.0,0.0,1.0,71.87,71.9,70.15,70.34,2462953.0
2018-02-21,71.56,72.62,71.42,71.45,3625598.0,0.0,1.0,71.56,72.62,71.42,71.45,3625598.0
2018-02-20,70.83,71.75,70.8,71.52,4636321.0,0.0,1.0,70.83,71.75,70.8,71.52,4636321.0
2018-02-16,70.17,71.26,70.11,71.15,3305884.0,0.0,1.0,70.17,71.26,70.11,71.15,3305884.0
2018-02-15,70.66,71.05,69.85,70.63,2788604.0,0.0,1.0,70.66,71.05,69.85,70.63,2788604.0
2018-02-14,67.79,70.29,67.78,70.07,3001884.0,0.0,1.0,67.79,70.29,67.78,70.07,3001884.0
2018-02-13,67.05,68.02,66.73,67.92,2979788.0,0.0,1.0,67.05,68.02,66.73,67.92,2979788.0
2018-02-12,68.08,69.0,67.36,67.59,4033104.0,0.0,1.0,68.08,69.0,67.36,67.59,4033104.0
2018-02-09,66.96,67.94,64.8,67.48,4547486.0,0.0,1.0,66.96,67.94,64.8,67.48,4547486.0
2018-02-08,69.27,69.3,65.78,65.8,3848045.0,0.0,1.0,69.27,69.3,65.78,65.8,3848045.0
2018-02-07,67.98,70.415,67.85,69.01,6347791.0,0.0,1.0,67.98,70.415,67.85,69.01,6347791.0
2018-02-06,64.83,68.83,64.32,68.43,6007485.0,0.0,1.0,64.83,68.83,64.32,68.43,6007485.0
2018-02-05,68.66,69.39,65.96,66.3,5368962.0,0.0,1.0,68.66,69.39,65.96,66.3,5368962.0
2018-02-02,71.13,71.73,69.4,69.48,4777675.0,0.0,1.0,71.13,71.73,69.4,69.48,4777675.0
2018-02-01,70.58,71.45,70.13,71.41,3361427.0,0.0,1.0,70.58,71.45,70.13,71.41,3361427.0
2018-01-31,70.79,71.3,70.51899999999999,70.7,2835705.0,0.0,1.0,70.79,71.3,70.51899999999999,70.7,2835705.0
2018-01-30,70.33,71.26,70.32,70.51,2906336.0,0.0,1.0,70.33,71.26,70.32,70.51,2906336.0
2018-01-29,71.15,72.06,70.73,70.74,2843778.0,0.0,1.0,71.15,72.06,70.73,70.74,2843778.0
2018-01-26,70.69,71.405,70.5038,71.38,2328730.0,0.0,1.0,70.69,71.405,70.5038,71.38,2328730.0
2018-01-25,71.3,71.31,70.35,70.6,2698374.0,0.0,1.0,71.3,71.31,70.35,70.6,2698374.0
2018-01-24,70.78,71.36,70.23,71.2,3262322.0,0.0,1.0,70.78,71.36,70.23,71.2,3262322.0
2018-01-23,69.49,70.64,69.45,70.32,3514511.0,0.0,1.0,69.49,70.64,69.45,70.32,3514511.0
2018-01-22,68.78,69.88,68.72,69.88,3695435.0,0.0,1.0,68.78,69.88,68.72,69.88,3695435.0
2018-01-19,68.05,68.755,66.89,68.58,4987678.0,0.0,1.0,68.05,68.755,66.89,68.58,4987678.0
2018-01-18,68.29,68.63,67.82,67.94,3717516.0,0.0,1.0,68.29,68.63,67.82,67.94,3717516.0
2018-01-17,68.62,68.68,67.47,68.35,4387496.0,0.0,1.0,68.62,68.68,67.47,68.35,4387496.0
2018-01-16,69.26,69.56,68.04,68.3,2477423.0,0.0,1.0,69.26,69.56,68.04,68.3,2477423.0
2018-01-12,68.38,68.95,67.99,68.89,4493684.0,0.0,1.0,68.38,68.95,67.99,68.89,4493684.0
2018-01-11,68.14,68.17,67.475,67.86,4151876.0,0.0,1.0,68.14,68.17,67.475,67.86,4151876.0
2018-01-10,67.13,68.62,66.95,67.7,3260476.0,0.0,1.0,67.13,68.62,66.95,67.7,3260476.0
2018-01-09,66.59,67.68,66.54,66.95,3261771.0,0.0,1.0,66.59,67.68,66.54,66.95,3261771.0
2018-01-08,66.35,66.63,65.54,66.35,4271707.0,0.0,1.0,66.35,66.63,65.54,66.35,4271707.0
2018-01-05,66.12,66.38,65.15,65.91,4718866.0,0.0,1.0,66.12,66.38,65.15,65.91,4718866.0
2018-01-04,65.94,67.02,65.43,65.86,5823912.0,0.0,1.0,65.94,67.02,65.43,65.86,5823912.0
2018-01-03,64.81,65.7,64.65,65.68,4713819.0,0.0,1.0,64.81,65.7,64.65,65.68,4713819.0
2018-01-02,65.07,65.13,64.51,64.86,2941162.0,0.0,1.0,65.07,65.13,64.51,64.86,2941162.0
2017-12-29,65.48,65.68,64.59,64.59,2551287.0,0.0,1.0,65.48,65.68,64.59,64.59,2551287.0
2017-12-28,65.29,65.46,64.97,65.44,1392166.0,0.0,1.0,65.29,65.46,64.97,65.44,1392166.0
2017-12-27,65.4,65.41,64.97,65.21,1519118.0,0.0,1.0,65.4,65.41,64.97,65.21,1519118.0
2017-12-26,65.74,65.97,64.93,65.29,1702738.0,0.0,1.0,65.74,65.97,64.93,65.29,1702738.0
2017-12-22,65.75,65.95,65.1,65.76,2324227.0,0.0,1.0,65.75,65.95,65.1,65.76,2324227.0
2017-12-21,66.08,66.34,65.46,65.55,5389504.0,0.0,1.0,66.08,66.34,65.46,65.55,5389504.0
2017-12-20,66.47,66.62,65.21,65.45,4364843.0,0.0,1.0,66.47,66.62,65.21,65.45,4364843.0
2017-12-19,66.11,66.48,65.6,65.63,4246220.0,0.0,1.0,66.11,66.48,65.6,65.63,4246220.0
2017-12-18,65.68,66.15,65.41,66.03,4219821.0,0.0,1.0,65.68,66.15,65.41,66.03,4219821.0
2017-12-15,64.29,65.69,64.19,65.0,8254372.0,0.0,1.0,64.29,65.69,64.19,65.0,8254372.0
2017-12-14,64.7,65.37,64.04,64.05,4984044.0,0.0,1.0,64.7,65.37,64.04,64.05,4984044.0
2017-12-13,65.67,66.11,64.51,64.57,4564195.0,0.0,1.0,65.67,66.11,64.51,64.57,4564195.0
2017-12-12,65.18,65.88,64.88,65.54,4403890.0,0.0,1.0,65.18,65.88,64.88,65.54,4403890.0
2017-12-11,65.15,65.5,64.26,64.62,5368341.0,0.0,1.0,65.15,65.5,64.26,64.62,5368341.0
2017-12-08,65.07,65.33,64.57,65.2,2557400.0,0.0,1.0,65.07,65.33,64.57,65.2,2557400.0
2017-12-07,63.97,65.15,63.88,64.76,4489924.0,0.0,1.0,63.97,65.15,63.88,64.76,4489924.0
2017-12-06,63.67,65.36,63.54,64.44,5383690.0,0.0,1.0,63.67,65.36,63.54,64.44,5383690.0
2017-12-05,64.48,64.81,63.63,64.03,5170506.0,0.0,1.0,64.48,64.81,63.63,64.03,5170506.0
2017-12-04,62.98,64.61,62.98,64.36,6152768.0,0.0,1.0,62.98,64.61,62.98,64.36,6152768.0
2017-12-01,61.7,62.35,60.21,61.97,3986170.0,0.0,1.0,61.7,62.35,60.21,61.97,3986170.0
2017-11-30,61.74,62.91,61.43,61.63,4602637.0,0.0,1.0,61.74,62.91,61.43,61.63,4602637.0
2017-11-29,60.1,62.18,59.52,61.3,5619545.0,0.0,1.0,60.1,62.18,59.52,61.3,5619545.0
2017-11-28,57.52,59.59,57.44,59.44,4793891.0,0.0,1.0,57.52,59.59,57.44,59.44,4793891.0
2017-11-27,57.26,57.58,57.18,57.34,2160013.0,0.0,1.0,57.26,57.58,57.18,57.34,2160013.0
2017-11-24,57.77,57.78,57.17,57.21,833130.0,0.0,1.0,57.77,57.78,57.17,57.21,833130.0
2017-11-22,57.8,57.97,57.47,57.62,1852310.0,0.0,1.0,57.8,57.97,57.47,57.62,1852310.0
2017-11-21,58.36,58.43,57.7,57.73,2780855.0,0.0,1.0,58.36,58.43,57.7,57.73,2780855.0
2017-11-20,57.83,58.23,57.66,58.17,2432516.0,0.0,1.0,57.83,58.23,57.66,58.17,2432516.0
2017-11-17,57.4,58.01,57.32,57.77,2470367.0,0.0,1.0,57.4,58.01,57.32,57.77,2470367.0
2017-11-16,58.02,58.38,57.7,57.72,3035439.0,0.0,1.0,58.02,58.38,57.7,57.72,3035439.0
2017-11-15,56.99,58.08,56.83,57.78,2781627.0,0.0,1.0,56.99,58.08,56.83,57.78,2781627.0
2017-11-14,56.97,57.775,56.85,57.64,3080633.0,0.0,1.0,56.97,57.775,56.85,57.64,3080633.0
2017-11-13,56.45,57.42,56.3,57.33,3165554.0,0.0,1.0,56.45,57.42,56.3,57.33,3165554.0
2017-11-10,57.02,57.39,56.76,56.79,4515027.0,0.0,1.0,57.02,57.39,56.76,56.79,4515027.0
2017-11-09,57.07,57.79,56.37,56.8,5908164.0,0.0,1.0,57.07,57.79,56.37,56.8,5908164.0
2017-11-07,60.44,60.46,58.04,58.08,6909788.0,0.0,1.0,60.44,60.46,58.04,58.08,6909788.0
2017-11-06,60.24,60.33,59.79,60.15,2002834.0,0.0,1.0,60.24,60.33,59.79,60.15,2002834.0
2017-11-03,60.31,60.47,59.88,60.4,1742538.0,0.0,1.0,60.31,60.47,59.88,60.4,1742538.0
2017-11-02,60.33,60.75,59.7,60.64,2325980.0,0.0,1.0,60.33,60.75,59.7,60.64,2325980.0
2017-11-01,60.66,61.1,60.35,60.53,1780586.0,0.0,1.0,60.66,61.1,60.35,60.53,1780586.0
2017-10-31,60.42,60.84,60.21,60.21,2771980.0,0.0,1.0,60.42,60.84,60.21,60.21,2771980.0
2017-10-30,60.34,60.525,59.94,60.35,2306525.0,0.0,1.0,60.34,60.525,59.94,60.35,2306525.0
2017-10-27,60.43,60.63,60.09,60.62,2677277.0,0.0,1.0,60.43,60.63,60.09,60.62,2677277.0
2017-10-26,60.1,60.78,59.97,60.61,2156619.0,0.0,1.0,60.1,60.78,59.97,60.61,2156619.0
2017-10-25,60.43,60.46,59.45,59.78,3386953.0,0.0,1.0,60.43,60.46,59.45,59.78,3386953.0
2017-10-24,59.91,60.605,59.71,60.18,2732624.0,0.0,1.0,59.91,60.605,59.71,60.18,2732624.0
2017-10-23,59.24,60.19,59.24,59.49,2414863.0,0.0,1.0,59.24,60.19,59.24,59.49,2414863.0
2017-10-20,60.09,60.6,59.05,60.02,4268706.0,0.0,1.0,60.09,60.6,59.05,60.02,4268706.0
2017-10-19,58.8,59.43,58.69,59.11,3409162.0,0.0,1.0,58.8,59.43,58.69,59.11,3409162.0
2017-10-18,59.45,59.55,58.97,59.29,3396493.0,0.0,1.0,59.45,59.55,58.97,59.29,3396493.0
2017-10-17,60.01,60.1,59.11,59.17,2502030.0,0.0,1.0,60.01,60.1,59.11,59.17,2502030.0
2017-10-16,59.54,59.87,59.45,59.8,2275026.0,0.0,1.0,59.54,59.87,59.45,59.8,2275026.0
2017-10-13,59.48,59.6,58.69,59.46,4115375.0,0.0,1.0,59.48,59.6,58.69,59.46,4115375.0
2017-10-12,60.29,60.55,59.61,59.67,2139427.0,0.0,1.0,60.29,60.55,59.61,59.67,2139427.0
2017-10-11,60.56,60.61,60.1,60.17,4200776.0,0.0,1.0,60.56,60.61,60.1,60.17,4200776.0
2017-10-10,60.24,60.865,60.24,60.76,2263374.0,0.0,1.0,60.24,60.865,60.24,60.76,2263374.0
2017-10-09,61.15,61.29,60.2498,60.4,1421725.0,0.0,1.0,61.15,61.29,60.2498,60.4,1421725.0
2017-10-06,60.76,61.12,60.5,60.77,3243362.0,0.0,1.0,60.76,61.12,60.5,60.77,3243362.0
2017-10-05,59.71,60.65,59.31,60.64,3179044.0,0.0,1.0,59.71,60.65,59.31,60.64,3179044.0
2017-10-04,59.71,60.215,59.4,59.62,4005336.0,0.0,1.0,59.71,60.215,59.4,59.62,4005336.0
2017-10-03,59.84,59.93,59.13,59.52,2196574.0,0.0,1.0,59.84,59.93,59.13,59.52,2196574.0
2017-10-02,59.81,59.87,59.12,59.83,1922707.0,0.0,1.0,59.81,59.87,59.12,59.83,1922707.0
2017-09-29,59.27,60.04,59.18,59.77,3378140.0,0.0,1.0,59.27,60.04,59.18,59.77,3378140.0
2017-09-28,59.35,59.5,58.72,59.3,3680266.0,0.0,1.0,59.35,59.5,58.72,59.3,3680266.0
2017-09-27,58.95,59.85,58.84,59.27,4158701.0,0.0,1.0,58.95,59.85,58.84,59.27,4158701.0
2017-09-26,57.47,58.15,57.22,58.13,2946206.0,0.0,1.0,57.47,58.15,57.22,58.13,2946206.0
2017-09-25,57.09,57.75,57.05,57.47,3800387.0,0.0,1.0,57.09,57.75,57.05,57.47,3800387.0
2017-09-22,56.77,57.26,56.39,57.22,2321507.0,0.0,1.0,56.77,57.26,56.39,57.22,2321507.0
2017-09-21,56.65,57.14,56.56,57.01,2550273.0,0.0,1.0,56.65,57.14,56.56,57.01,2550273.0
2017-09-20,56.12,56.71,55.5,56.67,2875974.0,0.0,1.0,56.12,56.71,55.5,56.67,2875974.0
2017-09-19,55.54,56.26,55.49,56.03,2919942.0,0.0,1.0,55.54,56.26,55.49,56.03,2919942.0
2017-09-18,55.09,55.71,55.04,55.56,3155530.0,0.0,1.0,55.09,55.71,55.04,55.56,3155530.0
