Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,87.81,89.44,86.96,88.2,773497.0,0.0,1.0,87.81,89.44,86.96,88.2,773497.0
2018-03-26,87.54,88.0199,87.13,87.85,597865.0,0.0,1.0,87.54,88.0199,87.13,87.85,597865.0
2018-03-23,88.13,88.37,86.61,86.83,801054.0,0.0,1.0,88.13,88.37,86.61,86.83,801054.0
2018-03-22,89.11,90.56,88.13,88.16,738582.0,0.0,1.0,89.11,90.56,88.13,88.16,738582.0
2018-03-21,89.89,90.58,89.02,89.47,524932.0,0.0,1.0,89.89,90.58,89.02,89.47,524932.0
2018-03-20,91.11,91.77,89.45,89.85,743225.0,0.0,1.0,91.11,91.77,89.45,89.85,743225.0
2018-03-19,91.7,91.7,90.26,91.03,631622.0,0.0,1.0,91.7,91.7,90.26,91.03,631622.0
2018-03-16,91.13,92.05,90.82,91.9,1055790.0,0.0,1.0,91.13,92.05,90.82,91.9,1055790.0
2018-03-15,90.56,91.35,90.28,90.85,889416.0,0.0,1.0,90.56,91.35,90.28,90.85,889416.0
2018-03-14,89.65,90.5,88.91,90.38,855631.0,0.0,1.0,89.65,90.5,88.91,90.38,855631.0
2018-03-13,89.83,90.39,89.21,89.47,615142.0,0.0,1.0,89.83,90.39,89.21,89.47,615142.0
2018-03-12,89.16,89.76,88.78,89.34,675427.0,0.0,1.0,89.16,89.76,88.78,89.34,675427.0
2018-03-09,87.31,89.37,86.66,89.36,1060636.0,0.0,1.0,87.31,89.37,86.66,89.36,1060636.0
2018-03-08,86.92,87.48,86.48,87.03,1067741.0,0.0,1.0,86.92,87.48,86.48,87.03,1067741.0
2018-03-07,86.03,87.3,86.0,86.7,1502958.0,0.0,1.0,86.03,87.3,86.0,86.7,1502958.0
2018-03-06,86.68,86.86,85.81,86.22,867851.0,0.0,1.0,86.68,86.86,85.81,86.22,867851.0
2018-03-05,85.58,87.44,85.43,86.75,913341.0,0.0,1.0,85.58,87.44,85.43,86.75,913341.0
2018-03-02,85.42,86.09,85.16,85.68,836307.0,0.0,1.0,85.42,86.09,85.16,85.68,836307.0
2018-03-01,85.51,87.05,85.27,85.91,968680.0,0.0,1.0,85.51,87.05,85.27,85.91,968680.0
2018-02-28,86.08,87.48,85.81,85.82,1050135.0,0.0,1.0,86.08,87.48,85.81,85.82,1050135.0
2018-02-27,87.87,88.26,85.565,85.59,699369.0,0.0,1.0,87.87,88.26,85.565,85.59,699369.0
2018-02-26,88.34,88.47,87.28,87.77,610793.0,0.0,1.0,88.34,88.47,87.28,87.77,610793.0
2018-02-23,86.44,88.11,85.96,88.05,508215.0,0.0,1.0,86.44,88.11,85.96,88.05,508215.0
2018-02-22,85.71,86.75,85.31,85.91,846799.0,0.0,1.0,85.71,86.75,85.31,85.91,846799.0
2018-02-21,88.06,88.53,85.48,85.51,874997.0,0.0,1.0,88.06,88.53,85.48,85.51,874997.0
2018-02-20,88.27,89.72,87.03,88.25,830545.0,0.0,1.0,88.27,89.72,87.03,88.25,830545.0
