Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,120.67,121.56,114.99,115.72,405992.0,0.0,1.0,120.67,121.56,114.99,115.72,405992.0
2018-03-26,117.5,120.7,116.23,119.85,325582.0,0.0,1.0,117.5,120.7,116.23,119.85,325582.0
2018-03-23,120.08,120.28,114.82,114.89,348889.0,0.0,1.0,120.08,120.28,114.82,114.89,348889.0
2018-03-22,123.7,124.18,119.82,120.03,230259.0,0.0,1.0,123.7,124.18,119.82,120.03,230259.0
2018-03-21,124.88,127.4,124.01,125.39,305594.0,0.0,1.0,124.88,127.4,124.01,125.39,305594.0
2018-03-20,123.01,125.45,121.865,125.11,337509.0,0.0,1.0,123.01,125.45,121.865,125.11,337509.0
2018-03-19,123.83,124.29,119.8,123.06,326145.0,0.0,1.0,123.83,124.29,119.8,123.06,326145.0
2018-03-16,123.74,125.11,122.97,124.72,446042.0,0.0,1.0,123.74,125.11,122.97,124.72,446042.0
2018-03-15,123.73,125.0,122.27,123.4,243603.0,0.0,1.0,123.73,125.0,122.27,123.4,243603.0
2018-03-14,124.52,124.52,122.46,123.2,160981.0,0.0,1.0,124.52,124.52,122.46,123.2,160981.0
2018-03-13,126.25,127.605,123.2,123.7,247493.0,0.0,1.0,126.25,127.605,123.2,123.7,247493.0
2018-03-12,125.0,126.54,124.27,125.51,213901.0,0.0,1.0,125.0,126.54,124.27,125.51,213901.0
2018-03-09,121.0,125.0,120.84,124.87,266576.0,0.0,1.0,121.0,125.0,120.84,124.87,266576.0
2018-03-08,120.04,120.325,118.77,119.87,226891.0,0.0,1.0,120.04,120.325,118.77,119.87,226891.0
2018-03-07,118.13,120.3,118.0372,119.37,223662.0,0.0,1.0,118.13,120.3,118.0372,119.37,223662.0
2018-03-06,119.28,119.7666,117.72,119.03,381150.0,0.0,1.0,119.28,119.7666,117.72,119.03,381150.0
2018-03-05,117.14,119.2,116.42,118.42,223244.0,0.0,1.0,117.14,119.2,116.42,118.42,223244.0
2018-03-02,114.34,118.5598,113.64,118.15,194610.0,0.0,1.0,114.34,118.5598,113.64,118.15,194610.0
2018-03-01,117.18,117.73,114.65,115.77,215202.0,0.0,1.0,117.18,117.73,114.65,115.77,215202.0
2018-02-28,119.12,119.82,117.01,117.06,188855.0,0.0,1.0,119.12,119.82,117.01,117.06,188855.0
2018-02-27,119.83,121.1136,118.37,118.58,452942.0,0.0,1.0,119.83,121.1136,118.37,118.58,452942.0
2018-02-26,118.66,119.96,118.27,119.82,152663.0,0.0,1.0,118.66,119.96,118.27,119.82,152663.0
2018-02-23,117.83,118.75,116.4,118.05,222467.0,0.0,1.0,117.83,118.75,116.4,118.05,222467.0
2018-02-22,117.69,118.22,116.2,117.19,256192.0,0.0,1.0,117.69,118.22,116.2,117.19,256192.0
2018-02-21,120.33,120.6195,117.08,117.16,282811.0,0.0,1.0,120.33,120.6195,117.08,117.16,282811.0
2018-02-20,116.44,120.24,116.0001,119.68,411443.0,0.0,1.0,116.44,120.24,116.0001,119.68,411443.0
2018-02-16,115.87,117.99,115.87,117.0,410166.0,0.0,1.0,115.87,117.99,115.87,117.0,410166.0
2018-02-15,114.38,116.42,112.21,116.17,328256.0,0.0,1.0,114.38,116.42,112.21,116.17,328256.0
2018-02-14,108.71,113.16,108.05,112.99,386646.0,0.0,1.0,108.71,113.16,108.05,112.99,386646.0
2018-02-13,108.83,110.04,107.02,109.97,405734.0,0.0,1.0,108.83,110.04,107.02,109.97,405734.0
2018-02-12,110.8,110.81,107.8,109.91,661313.0,0.0,1.0,110.8,110.81,107.8,109.91,661313.0
2018-02-09,105.0,112.24,105.0,109.91,996563.0,0.0,1.0,105.0,112.24,105.0,109.91,996563.0
2018-02-08,109.75,110.7,103.8616,104.03,565944.0,0.0,1.0,109.75,110.7,103.8616,104.03,565944.0
2018-02-07,113.58,114.13,109.96,110.0,382164.0,0.0,1.0,113.58,114.13,109.96,110.0,382164.0
2018-02-06,106.95,114.44,103.14,114.04,605856.0,0.0,1.0,106.95,114.44,103.14,114.04,605856.0
2018-02-05,113.55,116.03,109.735,110.04,439085.0,0.0,1.0,113.55,116.03,109.735,110.04,439085.0
2018-02-02,118.87,118.99,114.92,115.04,330668.0,0.0,1.0,118.87,118.99,114.92,115.04,330668.0
2018-02-01,118.09,120.91,117.7205,120.19,171041.0,0.0,1.0,118.09,120.91,117.7205,120.19,171041.0
2018-01-31,120.88,121.71,118.5238,119.12,223308.0,0.0,1.0,120.88,121.71,118.5238,119.12,223308.0
2018-01-30,120.66,123.38,119.01,119.58,287482.0,0.0,1.0,120.66,123.38,119.01,119.58,287482.0
2018-01-29,121.55,123.445,120.67,122.76,304092.0,0.0,1.0,121.55,123.445,120.67,122.76,304092.0
2018-01-26,118.84,122.45,117.67,122.42,223018.0,0.0,1.0,118.84,122.45,117.67,122.42,223018.0
2018-01-25,121.53,121.82,117.25,117.58,304794.0,0.0,1.0,121.53,121.82,117.25,117.58,304794.0
2018-01-24,119.47,121.69,119.22,119.97,376196.0,0.0,1.0,119.47,121.69,119.22,119.97,376196.0
2018-01-23,120.16,121.9,119.2056,121.14,375574.0,0.0,1.0,120.16,121.9,119.2056,121.14,375574.0
2018-01-22,119.74,121.19,119.08,120.19,383467.0,0.0,1.0,119.74,121.19,119.08,120.19,383467.0
2018-01-19,120.0,120.63,118.6,119.99,301088.0,0.0,1.0,120.0,120.63,118.6,119.99,301088.0
2018-01-18,120.49,122.38,119.47,119.68,313131.0,0.0,1.0,120.49,122.38,119.47,119.68,313131.0
2018-01-17,121.24,121.24,119.62,120.51,540580.0,0.0,1.0,121.24,121.24,119.62,120.51,540580.0
2018-01-16,123.75,124.44,119.77,119.9,248221.0,0.0,1.0,123.75,124.44,119.77,119.9,248221.0
2018-01-12,121.94,123.73,120.72,122.89,120523.0,0.0,1.0,121.94,123.73,120.72,122.89,120523.0
2018-01-11,120.14,121.9,118.88,121.72,213179.0,0.0,1.0,120.14,121.9,118.88,121.72,213179.0
2018-01-10,119.97,121.05,119.57,120.02,181557.0,0.0,1.0,119.97,121.05,119.57,120.02,181557.0
2018-01-09,121.71,122.06,120.5,121.35,155262.0,0.0,1.0,121.71,122.06,120.5,121.35,155262.0
