Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,83.71,84.46,81.39,81.92,1378318.0,0.0,1.0,83.71,84.46,81.39,81.92,1378318.0
2018-03-26,81.94,83.71,81.77,83.5,818337.0,0.0,1.0,81.94,83.71,81.77,83.5,818337.0
2018-03-23,82.21,82.65,80.62,80.72,603095.0,0.0,1.0,82.21,82.65,80.62,80.72,603095.0
2018-03-22,83.61,84.13,81.92,82.02,678657.0,0.0,1.0,83.61,84.13,81.92,82.02,678657.0
2018-03-21,84.12,84.89,83.99,84.21,534274.0,0.0,1.0,84.12,84.89,83.99,84.21,534274.0
2018-03-20,84.01,84.74,83.73,84.15,902023.0,0.0,1.0,84.01,84.74,83.73,84.15,902023.0
2018-03-19,83.92,84.2,82.86,83.62,488544.0,0.0,1.0,83.92,84.2,82.86,83.62,488544.0
2018-03-16,84.19,84.485,83.56,83.97,860832.0,0.0,1.0,84.19,84.485,83.56,83.97,860832.0
2018-03-15,84.36,84.36,83.54,84.08,657563.0,0.0,1.0,84.36,84.36,83.54,84.08,657563.0
2018-03-14,85.6,85.64,84.1,84.37,548145.0,0.0,1.0,85.6,85.64,84.1,84.37,548145.0
2018-03-13,86.47,86.47,85.02,85.25,477142.0,0.0,1.0,86.47,86.47,85.02,85.25,477142.0
2018-03-12,86.72,87.0,85.18,85.89,826988.0,0.0,1.0,86.72,87.0,85.18,85.89,826988.0
2018-03-09,85.41,86.67,85.085,86.53,680145.0,0.0,1.0,85.41,86.67,85.085,86.53,680145.0
2018-03-08,84.22,85.01,83.64,84.86,602765.0,0.0,1.0,84.22,85.01,83.64,84.86,602765.0
2018-03-07,83.05,84.11,83.03,83.95,555025.0,0.0,1.0,83.05,84.11,83.03,83.95,555025.0
2018-03-06,82.57,84.47,82.04,83.91,1232684.0,0.0,1.0,82.57,84.47,82.04,83.91,1232684.0
2018-03-05,80.19,81.94,79.99,81.77,541317.0,0.0,1.0,80.19,81.94,79.99,81.77,541317.0
2018-03-02,79.28,80.775,79.05,80.59,461168.0,0.0,1.0,79.28,80.775,79.05,80.59,461168.0
2018-03-01,81.0,81.0,79.22,79.6,660199.0,0.0,1.0,81.0,81.0,79.22,79.6,660199.0
2018-02-28,82.13,82.71,80.74,80.75,689698.0,0.0,1.0,82.13,82.71,80.74,80.75,689698.0
2018-02-27,81.74,82.54,81.23,81.69,1047104.0,0.0,1.0,81.74,82.54,81.23,81.69,1047104.0
2018-02-26,81.08,81.72,80.66,81.66,1129999.0,0.0,1.0,81.08,81.72,80.66,81.66,1129999.0
2018-02-23,78.66,80.5,78.52,80.48,1432744.0,0.0,1.0,78.66,80.5,78.52,80.48,1432744.0
2018-02-22,79.32,79.66,77.9601,78.2,487547.0,0.0,1.0,79.32,79.66,77.9601,78.2,487547.0
2018-02-21,79.06,80.66,78.84,79.12,871786.0,0.0,1.0,79.06,80.66,78.84,79.12,871786.0
2018-02-20,78.85,80.435,78.55,78.8,1153013.0,0.0,1.0,78.85,80.435,78.55,78.8,1153013.0
2018-02-16,79.92,80.3,78.86,79.02,1071717.0,0.0,1.0,79.92,80.3,78.86,79.02,1071717.0
2018-02-15,80.44,80.68,78.6,80.38,851723.0,0.0,1.0,80.44,80.68,78.6,80.38,851723.0
2018-02-14,78.2,79.86,77.9,79.76,1242788.0,0.0,1.0,78.2,79.86,77.9,79.76,1242788.0
2018-02-13,77.38,78.655,77.06,78.5,741646.0,0.0,1.0,77.38,78.655,77.06,78.5,741646.0
2018-02-12,77.05,78.14,77.04,77.56,1132161.0,0.0,1.0,77.05,78.14,77.04,77.56,1132161.0
2018-02-09,75.22,76.66,73.83,76.1,1559397.0,0.0,1.0,75.22,76.66,73.83,76.1,1559397.0
2018-02-08,77.17,77.93,74.8,75.21,1440238.0,0.0,1.0,77.17,77.93,74.8,75.21,1440238.0
2018-02-07,77.52,78.65,77.24,77.27,1437720.0,0.0,1.0,77.52,78.65,77.24,77.27,1437720.0
