Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,34.45,35.2,34.14,34.7,1586323.0,0.0,1.0,34.45,35.2,34.14,34.7,1586323.0
2018-03-26,34.37,34.53,34.12,34.45,1359791.0,0.0,1.0,34.37,34.53,34.12,34.45,1359791.0
2018-03-23,34.75,34.89,34.025,34.14,2094362.0,0.0,1.0,34.75,34.89,34.025,34.14,2094362.0
2018-03-22,35.2,35.63,34.76,34.77,1821639.0,0.0,1.0,35.2,35.63,34.76,34.77,1821639.0
2018-03-21,35.38,35.68,35.1,35.29,985631.0,0.0,1.0,35.38,35.68,35.1,35.29,985631.0
2018-03-20,35.64,35.88,35.31,35.43,1276407.0,0.0,1.0,35.64,35.88,35.31,35.43,1276407.0
2018-03-19,35.7,35.79,35.251,35.65,1500567.0,0.0,1.0,35.7,35.79,35.251,35.65,1500567.0
2018-03-16,35.64,36.01,35.59,35.96,2060461.0,0.0,1.0,35.64,36.01,35.59,35.96,2060461.0
2018-03-15,35.61,35.82,35.45,35.67,1224830.0,0.0,1.0,35.61,35.82,35.45,35.67,1224830.0
2018-03-14,35.45,35.69,35.375,35.54,1819873.0,0.0,1.0,35.45,35.69,35.375,35.54,1819873.0
2018-03-13,35.53,35.675,35.31,35.41,2043800.0,0.0,1.0,35.53,35.675,35.31,35.41,2043800.0
2018-03-12,35.22,35.41,35.03,35.32,1601935.0,0.0,1.0,35.22,35.41,35.03,35.32,1601935.0
2018-03-09,34.8,35.24,34.5,35.24,1676710.0,0.0,1.0,34.8,35.24,34.5,35.24,1676710.0
2018-03-08,34.2,34.54,34.05,34.48,1041822.0,0.0,1.0,34.2,34.54,34.05,34.48,1041822.0
2018-03-07,33.72,34.17,33.65,34.15,1609218.0,0.0,1.0,33.72,34.17,33.65,34.15,1609218.0
2018-03-06,33.62,33.99,33.39,33.88,1376861.0,0.0,1.0,33.62,33.99,33.39,33.88,1376861.0
2018-03-05,33.26,33.86,33.04,33.67,1475540.0,0.0,1.0,33.26,33.86,33.04,33.67,1475540.0
2018-03-02,33.59,33.79,33.13,33.38,1406170.0,0.0,1.0,33.59,33.79,33.13,33.38,1406170.0
2018-03-01,33.5,34.19,33.37,33.7,1753135.0,0.0,1.0,33.5,34.19,33.37,33.7,1753135.0
2018-02-28,33.72,34.1,33.61,33.62,2057277.0,0.0,1.0,33.72,34.1,33.61,33.62,2057277.0
2018-02-27,34.1,34.21,33.33,33.58,1799749.0,0.0,1.0,34.1,34.21,33.33,33.58,1799749.0
2018-02-26,34.23,34.37,33.95,34.14,1299434.0,0.0,1.0,34.23,34.37,33.95,34.14,1299434.0
2018-02-23,33.63,34.16,33.47,34.14,1016736.0,0.0,1.0,33.63,34.16,33.47,34.14,1016736.0
2018-02-22,33.32,33.79,33.26,33.44,1295411.0,0.0,1.0,33.32,33.79,33.26,33.44,1295411.0
2018-02-21,34.23,34.315,33.16,33.22,1993169.0,0.0,1.0,34.23,34.315,33.16,33.22,1993169.0
2018-02-20,34.47,34.8,34.19,34.24,1778293.0,0.0,1.0,34.47,34.8,34.19,34.24,1778293.0
2018-02-16,34.48,34.84,34.38,34.61,2656170.0,0.0,1.0,34.48,34.84,34.38,34.61,2656170.0
