Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,103.63,104.2,97.71,98.04,3486513.0,0.0,1.0,103.63,104.2,97.71,98.04,3486513.0
2018-03-26,101.78,103.27,101.63,103.1,2136618.0,0.0,1.0,101.78,103.27,101.63,103.1,2136618.0
2018-03-23,102.29,103.87,99.64,99.7,2190027.0,0.0,1.0,102.29,103.87,99.64,99.7,2190027.0
2018-03-22,103.4,104.7481,102.26,102.39,2645943.0,0.0,1.0,103.4,104.7481,102.26,102.39,2645943.0
2018-03-21,105.01,106.065,103.88,104.73,2048912.0,0.0,1.0,105.01,106.065,103.88,104.73,2048912.0
2018-03-20,105.34,106.51,104.36,105.24,2861206.0,0.0,1.0,105.34,106.51,104.36,105.24,2861206.0
2018-03-19,106.275,107.01,102.54,104.5,4978632.0,0.0,1.0,106.275,107.01,102.54,104.5,4978632.0
2018-03-16,108.94,109.72,106.25,107.29,18362494.0,0.0,1.0,108.94,109.72,106.25,107.29,18362494.0
2018-03-15,109.35,110.4,107.84,108.9,3523767.0,0.0,1.0,109.35,110.4,107.84,108.9,3523767.0
2018-03-14,111.58,111.63,106.1,109.23,5356066.0,0.0,1.0,111.58,111.63,106.1,109.23,5356066.0
2018-03-13,116.5,116.58,111.97,113.49,3517217.0,0.0,1.0,116.5,116.58,111.97,113.49,3517217.0
2018-03-12,115.85,117.35,113.89,115.735,3803001.0,0.0,1.0,115.85,117.35,113.89,115.735,3803001.0
2018-03-09,114.48,116.83,113.59,116.61,2313984.0,0.0,1.0,114.48,116.83,113.59,116.61,2313984.0
2018-03-08,111.61,113.73,110.21,113.58,3099481.0,0.0,1.0,111.61,113.73,110.21,113.58,3099481.0
2018-03-07,109.62,111.39,108.25,110.94,1977032.0,0.0,1.0,109.62,111.39,108.25,110.94,1977032.0
2018-03-06,112.38,112.97,109.05,110.71,1820922.0,0.0,1.0,112.38,112.97,109.05,110.71,1820922.0
2018-03-05,110.03,112.82,109.43,111.93,1388578.0,0.0,1.0,110.03,112.82,109.43,111.93,1388578.0
2018-03-02,106.84,111.21,105.81,110.77,1768107.0,0.0,1.0,106.84,111.21,105.81,110.77,1768107.0
2018-03-01,111.61,112.99,106.8814,107.54,2372822.0,0.0,1.0,111.61,112.99,106.8814,107.54,2372822.0
2018-02-28,113.55,114.17,111.8,111.87,1843608.0,0.0,1.0,113.55,114.17,111.8,111.87,1843608.0
2018-02-27,114.32,115.12,112.21,112.23,991058.0,0.0,1.0,114.32,115.12,112.21,112.23,991058.0
2018-02-26,112.6,115.44,112.52,114.58,1722518.0,0.0,1.0,112.6,115.44,112.52,114.58,1722518.0
2018-02-23,109.57,111.84,108.5,111.65,1354520.0,0.0,1.0,109.57,111.84,108.5,111.65,1354520.0
2018-02-22,108.99,109.865,108.1,108.63,1067796.0,0.0,1.0,108.99,109.865,108.1,108.63,1067796.0
2018-02-21,107.6,110.27,107.59,108.54,1743715.0,0.0,1.0,107.6,110.27,107.59,108.54,1743715.0
2018-02-20,106.44,108.32,106.44,107.48,1166795.0,0.0,1.0,106.44,108.32,106.44,107.48,1166795.0
2018-02-16,108.11,108.97,106.65,107.04,1787811.0,0.0,1.0,108.11,108.97,106.65,107.04,1787811.0
2018-02-15,107.59,108.85,105.65,108.16,2478508.0,0.0,1.0,107.59,108.85,105.65,108.16,2478508.0
2018-02-14,106.98,108.85,106.29,106.56,2532653.0,0.0,1.0,106.98,108.85,106.29,106.56,2532653.0
2018-02-13,108.53,109.305,106.73,107.78,2052346.0,0.0,1.0,108.53,109.305,106.73,107.78,2052346.0
2018-02-12,109.29,112.24,108.7,109.93,3204022.0,0.0,1.0,109.29,112.24,108.7,109.93,3204022.0
2018-02-09,105.5,109.09,102.16,108.455,5200928.0,0.0,1.0,105.5,109.09,102.16,108.455,5200928.0
2018-02-08,112.0,115.6,103.22,103.61,7747369.0,0.0,1.0,112.0,115.6,103.22,103.61,7747369.0
2018-02-07,118.77,120.34,116.75,117.19,3144885.0,0.0,1.0,118.77,120.34,116.75,117.19,3144885.0
2018-02-06,113.0,118.33,113.0,118.27,3521164.0,0.0,1.0,113.0,118.33,113.0,118.27,3521164.0
2018-02-05,119.86,123.32,116.391,117.94,2392460.0,0.0,1.0,119.86,123.32,116.391,117.94,2392460.0
2018-02-02,123.13,125.43,120.51,121.66,2244630.0,0.0,1.0,123.13,125.43,120.51,121.66,2244630.0
2018-02-01,126.85,129.25,119.05,124.65,5052110.0,0.0,1.0,126.85,129.25,119.05,124.65,5052110.0
2018-01-31,120.99,127.77,120.99,126.67,3729144.0,0.0,1.0,120.99,127.77,120.99,126.67,3729144.0
2018-01-30,117.5,120.58,116.67,118.31,1399568.0,0.0,1.0,117.5,120.58,116.67,118.31,1399568.0
2018-01-29,119.0,122.21,118.7,119.29,2159676.0,0.0,1.0,119.0,122.21,118.7,119.29,2159676.0
2018-01-26,117.97,119.37,116.8198,119.37,1205291.0,0.0,1.0,117.97,119.37,116.8198,119.37,1205291.0
2018-01-25,116.74,117.81,115.47,117.2,847929.0,0.0,1.0,116.74,117.81,115.47,117.2,847929.0
2018-01-24,117.34,117.34,114.54,116.24,1567954.0,0.0,1.0,117.34,117.34,114.54,116.24,1567954.0
2018-01-23,118.33,118.92,116.41,116.81,2198904.0,0.0,1.0,118.33,118.92,116.41,116.81,2198904.0
2018-01-22,117.77,119.43,116.92,118.4,1151984.0,0.0,1.0,117.77,119.43,116.92,118.4,1151984.0
2018-01-19,117.71,118.61,117.23,118.05,1242270.0,0.0,1.0,117.71,118.61,117.23,118.05,1242270.0
2018-01-18,115.78,118.2,114.46,117.27,1358407.0,0.0,1.0,115.78,118.2,114.46,117.27,1358407.0
2018-01-17,114.7,116.97,113.72,116.09,1574048.0,0.0,1.0,114.7,116.97,113.72,116.09,1574048.0
2018-01-16,118.07,118.13,113.1,113.96,2061047.0,0.0,1.0,118.07,118.13,113.1,113.96,2061047.0
2018-01-12,116.95,118.9,115.85,117.31,1744790.0,0.0,1.0,116.95,118.9,115.85,117.31,1744790.0
2018-01-11,116.32,118.48,115.4,116.98,1350940.0,0.0,1.0,116.32,118.48,115.4,116.98,1350940.0
2018-01-10,113.92,115.76,113.15,115.55,1364046.0,0.0,1.0,113.92,115.76,113.15,115.55,1364046.0
2018-01-09,117.77,118.17,113.76,114.91,1702159.0,0.0,1.0,117.77,118.17,113.76,114.91,1702159.0
2018-01-08,116.5,120.18,115.11,117.37,1572298.0,0.0,1.0,116.5,120.18,115.11,117.37,1572298.0
2018-01-05,114.91,117.1899,114.28,116.91,1513126.0,0.0,1.0,114.91,117.1899,114.28,116.91,1513126.0
2018-01-04,114.92,115.2835,112.59,114.02,1319068.0,0.0,1.0,114.92,115.2835,112.59,114.02,1319068.0
2018-01-03,113.47,114.699,112.74,113.88,1447098.0,0.0,1.0,113.47,114.699,112.74,113.88,1447098.0
2018-01-02,110.03,113.07,109.55,112.87,1552670.0,0.0,1.0,110.03,113.07,109.55,112.87,1552670.0
2017-12-29,109.4,110.22,108.25,109.78,1173865.0,0.0,1.0,109.4,110.22,108.25,109.78,1173865.0
2017-12-28,108.3,109.81,107.115,109.59,785273.0,0.0,1.0,108.3,109.81,107.115,109.59,785273.0
2017-12-27,108.61,109.79,107.53,107.8,874339.0,0.0,1.0,108.61,109.79,107.53,107.8,874339.0
2017-12-26,108.87,109.02,107.68,108.25,612333.0,0.0,1.0,108.87,109.02,107.68,108.25,612333.0
2017-12-22,110.54,110.76,108.97,109.14,724511.0,0.0,1.0,110.54,110.76,108.97,109.14,724511.0
2017-12-21,108.66,111.16,107.46,110.46,1128328.0,0.0,1.0,108.66,111.16,107.46,110.46,1128328.0
2017-12-20,109.86,109.86,107.66,108.75,987089.0,0.0,1.0,109.86,109.86,107.66,108.75,987089.0
2017-12-19,109.77,110.61,108.57,109.28,2282054.0,0.0,1.0,109.77,110.61,108.57,109.28,2282054.0
2017-12-18,113.8,114.46,108.96,110.32,2469655.0,0.0,1.0,113.8,114.46,108.96,110.32,2469655.0
