Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,247.75,250.0,219.845,225.52,34462113.0,0.0,1.0,247.75,250.0,219.845,225.52,34462113.0
2018-03-26,238.0,244.53,235.9,244.48,15130542.0,0.0,1.0,238.0,244.53,235.9,244.48,15130542.0
2018-03-23,242.4,242.67,232.52,232.97,18225390.0,0.0,1.0,242.4,242.67,232.52,232.97,18225390.0
2018-03-22,246.0,247.88,240.34099999999998,241.85,13663927.0,0.0,1.0,246.0,247.88,240.34099999999998,241.85,13663927.0
2018-03-21,249.32,252.0,247.33,248.56,10841782.0,0.0,1.0,249.32,252.0,247.33,248.56,10841782.0
2018-03-20,241.12,251.15,241.12,249.58,13725505.0,0.0,1.0,241.12,251.15,241.12,249.58,13725505.0
2018-03-19,248.18,249.35,237.0,241.0,17472128.0,0.0,1.0,248.18,249.35,237.0,241.0,17472128.0
2018-03-16,250.0,251.25,248.48,250.48,9634107.0,0.0,1.0,250.0,251.25,248.48,250.48,9634107.0
2018-03-15,249.29,252.62,247.64,249.34,9992834.0,0.0,1.0,249.29,252.62,247.64,249.34,9992834.0
2018-03-14,249.45,250.55,246.22,248.74,12573947.0,0.0,1.0,249.45,250.55,246.22,248.74,12573947.0
2018-03-13,251.49,254.5,246.04,247.71,15408000.0,0.0,1.0,251.49,254.5,246.04,247.71,15408000.0
2018-03-12,247.0,253.0,246.6723,249.76,15056073.0,0.0,1.0,247.0,253.0,246.6723,249.76,15056073.0
2018-03-09,243.1,245.85,242.4501,245.33,12580234.0,0.0,1.0,243.1,245.85,242.4501,245.33,12580234.0
2018-03-08,242.95,242.95,239.3907,241.18,10163665.0,0.0,1.0,242.95,242.95,239.3907,241.18,10163665.0
2018-03-07,238.0,243.95,237.95,241.84,14530226.0,0.0,1.0,238.0,243.95,237.95,241.84,14530226.0
2018-03-06,239.1,242.94,237.36,242.16,15920243.0,0.0,1.0,239.1,242.94,237.36,242.16,15920243.0
2018-03-05,234.51,237.25,229.521,235.65,15519413.0,0.0,1.0,234.51,237.25,229.521,235.65,15519413.0
2018-03-02,227.86,236.8,221.85,236.54,22835685.0,0.0,1.0,227.86,236.8,221.85,236.54,22835685.0
2018-03-01,241.91,244.09,228.1248,232.21,26002972.0,0.0,1.0,241.91,244.09,228.1248,232.21,26002972.0
2018-02-28,246.5,248.1,241.53,242.0,12950470.0,0.0,1.0,246.5,248.1,241.53,242.0,12950470.0
2018-02-27,245.5,248.91,245.13,246.06,11323269.0,0.0,1.0,245.5,248.91,245.13,246.06,11323269.0
2018-02-26,247.8,247.98,244.06,246.58,11145830.0,0.0,1.0,247.8,247.98,244.06,246.58,11145830.0
2018-02-23,244.57,245.93,242.5201,245.93,10258215.0,0.0,1.0,244.57,245.93,242.5201,245.93,10258215.0
2018-02-22,242.73,245.63,239.5,242.15,12998992.0,0.0,1.0,242.73,245.63,239.5,242.15,12998992.0
2018-02-21,251.69,251.9675,241.36,241.51,21021844.0,0.0,1.0,251.69,251.9675,241.36,241.51,21021844.0
2018-02-20,244.75,251.87,244.6,249.08,17075723.0,0.0,1.0,244.75,251.87,244.6,249.08,17075723.0
2018-02-16,245.4,250.0,243.47,243.84,15812549.0,0.0,1.0,245.4,250.0,243.47,243.84,15812549.0
2018-02-15,244.785,248.37,241.52,246.5,17392024.0,0.0,1.0,244.785,248.37,241.52,246.5,17392024.0
2018-02-14,231.0,242.5925,230.55,241.42,18453757.0,0.0,1.0,231.0,242.5925,230.55,241.42,18453757.0
2018-02-13,226.56,234.5,225.25,232.63,15573359.0,0.0,1.0,226.56,234.5,225.25,232.63,15573359.0
2018-02-12,235.355,235.48,225.0305,228.03,27179807.0,0.0,1.0,235.355,235.48,225.0305,228.03,27179807.0
2018-02-09,238.25,238.89,217.52,230.93,41044898.0,0.0,1.0,238.25,238.89,217.52,230.93,41044898.0
2018-02-08,233.88,235.22,217.51,217.52,21664353.0,0.0,1.0,233.88,235.22,217.51,217.52,21664353.0
2018-02-07,229.58,234.97,226.7,228.8,19931234.0,0.0,1.0,229.58,234.97,226.7,228.8,19931234.0
2018-02-06,204.4,225.7,204.0,225.58,26591746.0,0.0,1.0,204.4,225.7,204.0,225.58,26591746.0
2018-02-05,227.0,233.23,205.0,215.19,27907654.0,0.0,1.0,227.0,233.23,205.0,215.19,27907654.0
2018-02-02,237.0,237.97,231.17,233.52,17794503.0,0.0,1.0,237.0,237.97,231.17,233.52,17794503.0
2018-02-01,238.52,246.9,238.06,240.5,12716271.0,0.0,1.0,238.52,246.9,238.06,240.5,12716271.0
2018-01-31,245.77,249.27,244.45,245.8,11818115.0,0.0,1.0,245.77,249.27,244.45,245.8,11818115.0
2018-01-30,241.11,246.42,238.41,242.72,14133180.0,0.0,1.0,241.11,246.42,238.41,242.72,14133180.0
2018-01-29,242.74,248.11,240.61,246.85,11282948.0,0.0,1.0,242.74,248.11,240.61,246.85,11282948.0
2018-01-26,238.12,243.34,237.6,243.33,12755309.0,0.0,1.0,238.12,243.34,237.6,243.33,12755309.0
2018-01-25,238.0,239.75,235.75,236.35,10105341.0,0.0,1.0,238.0,239.75,235.75,236.35,10105341.0
2018-01-24,239.04,240.4936,233.55,235.8,14406492.0,0.0,1.0,239.04,240.4936,233.55,235.8,14406492.0
2018-01-23,235.85,239.83,235.101,238.91,11293069.0,0.0,1.0,235.85,239.83,235.101,238.91,11293069.0
2018-01-22,230.43,233.76,228.1,233.69,9614659.0,0.0,1.0,230.43,233.76,228.1,233.69,9614659.0
2018-01-19,228.09,231.09,227.0,230.11,14544968.0,0.0,1.0,228.09,231.09,227.0,230.11,14544968.0
2018-01-18,223.94,226.64,222.68,224.44,10071489.0,0.0,1.0,223.94,226.64,222.68,224.44,10071489.0
2018-01-17,220.7,225.12,216.9,224.72,13112629.0,0.0,1.0,220.7,225.12,216.9,224.72,13112629.0
2018-01-16,224.05,227.51,216.69,220.11,17104812.0,0.0,1.0,224.05,227.51,216.69,220.11,17104812.0
2018-01-12,223.6,224.99,221.34,222.75900000000001,8931936.0,0.0,1.0,223.6,224.99,221.34,222.75900000000001,8931936.0
2018-01-11,225.0,226.27,223.21,224.019,9812137.0,0.0,1.0,225.0,226.27,223.21,224.019,9812137.0
2018-01-10,218.2,223.82,216.0,223.68,14087612.0,0.0,1.0,218.2,223.82,216.0,223.68,14087612.0
2018-01-09,222.22,223.82,218.64,221.94,11750593.0,0.0,1.0,222.22,223.82,218.64,221.94,11750593.0
2018-01-08,220.4,225.0,218.58,222.0,21190932.0,0.0,1.0,220.4,225.0,218.58,222.0,21190932.0
2018-01-05,214.19,216.91,211.08,215.4,14008768.0,0.0,1.0,214.19,216.91,211.08,215.4,14008768.0
2018-01-04,215.76,218.05,212.69,213.59,14346675.0,0.0,1.0,215.76,218.05,212.69,213.59,14346675.0
2018-01-03,204.1,213.7,203.75,212.47,22499518.0,0.0,1.0,204.1,213.7,203.75,212.47,22499518.0
2018-01-02,195.78,199.5,194.5,199.35,8303752.0,0.0,1.0,195.78,199.5,194.5,199.35,8303752.0
2017-12-29,198.46,198.46,193.5,193.5,6896330.0,0.0,1.0,198.46,198.46,193.5,193.5,6896330.0
2017-12-28,198.13,199.38,197.1514,197.4,5978211.0,0.0,1.0,198.13,199.38,197.1514,197.4,5978211.0
2017-12-27,196.9,199.97,196.31,197.17,8097374.0,0.0,1.0,196.9,199.97,196.31,197.17,8097374.0
2017-12-26,193.03,197.75,191.82,197.44,8821296.0,0.0,1.0,193.03,197.75,191.82,197.44,8821296.0
2017-12-22,194.4,195.65,191.25,195.27,11613423.0,0.0,1.0,194.4,195.65,191.25,195.27,11613423.0
2017-12-21,196.94,197.95,195.55,195.89,7458634.0,0.0,1.0,196.94,197.95,195.55,195.89,7458634.0
2017-12-20,197.7,198.07,194.55,196.8,7185318.0,0.0,1.0,197.7,198.07,194.55,196.8,7185318.0
2017-12-19,197.52,197.73,194.96,196.11,9217358.0,0.0,1.0,197.52,197.73,194.96,196.11,9217358.0
2017-12-18,193.2,198.02,192.0,197.9,11730697.0,0.0,1.0,193.2,198.02,192.0,197.9,11730697.0
2017-12-15,188.25099999999998,192.38,185.62,191.56,16090200.0,0.0,1.0,188.25099999999998,192.38,185.62,191.56,16090200.0
2017-12-14,185.92,189.34,184.6,186.47,10871746.0,0.0,1.0,185.92,189.34,184.6,186.47,10871746.0
2017-12-13,192.5,192.55,185.88,186.18,13744496.0,0.0,1.0,192.5,192.55,185.88,186.18,13744496.0
2017-12-12,192.9,193.84,189.89,190.84,11296559.0,0.0,1.0,192.9,193.84,189.89,190.84,11296559.0
2017-12-11,192.06,194.78,191.42,194.66,9106693.0,0.0,1.0,192.06,194.78,191.42,194.66,9106693.0
2017-12-08,194.01,194.78,191.15,191.49,11483868.0,0.0,1.0,194.01,194.78,191.15,191.49,11483868.0
2017-12-07,191.96,193.6,190.12,191.99,13190983.0,0.0,1.0,191.96,193.6,190.12,191.99,13190983.0
2017-12-06,185.7,190.14,184.84,189.26,11464458.0,0.0,1.0,185.7,190.14,184.84,189.26,11464458.0
2017-12-05,182.4,192.7,180.58,187.74,24480558.0,0.0,1.0,182.4,192.7,180.58,187.74,24480558.0
2017-12-04,200.05,200.3,184.5,186.66,27080405.0,0.0,1.0,200.05,200.3,184.5,186.66,27080405.0
2017-12-01,199.31,200.13,192.47,197.68,16352946.0,0.0,1.0,199.31,200.13,192.47,197.68,16352946.0
2017-11-30,199.2,202.68,196.65,200.71,20144301.0,0.0,1.0,199.2,202.68,196.65,200.71,20144301.0
2017-11-29,210.01,210.1226,191.23,196.42,34731979.0,0.0,1.0,210.01,210.1226,191.23,196.42,34731979.0
2017-11-28,214.35,214.73,208.24,210.71,12677148.0,0.0,1.0,214.35,214.73,208.24,210.71,12677148.0
2017-11-27,217.31,217.36,214.01,214.14,10477983.0,0.0,1.0,217.31,217.36,214.01,214.14,10477983.0
2017-11-24,215.59,217.0,214.6,216.96,4517982.0,0.0,1.0,215.59,217.0,214.6,216.96,4517982.0
2017-11-22,217.0,217.0,213.61,214.93,8766814.0,0.0,1.0,217.0,217.0,213.61,214.93,8766814.0
2017-11-21,215.69,216.52,214.4,216.05,9858634.0,0.0,1.0,215.69,216.52,214.4,216.05,9858634.0
2017-11-20,211.99,214.57,210.5,214.08,9828414.0,0.0,1.0,211.99,214.57,210.5,214.08,9828414.0
2017-11-17,213.92,215.35,210.75,211.36,12702474.0,0.0,1.0,213.92,215.35,210.75,211.36,12702474.0
2017-11-16,212.98,214.2,211.25,211.61,9947915.0,0.0,1.0,212.98,214.2,211.25,211.61,9947915.0
2017-11-15,211.95,212.0,207.8,209.98,12427082.0,0.0,1.0,211.95,212.0,207.8,209.98,12427082.0
2017-11-14,213.0,214.8,211.23,214.18,13101484.0,0.0,1.0,213.0,214.8,211.23,214.18,13101484.0
2017-11-13,216.14,217.17,212.01,212.63,14398431.0,0.0,1.0,216.14,217.17,212.01,212.63,14398431.0
