Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,42.4,42.86,41.83,42.02,1694047.0,0.0,1.0,42.4,42.86,41.83,42.02,1694047.0
2018-03-26,41.86,42.465,41.35,42.4,1792564.0,0.0,1.0,41.86,42.465,41.35,42.4,1792564.0
2018-03-23,42.25,42.46,41.33,41.44,1397477.0,0.0,1.0,42.25,42.46,41.33,41.44,1397477.0
2018-03-22,42.85,43.25,42.13,42.13,1640432.0,0.0,1.0,42.85,43.25,42.13,42.13,1640432.0
2018-03-21,43.13,43.91,43.1,43.28,1384632.0,0.0,1.0,43.13,43.91,43.1,43.28,1384632.0
2018-03-20,43.54,43.75,42.3,43.0,2829604.0,0.0,1.0,43.54,43.75,42.3,43.0,2829604.0
2018-03-19,43.91,44.13,43.23,43.54,1854880.0,0.0,1.0,43.91,44.13,43.23,43.54,1854880.0
2018-03-16,43.49,44.37,43.49,44.14,2399327.0,0.0,1.0,43.49,44.37,43.49,44.14,2399327.0
2018-03-15,43.61,44.06,43.34,43.42,1665164.0,0.0,1.0,43.61,44.06,43.34,43.42,1665164.0
2018-03-14,45.14,45.25,43.3,43.46,2366922.0,0.0,1.0,45.14,45.25,43.3,43.46,2366922.0
2018-03-13,45.14,45.215,44.65,44.85,2055281.0,0.0,1.0,45.14,45.215,44.65,44.85,2055281.0
2018-03-12,44.75,45.7,44.51,44.82,1939343.0,0.0,1.0,44.75,45.7,44.51,44.82,1939343.0
2018-03-09,44.5,44.58,43.79,44.35,1413278.0,0.0,1.0,44.5,44.58,43.79,44.35,1413278.0
2018-03-08,44.28,44.36,43.67,44.34,1642690.0,0.0,1.0,44.28,44.36,43.67,44.34,1642690.0
2018-03-07,43.77,44.12,43.4,43.9,2279635.0,0.0,1.0,43.77,44.12,43.4,43.9,2279635.0
2018-03-06,45.39,45.42,43.86,44.33,2988803.0,0.0,1.0,45.39,45.42,43.86,44.33,2988803.0
2018-03-05,43.93,45.51,43.9,45.23,4832206.0,0.0,1.0,43.93,45.51,43.9,45.23,4832206.0
2018-03-02,44.56,44.65,43.48,44.2,4234000.0,0.0,1.0,44.56,44.65,43.48,44.2,4234000.0
2018-03-01,45.67,45.83,45.04,45.11,2721356.0,0.0,1.0,45.67,45.83,45.04,45.11,2721356.0
2018-02-28,45.61,45.94,45.2,45.38,2523982.0,0.0,1.0,45.61,45.94,45.2,45.38,2523982.0
2018-02-27,46.77,47.0,45.08,45.54,3571450.0,0.0,1.0,46.77,47.0,45.08,45.54,3571450.0
2018-02-26,47.12,47.36,46.43,46.63,8361944.0,0.0,1.0,47.12,47.36,46.43,46.63,8361944.0
2018-02-23,46.75,46.975,46.32,46.61,1093298.0,0.0,1.0,46.75,46.975,46.32,46.61,1093298.0
2018-02-22,46.5,47.04,46.14,46.67,2085225.0,0.0,1.0,46.5,47.04,46.14,46.67,2085225.0
2018-02-21,46.67,47.37,46.25,46.3,2471779.0,0.0,1.0,46.67,47.37,46.25,46.3,2471779.0
2018-02-20,46.92,47.02,46.155,46.64,2605388.0,0.0,1.0,46.92,47.02,46.155,46.64,2605388.0
2018-02-16,47.63,47.74,46.46,47.16,4339947.0,0.0,1.0,47.63,47.74,46.46,47.16,4339947.0
2018-02-15,48.17,48.37,47.215,47.65,2618395.0,0.0,1.0,48.17,48.37,47.215,47.65,2618395.0
2018-02-14,47.0,48.44,46.92,47.94,3212964.0,0.0,1.0,47.0,48.44,46.92,47.94,3212964.0
2018-02-13,47.81,48.04,47.0,47.25,2444506.0,0.0,1.0,47.81,48.04,47.0,47.25,2444506.0
2018-02-12,48.44,48.7599,47.42,48.35,1726260.0,0.0,1.0,48.44,48.7599,47.42,48.35,1726260.0
2018-02-09,48.13,48.9,46.87,47.83,3497811.0,0.0,1.0,48.13,48.9,46.87,47.83,3497811.0
2018-02-08,48.35,48.68,47.54,47.54,2521868.0,0.0,1.0,48.35,48.68,47.54,47.54,2521868.0
2018-02-07,48.3,49.05,48.02,48.48,2262973.0,0.0,1.0,48.3,49.05,48.02,48.48,2262973.0
2018-02-06,45.98,48.9,45.78,48.62,4325460.0,0.0,1.0,45.98,48.9,45.78,48.62,4325460.0
2018-02-05,46.99,47.7,46.0,46.4,4267833.0,0.0,1.0,46.99,47.7,46.0,46.4,4267833.0
2018-02-02,48.19,48.325,46.89,47.5,2695922.0,0.0,1.0,48.19,48.325,46.89,47.5,2695922.0
2018-02-01,47.77,48.9,47.71,48.68,3662294.0,0.0,1.0,47.77,48.9,47.71,48.68,3662294.0
2018-01-31,50.81,51.11,47.97,48.46,6203238.0,0.0,1.0,50.81,51.11,47.97,48.46,6203238.0
2018-01-30,51.56,52.46,49.8,50.84,11310601.0,0.0,1.0,51.56,52.46,49.8,50.84,11310601.0
2018-01-29,55.03,56.5,54.91,55.29,3384500.0,0.0,1.0,55.03,56.5,54.91,55.29,3384500.0
2018-01-26,54.8,55.25,54.5,55.15,1768798.0,0.0,1.0,54.8,55.25,54.5,55.15,1768798.0
2018-01-25,56.02,56.15,54.53,54.7,2459425.0,0.0,1.0,56.02,56.15,54.53,54.7,2459425.0
2018-01-24,54.25,56.26,54.06,55.95,5055096.0,0.0,1.0,54.25,56.26,54.06,55.95,5055096.0
2018-01-23,54.0,54.22,53.35,54.07,1625579.0,0.0,1.0,54.0,54.22,53.35,54.07,1625579.0
2018-01-22,54.61,54.96,52.99,53.81,2493581.0,0.0,1.0,54.61,54.96,52.99,53.81,2493581.0
2018-01-19,52.55,53.0,52.05,53.0,1579865.0,0.0,1.0,52.55,53.0,52.05,53.0,1579865.0
2018-01-18,52.05,52.89,52.0,52.34,1622329.0,0.0,1.0,52.05,52.89,52.0,52.34,1622329.0
2018-01-17,52.21,52.95,52.15,52.51,1673262.0,0.0,1.0,52.21,52.95,52.15,52.51,1673262.0
2018-01-16,53.81,54.3,51.55,51.98,4757942.0,0.0,1.0,53.81,54.3,51.55,51.98,4757942.0
2018-01-12,53.63,54.64,53.55,54.41,1957097.0,0.0,1.0,53.63,54.64,53.55,54.41,1957097.0
2018-01-11,52.19,53.83,52.05,53.63,3098490.0,0.0,1.0,52.19,53.83,52.05,53.63,3098490.0
2018-01-10,51.85,52.46,51.66,52.15,1334982.0,0.0,1.0,51.85,52.46,51.66,52.15,1334982.0
2018-01-09,51.83,52.62,51.52,52.27,2294554.0,0.0,1.0,51.83,52.62,51.52,52.27,2294554.0
2018-01-08,50.89,51.94,50.72,51.54,1740830.0,0.0,1.0,50.89,51.94,50.72,51.54,1740830.0
2018-01-05,51.08,51.08,50.27,50.97,2220424.0,0.0,1.0,51.08,51.08,50.27,50.97,2220424.0
2018-01-04,50.1,51.16,49.33,50.97,3136933.0,0.0,1.0,50.1,51.16,49.33,50.97,3136933.0
2018-01-03,50.38,51.06,49.77,50.1,6692459.0,0.0,1.0,50.38,51.06,49.77,50.1,6692459.0
2018-01-02,51.18,52.09,50.68,52.06,1583605.0,0.0,1.0,51.18,52.09,50.68,52.06,1583605.0
2017-12-29,51.49,51.775,50.87,50.88,1449509.0,0.0,1.0,51.49,51.775,50.87,50.88,1449509.0
2017-12-28,51.32,51.62,50.88,51.57,1105314.0,0.0,1.0,51.32,51.62,50.88,51.57,1105314.0
2017-12-27,51.78,52.1599,51.08,51.28,740093.0,0.0,1.0,51.78,52.1599,51.08,51.28,740093.0
2017-12-26,51.78,51.91,51.23,51.77,1461698.0,0.0,1.0,51.78,51.91,51.23,51.77,1461698.0
2017-12-22,51.84,52.245,51.27,51.84,1216569.0,0.0,1.0,51.84,52.245,51.27,51.84,1216569.0
2017-12-21,51.32,52.0,50.87,51.81,1588037.0,0.0,1.0,51.32,52.0,50.87,51.81,1588037.0
2017-12-20,51.29,51.51,50.68,50.71,1434879.0,0.0,1.0,51.29,51.51,50.68,50.71,1434879.0
2017-12-19,52.12,52.298,51.03,51.19,1558812.0,0.0,1.0,52.12,52.298,51.03,51.19,1558812.0
2017-12-18,51.36,51.86,50.84,51.65,1582017.0,0.0,1.0,51.36,51.86,50.84,51.65,1582017.0
2017-12-15,50.58,50.99,50.36,50.46,2434568.0,0.0,1.0,50.58,50.99,50.36,50.46,2434568.0
2017-12-14,51.03,51.03,50.0,50.02,1307070.0,0.0,1.0,51.03,51.03,50.0,50.02,1307070.0
2017-12-13,50.93,51.35,50.5,51.01,1274764.0,0.0,1.0,50.93,51.35,50.5,51.01,1274764.0
2017-12-12,50.78,51.43,50.25,51.02,1753318.0,0.0,1.0,50.78,51.43,50.25,51.02,1753318.0
2017-12-11,51.18,52.09,50.73,50.79,1752396.0,0.0,1.0,51.18,52.09,50.73,50.79,1752396.0
2017-12-08,51.12,51.31,50.41,51.19,1717862.0,0.0,1.0,51.12,51.31,50.41,51.19,1717862.0
2017-12-07,50.69,51.5164,50.45,51.18,1719241.0,0.0,1.0,50.69,51.5164,50.45,51.18,1719241.0
2017-12-06,50.47,51.08,49.97,50.88,2109123.0,0.0,1.0,50.47,51.08,49.97,50.88,2109123.0
2017-12-05,52.14,52.23,50.03,50.64,3320379.0,0.0,1.0,52.14,52.23,50.03,50.64,3320379.0
2017-12-04,50.35,52.15,50.25,51.81,3512712.0,0.0,1.0,50.35,52.15,50.25,51.81,3512712.0
2017-12-01,50.18,50.25,48.87,50.03,2479322.0,0.0,1.0,50.18,50.25,48.87,50.03,2479322.0
2017-11-30,48.95,50.29,48.67,50.2,2393890.0,0.0,1.0,48.95,50.29,48.67,50.2,2393890.0
2017-11-29,49.25,50.69,48.92,48.98,2951898.0,0.0,1.0,49.25,50.69,48.92,48.98,2951898.0
2017-11-28,47.65,49.27,47.45,49.25,2598344.0,0.0,1.0,47.65,49.27,47.45,49.25,2598344.0
2017-11-27,47.4,47.64,47.08,47.52,1087403.0,0.0,1.0,47.4,47.64,47.08,47.52,1087403.0
2017-11-24,47.7,47.72,47.2,47.4,587004.0,0.0,1.0,47.7,47.72,47.2,47.4,587004.0
2017-11-22,46.78,47.95,46.68,47.68,2185901.0,0.0,1.0,46.78,47.95,46.68,47.68,2185901.0
2017-11-21,46.77,47.03,46.01,46.68,2129347.0,0.0,1.0,46.77,47.03,46.01,46.68,2129347.0
2017-11-20,47.19,47.83,46.45,46.76,2672065.0,0.0,1.0,47.19,47.83,46.45,46.76,2672065.0
2017-11-17,47.82,47.96,46.49,47.25,3494363.0,0.0,1.0,47.82,47.96,46.49,47.25,3494363.0
2017-11-16,47.51,48.83,47.32,48.1,2570284.0,0.0,1.0,47.51,48.83,47.32,48.1,2570284.0
2017-11-15,46.81,47.53,46.46,47.47,2149654.0,0.0,1.0,46.81,47.53,46.46,47.47,2149654.0
2017-11-14,46.75,47.3,46.51,46.93,1488994.0,0.0,1.0,46.75,47.3,46.51,46.93,1488994.0
2017-11-13,47.06,47.19,46.61,46.88,2073671.0,0.0,1.0,47.06,47.19,46.61,46.88,2073671.0
2017-11-10,45.7,47.41,45.55,47.3,4136553.0,0.0,1.0,45.7,47.41,45.55,47.3,4136553.0
2017-11-09,45.12,45.93,44.53,45.85,2280931.0,0.0,1.0,45.12,45.93,44.53,45.85,2280931.0
2017-11-07,45.17,45.38,44.54,44.78,1896862.0,0.0,1.0,45.17,45.38,44.54,44.78,1896862.0
2017-11-06,47.0,47.05,44.99,45.15,3215458.0,0.0,1.0,47.0,47.05,44.99,45.15,3215458.0
2017-11-03,48.22,48.25,46.9,47.04,1937333.0,0.0,1.0,48.22,48.25,46.9,47.04,1937333.0
2017-11-02,47.6,48.434,47.17,48.32,1543634.0,0.0,1.0,47.6,48.434,47.17,48.32,1543634.0
2017-11-01,47.51,48.12,47.51,47.8,877542.0,0.0,1.0,47.51,48.12,47.51,47.8,877542.0
2017-10-31,47.2,47.39,46.53,47.34,2024493.0,0.0,1.0,47.2,47.39,46.53,47.34,2024493.0
2017-10-30,47.53,47.84,47.0,47.2,1870756.0,0.0,1.0,47.53,47.84,47.0,47.2,1870756.0
2017-10-27,48.78,48.78,47.72,47.84,1542229.0,0.0,1.0,48.78,48.78,47.72,47.84,1542229.0
2017-10-26,49.06,49.1,48.57,48.8,1166542.0,0.0,1.0,49.06,49.1,48.57,48.8,1166542.0
2017-10-25,49.14,49.37,48.19,48.91,3145500.0,0.0,1.0,49.14,49.37,48.19,48.91,3145500.0
2017-10-24,48.74,49.52,48.5738,49.47,1680790.0,0.0,1.0,48.74,49.52,48.5738,49.47,1680790.0
2017-10-23,49.65,49.71,48.4,48.51,2176082.0,0.0,1.0,49.65,49.71,48.4,48.51,2176082.0
2017-10-20,48.71,49.555,48.5,49.5,2882549.0,0.0,1.0,48.71,49.555,48.5,49.5,2882549.0
2017-10-19,48.0,48.25,47.475,48.09,1965267.0,0.0,1.0,48.0,48.25,47.475,48.09,1965267.0
2017-10-18,47.8,48.46,47.54,48.02,3861166.0,0.0,1.0,47.8,48.46,47.54,48.02,3861166.0
2017-10-17,45.75,48.57,45.25,47.52,13970406.0,0.0,1.0,45.75,48.57,45.25,47.52,13970406.0
2017-10-16,46.52,46.92,46.21,46.57,3879685.0,0.0,1.0,46.52,46.92,46.21,46.57,3879685.0
2017-10-13,46.42,46.72,45.59,46.62,2703812.0,0.0,1.0,46.42,46.72,45.59,46.62,2703812.0
2017-10-12,46.27,46.73,45.94,46.46,1877716.0,0.0,1.0,46.27,46.73,45.94,46.46,1877716.0
2017-10-11,46.29,46.5,45.61,46.27,1876480.0,0.0,1.0,46.29,46.5,45.61,46.27,1876480.0
2017-10-10,45.74,46.41,45.73,46.32,1631803.0,0.0,1.0,45.74,46.41,45.73,46.32,1631803.0
2017-10-09,46.3,46.58,45.6,45.78,1623248.0,0.0,1.0,46.3,46.58,45.6,45.78,1623248.0
2017-10-06,46.62,47.01,45.76,46.21,2666754.0,0.0,1.0,46.62,47.01,45.76,46.21,2666754.0
2017-10-05,48.81,48.95,46.51,46.85,3826339.0,0.0,1.0,48.81,48.95,46.51,46.85,3826339.0
2017-10-04,49.0,49.12,48.66,48.78,824872.0,0.0,1.0,49.0,49.12,48.66,48.78,824872.0
2017-10-03,48.75,48.99,48.53,48.95,646894.0,0.0,1.0,48.75,48.99,48.53,48.95,646894.0
2017-10-02,48.2,48.59,47.86,48.55,1197931.0,0.0,1.0,48.2,48.59,47.86,48.55,1197931.0
2017-09-29,48.93,49.04,48.155,48.21,1597598.0,0.0,1.0,48.93,49.04,48.155,48.21,1597598.0
2017-09-28,49.07,49.48,48.87,49.15,1237040.0,0.0,1.0,49.07,49.48,48.87,49.15,1237040.0
2017-09-27,49.7,50.28,49.2575,49.3,1325876.0,0.0,1.0,49.7,50.28,49.2575,49.3,1325876.0
2017-09-26,48.96,49.745,48.85,49.59,1127056.0,0.0,1.0,48.96,49.745,48.85,49.59,1127056.0
2017-09-25,48.26,49.14,48.2192,48.95,1322925.0,0.0,1.0,48.26,49.14,48.2192,48.95,1322925.0
2017-09-22,47.97,48.44,47.89,48.24,1028464.0,0.0,1.0,47.97,48.44,47.89,48.24,1028464.0
2017-09-21,48.29,48.67,47.95,47.96,1053212.0,0.0,1.0,48.29,48.67,47.95,47.96,1053212.0
2017-09-20,48.47,48.54,48.06,48.35,951921.0,0.0,1.0,48.47,48.54,48.06,48.35,951921.0
2017-09-19,48.62,48.75,48.06,48.14,1065662.0,0.0,1.0,48.62,48.75,48.06,48.14,1065662.0
2017-09-18,48.06,48.63,48.03,48.56,1213334.0,0.0,1.0,48.06,48.63,48.03,48.56,1213334.0
2017-09-15,48.72,48.72,46.98,48.01,3552591.0,0.0,1.0,48.72,48.72,46.98,48.01,3552591.0
2017-09-14,47.9,49.09,47.8,48.91,2057677.0,0.0,1.0,47.9,49.09,47.8,48.91,2057677.0
2017-09-13,47.35,48.0,47.105,47.96,1325636.0,0.0,1.0,47.35,48.0,47.105,47.96,1325636.0
2017-09-12,47.61,47.74,46.82,47.52,1108716.0,0.0,1.0,47.61,47.74,46.82,47.52,1108716.0
2017-09-11,47.26,47.65,47.22,47.57,1398804.0,0.365,1.0,47.26,47.65,47.22,47.57,1398804.0
2017-09-08,47.0,47.45,46.46,47.38,1131752.0,0.0,1.0,46.642119536873,47.088693021800005,46.106231354959995,47.019226035256004,1131752.0
2017-09-07,46.72,47.0,46.2,46.95,1991719.0,0.0,1.0,46.364251590696,46.642119536873,45.848211119224004,46.592500260769995,1991719.0
2017-09-06,46.05,46.81,45.57,46.65,2617535.0,0.0,1.0,45.699353290915006,46.453566287681,45.223008240325,46.294784604151,2617535.0
2017-09-05,47.12,47.12,45.53,45.93,3026299.0,0.0,1.0,46.76120579952,46.76120579952,45.183312819442996,45.580267028267,3026299.0
2017-09-01,47.25,47.6195,47.21,47.37,1222189.0,0.0,1.0,46.890215917388,47.256902367790005,46.85052049650601,47.009302180035,1222189.0
2017-08-31,47.33,47.51,46.87,47.01,1858750.0,0.0,1.0,46.969606759153,47.148236153123996,46.513109419005005,46.652043392093,1858750.0
2017-08-30,47.06,47.33,46.88,47.19,1150995.0,0.0,1.0,46.701662668197,46.969606759153,46.523033274225995,46.83067278606399,1150995.0
2017-08-29,46.8,47.1,46.6,47.07,1214346.0,0.0,1.0,46.443642432461004,46.741358089079,46.245165328048,46.711586523417,1214346.0
2017-08-28,47.76,47.94,46.97,47.06,1587770.0,0.0,1.0,47.396332533639004,47.57496192761,46.612347971211,46.701662668197,1587770.0
2017-08-25,47.36,48.01,47.31,47.72,2382763.0,0.0,1.0,46.999378324815,47.644428914155,46.949759048712,47.356637112757,2382763.0
2017-08-24,46.97,47.75,46.97,47.2,1570969.0,0.0,1.0,46.612347971211,47.386408678419,46.612347971211,46.840596641284996,1570969.0
2017-08-23,47.7,47.79,46.69,46.85,2046074.0,0.0,1.0,47.336789402316,47.42610409930101,46.334480025034,46.49326170856399,2046074.0
2017-08-22,47.5,48.12,47.3,47.97,1531865.0,0.0,1.0,47.138312297903006,47.753591321581,46.939835193491,47.604733493272,1531865.0
2017-08-21,46.88,47.32,46.59,47.22,1579928.0,0.0,1.0,46.523033274225995,46.959682903932,46.235241472827994,46.860444351725995,1579928.0
2017-08-18,47.0,47.18,46.21,46.88,2284415.0,0.0,1.0,46.642119536873,46.820748930844005,45.858134974445,46.523033274225995,2284415.0
2017-08-17,47.49,47.975,47.05,47.1,1303260.0,0.0,1.0,47.128388442683,47.609695420882,46.691738812976,46.741358089079,1303260.0
2017-08-16,47.91,48.18,47.48,47.55,1407948.0,0.0,1.0,47.545190361948,47.813134452905,47.11846458746199,47.187931574006,1407948.0
2017-08-15,47.95,48.0,47.64,47.68,818942.0,0.0,1.0,47.584885782831,47.634505058934,47.277246270992,47.316941691874,818942.0
2017-08-14,47.82,48.12,47.61,47.9,1404391.0,0.0,1.0,47.455875664962996,47.753591321581,47.24747470533,47.535266506728,1404391.0
2017-08-11,47.31,47.56,47.08,47.54,1923557.0,0.0,1.0,46.949759048712,47.197855429227,46.721510378638,47.178007718786,1923557.0
2017-08-10,47.44,47.67,47.12,47.32,3171967.0,0.0,1.0,47.07876916658,47.307017836654,46.76120579952,46.959682903932,3171967.0
2017-08-09,47.65,48.1,47.19,47.8,1636387.0,0.0,1.0,47.287170126213,47.73374361114001,46.83067278606399,47.436027954522,1636387.0
2017-08-08,47.91,48.17,47.61,47.81,1207991.0,0.0,1.0,47.545190361948,47.803210597684,47.24747470533,47.445951809742006,1207991.0
2017-08-07,48.35,48.4899,47.82,48.06,1853732.0,0.0,1.0,47.981839991654994,48.120674726192,47.455875664962996,47.694048190257995,1853732.0
2017-08-04,48.18,48.42,47.58,48.34,1584452.0,0.0,1.0,47.813134452905,48.051306978199996,47.217703139668,47.971916136435006,1584452.0
2017-08-03,47.83,48.2,47.55,47.99,2517700.0,0.0,1.0,47.465799520184,47.832982163346,47.187931574006,47.624581203713,2517700.0
2017-08-02,48.8,48.8,47.72,47.8,2685851.0,0.0,1.0,48.428413476583,48.428413476583,47.356637112757,47.436027954522,2685851.0
2017-08-01,48.76,49.04,48.48,48.86,1655234.0,0.0,1.0,48.3887180557,48.666586001878,48.110850109523,48.487956607907,1655234.0
2017-07-31,48.97,49.07,48.29,48.67,1770051.0,0.0,1.0,48.59711901533301,48.696357567538996,47.922296860332004,48.299403358715,1770051.0
2017-07-28,50.09,50.1099,48.51,48.86,2339554.0,0.0,1.0,49.708590800042,49.728339271931,48.140621675185,48.487956607907,2339554.0
2017-07-27,48.63,50.88,48.05,50.26,5183624.0,0.0,1.0,48.259707937832005,50.49257536247,47.684124335037005,49.877296338792,5183624.0
2017-07-26,48.16,48.72,47.97,48.64,3352328.0,0.0,1.0,47.793286742464,48.349022634818,47.604733493272,48.269631793052994,3352328.0
2017-07-25,48.72,48.88,47.95,48.14,2838942.0,0.0,1.0,48.349022634818,48.507804318348,47.584885782831,47.773439032023,2838942.0
2017-07-24,48.2,48.9,48.12,48.48,2906110.0,0.0,1.0,47.832982163346,48.52765202878899,47.753591321581,48.110850109523,2906110.0
2017-07-21,48.65,48.979,48.1101,48.26,2741978.0,0.0,1.0,48.279555648274005,48.60605048503199,47.74376670491299,47.89252529467,2741978.0
2017-07-20,48.83,49.69,48.59,48.77,4489459.0,0.0,1.0,48.458185042245,49.311636591217,48.22001251695,48.398641910921,4489459.0
2017-07-19,48.72,49.19,47.67,48.77,7339069.0,0.0,1.0,48.349022634818,48.81544383018699,47.307017836654,48.398641910921,7339069.0
2017-07-18,46.74,49.39,46.0,48.95,21027685.0,0.0,1.0,46.384099301137,49.013920934599,45.649734014812005,48.577271304891994,21027685.0
2017-07-17,51.65,52.31,51.64,52.0,3202504.0,0.0,1.0,51.256712214456996,51.911686659017,51.246788359236,51.604047147178,3202504.0
2017-07-14,51.4,51.95,51.11,51.62,2055526.0,0.0,1.0,51.008615833942,51.554427871075,50.720824032544,51.226940648795,2055526.0
2017-07-13,50.36,51.435,50.36,51.42,3264948.0,0.0,1.0,49.976534890998,51.043349327214,49.976534890998,51.028463544383,3264948.0
2017-07-12,50.69,51.61,49.98,50.35,5877690.0,0.0,1.0,50.304022113277995,51.217016793575,49.599428392615,49.966611035778,5877690.0
2017-07-11,52.55,52.6,51.76,51.99,2230987.0,0.0,1.0,52.149859184312,52.199478460415,51.365874621884004,51.594123291958,2230987.0
2017-07-10,52.45,52.95,52.32,52.49,1874809.0,0.0,1.0,52.050620632105996,52.546813393137,51.921610514238004,52.090316052988,1874809.0
2017-07-07,52.95,53.125,52.455,52.5,1768831.0,0.0,1.0,52.546813393137,52.720480859497,52.055582559715994,52.100239908209,1768831.0
2017-07-06,53.9,54.0,52.77,52.84,1874401.0,0.0,1.0,53.489579639095,53.588818191301,52.368183999166,52.43765098571,1874401.0
2017-07-05,54.77,54.93,53.93,53.93,2143522.0,0.0,1.0,54.352955043288,54.511736726818,53.519351204756,53.519351204756,2143522.0
2017-07-03,54.09,55.79,54.09,54.83,1697501.0,0.0,1.0,53.678132888286,55.365188275790004,53.678132888286,54.412498174610995,1697501.0
2017-06-30,54.29,54.76,54.0,54.02,2431094.0,0.0,1.0,53.876609992698,54.343031188066995,53.588818191301,53.608665901742,2431094.0
2017-06-29,54.85,54.98,53.63,54.08,2096910.0,0.0,1.0,54.432345885052996,54.561356002921,53.221635548137996,53.668209033066,2096910.0
2017-06-28,54.85,55.605,54.68,54.71,1789281.0,0.0,1.0,54.432345885052996,55.181596954209006,54.263640346302005,54.293411911964,1789281.0
2017-06-27,55.02,55.235,54.49,54.51,1490955.0,0.0,1.0,54.60105142380299,54.814414311046,54.075087097110995,54.094934807552,1490955.0
2017-06-26,55.75,56.55,54.09,55.1,3508757.0,0.0,1.0,55.325492854908,56.119401272557,53.678132888286,54.680442265568,3508757.0
2017-06-23,55.87,55.97,54.89,55.54,2887875.0,0.0,1.0,55.444579117555,55.543817669761,54.472041305935,55.117091895275,2887875.0
2017-06-22,55.88,56.95,55.82,56.23,2415290.0,0.0,1.0,55.454502972776005,56.516355481381,55.394959841452,55.801837905496996,2415290.0
2017-06-21,55.55,56.57,55.49,55.96,4286443.0,0.0,1.0,55.127015750495005,56.139248982998,55.067472619172,55.533893814540995,4286443.0
2017-06-20,55.57,56.12,55.44,55.51,1326708.0,0.0,1.0,55.146863460937006,55.692675498069995,55.017853343069,55.087320329613,1326708.0
2017-06-19,55.55,55.86,54.88,55.45,1514668.0,0.0,1.0,55.127015750495005,55.434655262334005,54.462117450715,55.027777198289,1514668.0
2017-06-16,55.13,56.09,54.64,55.49,3796856.0,0.0,1.0,54.71021383123,55.662903932408,54.22394492542,55.067472619172,3796856.0
2017-06-15,53.0,55.08,52.76,54.89,3495011.0,0.0,1.0,52.596432669239995,54.660594555127,52.358260143944996,54.472041305935,3495011.0
