Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,32.2,32.49,31.625,32.09,6272515.0,0.0,1.0,32.2,32.49,31.625,32.09,6272515.0
2018-03-26,31.87,32.08,31.49,32.03,2811044.0,0.0,1.0,31.87,32.08,31.49,32.03,2811044.0
2018-03-23,31.88,32.05,31.47,31.51,3935094.0,0.0,1.0,31.88,32.05,31.47,31.51,3935094.0
2018-03-22,32.14,32.435,31.81,31.82,1783775.0,0.0,1.0,32.14,32.435,31.81,31.82,1783775.0
2018-03-21,32.42,32.85,32.26,32.44,1829541.0,0.0,1.0,32.42,32.85,32.26,32.44,1829541.0
2018-03-20,32.71,32.92,32.4,32.41,1945034.0,0.0,1.0,32.71,32.92,32.4,32.41,1945034.0
2018-03-19,33.44,33.555,32.48,32.68,2146780.0,0.0,1.0,33.44,33.555,32.48,32.68,2146780.0
2018-03-16,33.53,33.79,33.4,33.5,3383321.0,0.0,1.0,33.53,33.79,33.4,33.5,3383321.0
2018-03-15,33.64,33.75,33.42,33.47,1549595.0,0.0,1.0,33.64,33.75,33.42,33.47,1549595.0
2018-03-14,33.69,33.92,33.43,33.54,1833105.0,0.0,1.0,33.69,33.92,33.43,33.54,1833105.0
2018-03-13,33.92,33.92,33.44,33.5,3066868.0,0.0,1.0,33.92,33.92,33.44,33.5,3066868.0
2018-03-12,33.52,34.12,33.49,33.92,2537248.0,0.0,1.0,33.52,34.12,33.49,33.92,2537248.0
2018-03-09,33.07,33.41,32.96,33.41,2158051.0,0.0,1.0,33.07,33.41,32.96,33.41,2158051.0
2018-03-08,32.8276,33.16,32.7,32.79,1978993.0,0.0,1.0,32.8276,33.16,32.7,32.79,1978993.0
2018-03-07,32.95,33.13,32.445,32.7,2790652.0,0.0,1.0,32.95,33.13,32.445,32.7,2790652.0
2018-03-06,32.97,33.4,32.93,33.28,2463816.0,0.0,1.0,32.97,33.4,32.93,33.28,2463816.0
2018-03-05,32.43,33.37,32.365,33.24,2783693.0,0.0,1.0,32.43,33.37,32.365,33.24,2783693.0
2018-03-02,32.11,32.72,31.9,32.68,2423136.0,0.0,1.0,32.11,32.72,31.9,32.68,2423136.0
2018-03-01,32.56,32.86,31.97,32.3,3147383.0,0.0,1.0,32.56,32.86,31.97,32.3,3147383.0
2018-02-28,33.23,33.42,32.61,32.63,3648112.0,0.0,1.0,33.23,33.42,32.61,32.63,3648112.0
2018-02-27,33.96,34.04,33.12,33.16,4379158.0,0.0,1.0,33.96,34.04,33.12,33.16,4379158.0
2018-02-26,33.33,33.8,33.13,33.79,3233022.0,0.0,1.0,33.33,33.8,33.13,33.79,3233022.0
2018-02-23,32.32,33.26,32.11,33.26,3472617.0,0.0,1.0,32.32,33.26,32.11,33.26,3472617.0
2018-02-22,32.7,32.9,31.99,32.01,3134904.0,0.0,1.0,32.7,32.9,31.99,32.01,3134904.0
2018-02-21,32.96,33.29,32.52,32.52,2105096.0,0.0,1.0,32.96,33.29,32.52,32.52,2105096.0
2018-02-20,33.5,33.64,33.02,33.11,3818581.0,0.0,1.0,33.5,33.64,33.02,33.11,3818581.0
2018-02-16,33.58,34.26,33.55,33.68,4960920.0,0.0,1.0,33.58,34.26,33.55,33.68,4960920.0
2018-02-15,33.13,33.61,32.85,33.6,4884890.0,0.0,1.0,33.13,33.61,32.85,33.6,4884890.0
2018-02-14,32.9,33.16,32.33,32.98,5363163.0,0.0,1.0,32.9,33.16,32.33,32.98,5363163.0
2018-02-13,33.52,33.58,32.95,33.06,5291303.0,0.0,1.0,33.52,33.58,32.95,33.06,5291303.0
2018-02-12,34.05,34.24,32.95,33.6,9287819.0,0.0,1.0,34.05,34.24,32.95,33.6,9287819.0
2018-02-09,34.24,35.11,33.5,33.7,12164299.0,0.0,1.0,34.24,35.11,33.5,33.7,12164299.0
2018-02-08,36.72,36.9,33.9,33.9,11748964.0,0.0,1.0,36.72,36.9,33.9,33.9,11748964.0
2018-02-07,36.79,37.93,36.75,37.56,6857311.0,0.0,1.0,36.79,37.93,36.75,37.56,6857311.0
2018-02-06,35.66,37.14,35.25,36.86,5627519.0,0.0,1.0,35.66,37.14,35.25,36.86,5627519.0
2018-02-05,37.22,37.58,36.07,36.08,4430325.0,0.0,1.0,37.22,37.58,36.07,36.08,4430325.0
2018-02-02,38.41,38.51,37.215,37.49,4004303.0,0.0,1.0,38.41,38.51,37.215,37.49,4004303.0
