Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,107.97,111.146,106.65,107.18,303031.0,0.0,1.0,107.97,111.146,106.65,107.18,303031.0
2018-03-26,108.09,108.11,106.57,107.9,517512.0,0.0,1.0,108.09,108.11,106.57,107.9,517512.0
2018-03-23,109.63,110.71,107.05,107.27,478261.0,0.0,1.0,109.63,110.71,107.05,107.27,478261.0
2018-03-22,110.52,112.04,109.42,109.51,256008.0,0.0,1.0,110.52,112.04,109.42,109.51,256008.0
2018-03-21,110.76,112.495,110.11,111.08,343861.0,0.0,1.0,110.76,112.495,110.11,111.08,343861.0
2018-03-20,112.37,112.98,110.0901,110.45,321780.0,0.0,1.0,112.37,112.98,110.0901,110.45,321780.0
2018-03-19,110.97,113.55,110.86,112.59,396264.0,0.0,1.0,110.97,113.55,110.86,112.59,396264.0
2018-03-16,110.9,112.155,110.52,111.14,821157.0,0.0,1.0,110.9,112.155,110.52,111.14,821157.0
2018-03-15,111.79,112.02,110.55,110.7,366291.0,0.0,1.0,111.79,112.02,110.55,110.7,366291.0
2018-03-14,112.0,112.16,110.795,111.57,451734.0,0.0,1.0,112.0,112.16,110.795,111.57,451734.0
2018-03-13,111.83,111.83,110.53,111.39,473747.0,0.0,1.0,111.83,111.83,110.53,111.39,473747.0
2018-03-12,111.26,112.39,110.39,111.81,303806.0,0.0,1.0,111.26,112.39,110.39,111.81,303806.0
2018-03-09,109.33,111.97,108.0,110.8,481321.0,0.0,1.0,109.33,111.97,108.0,110.8,481321.0
2018-03-08,111.31,111.6996,108.38,109.08,655846.0,0.0,1.0,111.31,111.6996,108.38,109.08,655846.0
2018-03-07,108.68,114.6,105.45,112.58,1258134.0,0.0,1.0,108.68,114.6,105.45,112.58,1258134.0
2018-03-06,111.47,112.35,110.27,111.16,779649.0,0.0,1.0,111.47,112.35,110.27,111.16,779649.0
2018-03-05,111.22,112.8215,110.255,111.55,452595.0,0.0,1.0,111.22,112.8215,110.255,111.55,452595.0
2018-03-02,111.64,112.25,109.44,111.9,451261.0,0.0,1.0,111.64,112.25,109.44,111.9,451261.0
2018-03-01,112.31,114.47,111.69,112.46,357414.0,0.0,1.0,112.31,114.47,111.69,112.46,357414.0
2018-02-28,114.01,114.15,112.3,112.31,237775.0,0.0,1.0,114.01,114.15,112.3,112.31,237775.0
2018-02-27,114.2,114.47,113.475,113.74,291968.0,0.0,1.0,114.2,114.47,113.475,113.74,291968.0
2018-02-26,112.16,114.7,111.61,113.81,396586.0,0.0,1.0,112.16,114.7,111.61,113.81,396586.0
2018-02-23,113.37,113.54,111.52,112.13,397733.0,0.0,1.0,113.37,113.54,111.52,112.13,397733.0
2018-02-22,113.96,114.305,112.51,112.72,268673.0,0.0,1.0,113.96,114.305,112.51,112.72,268673.0
2018-02-21,115.64,115.91,113.61,113.7,231754.0,0.0,1.0,115.64,115.91,113.61,113.7,231754.0
2018-02-20,115.93,116.75,114.3,115.35,375463.0,0.0,1.0,115.93,116.75,114.3,115.35,375463.0
2018-02-16,115.39,117.85,115.11,116.79,549084.0,0.0,1.0,115.39,117.85,115.11,116.79,549084.0
2018-02-15,114.42,115.2725,112.97,115.18,308439.0,0.0,1.0,114.42,115.2725,112.97,115.18,308439.0
2018-02-14,111.98,114.64,111.8,113.79,380309.0,0.0,1.0,111.98,114.64,111.8,113.79,380309.0
2018-02-13,110.83,112.84,110.06,112.53,368566.0,0.0,1.0,110.83,112.84,110.06,112.53,368566.0
2018-02-12,112.34,113.15,110.59,111.26,383734.0,0.0,1.0,112.34,113.15,110.59,111.26,383734.0
2018-02-09,113.5,114.11,109.0,111.9,340344.0,0.0,1.0,113.5,114.11,109.0,111.9,340344.0
2018-02-08,115.22,115.53,112.46,112.57,326202.0,0.0,1.0,115.22,115.53,112.46,112.57,326202.0
2018-02-07,114.85,116.88,114.56,115.03,339778.0,0.0,1.0,114.85,116.88,114.56,115.03,339778.0
2018-02-06,111.8,115.38,110.76,114.85,452389.0,0.0,1.0,111.8,115.38,110.76,114.85,452389.0
2018-02-05,116.21,117.165,112.7501,113.15,354466.0,0.0,1.0,116.21,117.165,112.7501,113.15,354466.0
2018-02-02,119.0,119.0,116.87,117.2,257793.0,0.0,1.0,119.0,119.0,116.87,117.2,257793.0
2018-02-01,120.77,121.29,118.15,119.96,354703.0,0.0,1.0,120.77,121.29,118.15,119.96,354703.0
2018-01-31,123.05,124.28,120.83,121.11,275026.0,0.0,1.0,123.05,124.28,120.83,121.11,275026.0
2018-01-30,123.66,123.66,122.05,123.0,381486.0,0.0,1.0,123.66,123.66,122.05,123.0,381486.0
