Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,601.05,602.05,587.5,590.75,25987.0,0.0,1.0,601.05,602.05,587.5,590.75,25987.0
2018-03-26,586.95,601.45,584.65,600.3,44110.0,0.0,1.0,586.95,601.45,584.65,600.3,44110.0
2018-03-23,595.8,595.8,578.2,582.9,21070.0,0.0,1.0,595.8,595.8,578.2,582.9,21070.0
2018-03-22,595.85,604.0,593.175,594.65,39267.0,0.0,1.0,595.85,604.0,593.175,594.65,39267.0
2018-03-21,594.9,600.0,594.0,598.45,10786.0,0.0,1.0,594.9,600.0,594.0,598.45,10786.0
2018-03-20,590.61,603.1,590.61,595.4,25914.0,0.0,1.0,590.61,603.1,590.61,595.4,25914.0
2018-03-19,595.15,601.0,589.35,594.5,45650.0,0.0,1.0,595.15,601.0,589.35,594.5,45650.0
2018-03-16,598.05,600.4,590.9,597.35,36491.0,0.0,1.0,598.05,600.4,590.9,597.35,36491.0
2018-03-15,601.15,602.0,595.7,597.15,22361.0,0.0,1.0,601.15,602.0,595.7,597.15,22361.0
2018-03-14,592.45,603.3,587.1,600.0,18135.0,0.0,1.0,592.45,603.3,587.1,600.0,18135.0
2018-03-13,605.0,605.0,586.9,589.1,24600.0,0.0,1.0,605.0,605.0,586.9,589.1,24600.0
2018-03-12,600.5,606.0,598.8,605.35,24508.0,0.0,1.0,600.5,606.0,598.8,605.35,24508.0
2018-03-09,600.1,603.375,597.275,599.8,23366.0,0.0,1.0,600.1,603.375,597.275,599.8,23366.0
2018-03-08,599.65,606.45,591.705,598.3,19242.0,0.0,1.0,599.65,606.45,591.705,598.3,19242.0
2018-03-07,583.6,603.25,580.25,598.15,42622.0,0.0,1.0,583.6,603.25,580.25,598.15,42622.0
2018-03-06,584.35,586.3,576.0,586.3,28565.0,0.0,1.0,584.35,586.3,576.0,586.3,28565.0
2018-03-05,573.1,583.85,573.1,581.85,20529.0,0.0,1.0,573.1,583.85,573.1,581.85,20529.0
2018-03-02,566.0,576.35,559.75,575.9,12598.0,0.0,1.0,566.0,576.35,559.75,575.9,12598.0
2018-03-01,580.95,581.3,566.0,568.85,25159.0,0.0,1.0,580.95,581.3,566.0,568.85,25159.0
2018-02-28,588.0,588.65,577.6,580.1,21046.0,0.0,1.0,588.0,588.65,577.6,580.1,21046.0
2018-02-27,588.3,593.75,582.325,584.85,31418.0,0.0,1.0,588.3,593.75,582.325,584.85,31418.0
2018-02-26,596.0,598.15,589.0,591.1,35045.0,0.0,1.0,596.0,598.15,589.0,591.1,35045.0
2018-02-23,589.75,601.45,587.0,601.45,9837.0,0.0,1.0,589.75,601.45,587.0,601.45,9837.0
2018-02-22,586.95,590.55,579.744,589.1,29147.0,0.0,1.0,586.95,590.55,579.744,589.1,29147.0
2018-02-21,595.95,598.95,584.85,585.65,17126.0,0.0,1.0,595.95,598.95,584.85,585.65,17126.0
2018-02-20,599.5,608.0,593.0,595.4,24051.0,0.0,1.0,599.5,608.0,593.0,595.4,24051.0
2018-02-16,601.85,603.9754,599.8,599.85,13780.0,0.0,1.0,601.85,603.9754,599.8,599.85,13780.0
2018-02-15,608.0,615.225,600.65,603.9,20098.0,0.0,1.0,608.0,615.225,600.65,603.9,20098.0
2018-02-14,582.75,607.4,575.1,603.95,14640.0,0.0,1.0,582.75,607.4,575.1,603.95,14640.0
2018-02-13,578.9,587.8,575.3,584.9,14755.0,0.0,1.0,578.9,587.8,575.3,584.9,14755.0
2018-02-12,579.45,584.4,576.35,579.25,27388.0,0.0,1.0,579.45,584.4,576.35,579.25,27388.0
2018-02-09,580.85,580.85,572.25,577.0,22421.0,0.0,1.0,580.85,580.85,572.25,577.0,22421.0
2018-02-08,583.65,585.6,577.4,577.7,19007.0,0.0,1.0,583.65,585.6,577.4,577.7,19007.0
2018-02-07,576.6,585.75,573.5,583.2,12218.0,0.0,1.0,576.6,585.75,573.5,583.2,12218.0
2018-02-06,571.9,585.05,571.1,579.0,28485.0,0.0,1.0,571.9,585.05,571.1,579.0,28485.0
2018-02-05,588.9,594.9,579.25,580.25,24705.0,0.0,1.0,588.9,594.9,579.25,580.25,24705.0
2018-02-02,597.55,599.175,588.7,591.15,29201.0,0.0,1.0,597.55,599.175,588.7,591.15,29201.0
2018-02-01,593.15,601.6,591.3,601.15,12377.0,0.0,1.0,593.15,601.6,591.3,601.15,12377.0
2018-01-31,590.1,595.9,590.1,594.45,14987.0,0.0,1.0,590.1,595.9,590.1,594.45,14987.0
2018-01-30,588.85,592.05,586.075,590.1,12896.0,0.0,1.0,588.85,592.05,586.075,590.1,12896.0
2018-01-29,590.75,596.85,587.5,591.75,19967.0,0.0,1.0,590.75,596.85,587.5,591.75,19967.0
2018-01-26,602.25,602.25,589.05,592.65,26068.0,0.0,1.0,602.25,602.25,589.05,592.65,26068.0
2018-01-25,592.45,601.05,590.0,600.75,25822.0,0.0,1.0,592.45,601.05,590.0,600.75,25822.0
2018-01-24,591.15,595.95,589.0,591.25,20079.0,0.0,1.0,591.15,595.95,589.0,591.25,20079.0
2018-01-23,584.0,592.9,582.55,591.15,21998.0,0.0,1.0,584.0,592.9,582.55,591.15,21998.0
2018-01-22,581.8,586.825,578.6,584.3,10433.0,0.0,1.0,581.8,586.825,578.6,584.3,10433.0
2018-01-19,582.9,583.95,578.25,581.8,8946.0,0.0,1.0,582.9,583.95,578.25,581.8,8946.0
2018-01-18,584.75,584.75,578.6,580.85,7505.0,0.0,1.0,584.75,584.75,578.6,580.85,7505.0
2018-01-17,583.5,586.2,580.9,583.45,10581.0,0.0,1.0,583.5,586.2,580.9,583.45,10581.0
2018-01-16,579.1,582.6,578.65,581.7,10165.0,0.0,1.0,579.1,582.6,578.65,581.7,10165.0
2018-01-12,567.35,578.45,567.35,577.05,16366.0,0.0,1.0,567.35,578.45,567.35,577.05,16366.0
2018-01-11,561.05,570.35,561.05,568.15,14722.0,0.0,1.0,561.05,570.35,561.05,568.15,14722.0
2018-01-10,560.5,562.45,556.355,560.15,5131.0,0.0,1.0,560.5,562.45,556.355,560.15,5131.0
2018-01-09,565.45,569.725,559.9278,561.9,11155.0,0.0,1.0,565.45,569.725,559.9278,561.9,11155.0
2018-01-08,566.55,567.25,563.45,563.55,6278.0,0.0,1.0,566.55,567.25,563.45,563.55,6278.0
2018-01-05,567.4,567.4,563.2,566.15,16148.0,0.0,1.0,567.4,567.4,563.2,566.15,16148.0
2018-01-04,569.7,572.625,565.0,566.3,18575.0,0.0,1.0,569.7,572.625,565.0,566.3,18575.0
2018-01-03,565.15,569.1,564.0,566.4,13400.0,0.0,1.0,565.15,569.1,564.0,566.4,13400.0
2018-01-02,561.7,564.55,559.825,562.95,18282.0,0.0,1.0,561.7,564.55,559.825,562.95,18282.0
2017-12-29,561.2,563.7,558.35,558.35,8936.0,0.0,1.0,561.2,563.7,558.35,558.35,8936.0
2017-12-28,562.9,567.0,559.55,560.35,14475.0,0.0,1.0,562.9,567.0,559.55,560.35,14475.0
2017-12-27,561.9,568.65,560.0,564.2,9543.0,0.0,1.0,561.9,568.65,560.0,564.2,9543.0
2017-12-26,558.2,564.875,558.2,562.3,9837.0,0.0,1.0,558.2,564.875,558.2,562.3,9837.0
2017-12-22,563.85,563.85,557.65,558.2,8768.0,0.0,1.0,563.85,563.85,557.65,558.2,8768.0
2017-12-21,566.3,574.55,560.8,562.3,15948.0,0.0,1.0,566.3,574.55,560.8,562.3,15948.0
2017-12-20,572.35,576.05,570.0,572.35,12774.0,0.0,1.0,572.35,576.05,570.0,572.35,12774.0
2017-12-19,580.15,580.15,573.9,574.25,12411.0,0.0,1.0,580.15,580.15,573.9,574.25,12411.0
2017-12-18,568.95,577.25,567.15,575.2,27082.0,0.0,1.0,568.95,577.25,567.15,575.2,27082.0
2017-12-15,567.45,568.25,558.85,565.85,39703.0,0.0,1.0,567.45,568.25,558.85,565.85,39703.0
2017-12-14,566.0,568.5,556.6,561.35,15413.0,0.0,1.0,566.0,568.5,556.6,561.35,15413.0
2017-12-13,569.6,569.6,558.85,561.3,12159.0,0.0,1.0,569.6,569.6,558.85,561.3,12159.0
2017-12-12,566.0,571.25,565.9,569.35,11988.0,0.0,1.0,566.0,571.25,565.9,569.35,11988.0
2017-12-11,564.55,566.3,562.05,565.6,11860.0,0.0,1.0,564.55,566.3,562.05,565.6,11860.0
2017-12-08,569.25,569.25,559.325,563.5,10645.0,0.0,1.0,569.25,569.25,559.325,563.5,10645.0
2017-12-07,569.2,571.25,567.2,567.55,8115.0,0.0,1.0,569.2,571.25,567.2,567.55,8115.0
2017-12-06,580.55,580.55,569.775,570.45,7738.0,0.0,1.0,580.55,580.55,569.775,570.45,7738.0
2017-12-05,579.15,583.0,578.95,580.45,11703.0,0.0,1.0,579.15,583.0,578.95,580.45,11703.0
2017-12-04,576.65,585.0,572.2,585.0,12755.0,0.0,1.0,576.65,585.0,572.2,585.0,12755.0
2017-12-01,582.0,582.0,569.45,571.5,9634.0,0.0,1.0,582.0,582.0,569.45,571.5,9634.0
2017-11-30,585.75,585.75,579.65,583.1,12791.0,0.0,1.0,585.75,585.75,579.65,583.1,12791.0
2017-11-29,578.0,587.0,573.35,584.1,22265.0,0.0,1.0,578.0,587.0,573.35,584.1,22265.0
2017-11-28,568.25,579.2,567.3,578.5,21445.0,0.0,1.0,568.25,579.2,567.3,578.5,21445.0
2017-11-27,565.9,568.8,564.35,567.35,8129.0,0.0,1.0,565.9,568.8,564.35,567.35,8129.0
2017-11-24,569.75,569.75,564.9,566.05,13410.0,0.0,1.0,569.75,569.75,564.9,566.05,13410.0
2017-11-22,567.9,570.45,564.35,567.75,8580.0,0.0,1.0,567.9,570.45,564.35,567.75,8580.0
2017-11-21,576.5,576.5,565.325,568.65,14257.0,0.0,1.0,576.5,576.5,565.325,568.65,14257.0
2017-11-20,566.85,576.85,564.5,575.45,16672.0,0.0,1.0,566.85,576.85,564.5,575.45,16672.0
2017-11-17,568.3,571.65,565.95,568.05,20206.0,0.0,1.0,568.3,571.65,565.95,568.05,20206.0
2017-11-16,558.15,572.075,558.15,570.3,18896.0,0.0,1.0,558.15,572.075,558.15,570.3,18896.0
2017-11-15,547.6,557.6,547.6,555.9,15707.0,0.0,1.0,547.6,557.6,547.6,555.9,15707.0
2017-11-14,553.45,554.9,549.9,550.85,9126.0,0.0,1.0,553.45,554.9,549.9,550.85,9126.0
2017-11-13,558.15,558.15,554.505,556.45,11006.0,0.0,1.0,558.15,558.15,554.505,556.45,11006.0
2017-11-10,555.45,565.5,554.375,558.65,12827.0,0.0,1.0,555.45,565.5,554.375,558.65,12827.0
2017-11-09,563.55,563.55,552.55,554.55,8800.0,0.0,1.0,563.55,563.55,552.55,554.55,8800.0
2017-11-07,542.55,553.6,537.7,553.6,20661.0,0.0,1.0,542.55,553.6,537.7,553.6,20661.0
2017-11-06,546.65,550.9,536.9,542.8,29845.0,0.0,1.0,546.65,550.9,536.9,542.8,29845.0
2017-11-03,553.0,554.6,546.0,548.0,19580.0,0.0,1.0,553.0,554.6,546.0,548.0,19580.0
2017-11-02,551.825,561.15,547.5,554.7,13957.0,0.0,1.0,551.825,561.15,547.5,554.7,13957.0
2017-11-01,559.8,565.0,546.3,554.85,13689.0,0.0,1.0,559.8,565.0,546.3,554.85,13689.0
2017-10-31,562.95,565.15,544.35,556.45,18183.0,0.0,1.0,562.95,565.15,544.35,556.45,18183.0
2017-10-30,575.0,579.8,561.6,562.8,35404.0,0.0,1.0,575.0,579.8,561.6,562.8,35404.0
2017-10-27,566.7,577.0,566.7,575.2,17350.0,0.0,1.0,566.7,577.0,566.7,575.2,17350.0
2017-10-26,559.4,569.35,559.4,566.0,12257.0,0.0,1.0,559.4,569.35,559.4,566.0,12257.0
2017-10-25,556.75,557.75,548.7,557.7,10623.0,0.0,1.0,556.75,557.75,548.7,557.7,10623.0
2017-10-24,560.25,560.375,553.85,558.25,13769.0,0.0,1.0,560.25,560.375,553.85,558.25,13769.0
2017-10-23,557.55,559.5,552.1,557.9,21882.0,0.0,1.0,557.55,559.5,552.1,557.9,21882.0
2017-10-20,557.95,557.95,555.25,556.2,7005.0,0.0,1.0,557.95,557.95,555.25,556.2,7005.0
2017-10-19,558.65,558.65,553.25,556.0,5993.0,0.0,1.0,558.65,558.65,553.25,556.0,5993.0
2017-10-18,554.15,562.1,552.1,562.1,9185.0,0.0,1.0,554.15,562.1,552.1,562.1,9185.0
2017-10-17,553.65,554.65,547.0,552.8,12221.0,0.0,1.0,553.65,554.65,547.0,552.8,12221.0
2017-10-16,561.15,561.15,550.1,553.35,19802.0,1.27,1.0,561.15,561.15,550.1,553.35,19802.0
2017-10-13,574.75,574.75,553.45,559.9,35139.0,0.0,1.0,573.43390519635,573.43390519635,552.1826791316599,558.6179095597,35139.0
2017-10-12,580.2,580.2,569.65,572.4,15631.0,0.0,1.0,578.87142548051,578.87142548051,568.3455834625499,571.08928635823,15631.0
2017-10-11,576.15,579.6,575.25,579.4,7775.0,0.0,1.0,574.8306993977901,578.27279939418,573.93276026829,578.0732573654,7775.0
2017-10-10,576.0,578.6,574.15,578.6,6873.0,0.0,1.0,574.6810428762001,577.2750892503,572.83527911002,577.2750892503,6873.0
2017-10-09,578.25,579.1,575.9,577.35,7365.0,0.0,1.0,576.92589069994,577.77394432224,574.58127186182,576.0279515704401,7365.0
2017-10-06,578.5,579.75,574.65,579.35,14166.0,0.0,1.0,577.1753182359099,578.42245591576,573.3341341819599,578.02337185821,14166.0
2017-10-05,581.1,582.65,576.2,578.6,10742.0,0.0,1.0,579.76936461,581.31581533302,574.88058490498,577.2750892503,10742.0
2017-10-04,588.2,590.0,580.9,582.1,12408.0,0.0,1.0,586.8531066315701,588.64898489056,579.56982258123,580.76707475389,12408.0
2017-10-03,593.3,593.3,583.175,589.4,13990.0,0.0,1.0,591.94142836537,591.94142836537,581.8396131585599,588.05035880423,13990.0
2017-10-02,586.0,594.1,586.0,592.75,15680.0,0.0,1.0,584.65814431503,592.73959648047,584.65814431503,591.39268778623,15680.0
2017-09-29,582.1,587.3,579.0,585.1,13100.0,0.0,1.0,580.76707475389,585.95516750207,577.6741733078501,583.76020518553,13100.0
