Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,71.93,72.52,69.94,70.37,5783654.0,0.0,1.0,71.93,72.52,69.94,70.37,5783654.0
2018-03-26,70.66,71.88,69.2204,71.7,7506729.0,0.0,1.0,70.66,71.88,69.2204,71.7,7506729.0
2018-03-23,70.55,71.14,69.77,70.16,5041004.0,0.0,1.0,70.55,71.14,69.77,70.16,5041004.0
2018-03-22,71.18,71.98,70.36,70.47,4587148.0,0.0,1.0,71.18,71.98,70.36,70.47,4587148.0
2018-03-21,72.2,72.82,71.57,71.68,5757593.0,0.0,1.0,72.2,72.82,71.57,71.68,5757593.0
2018-03-20,73.53,73.86,72.21,72.42,6193431.0,0.0,1.0,73.53,73.86,72.21,72.42,6193431.0
2018-03-19,75.78,75.85,72.88,72.99,7106409.0,0.0,1.0,75.78,75.85,72.88,72.99,7106409.0
2018-03-16,76.85,76.91,75.885,76.02,5306990.0,0.0,1.0,76.85,76.91,75.885,76.02,5306990.0
2018-03-15,76.62,77.03,76.0,76.33,3991631.0,0.0,1.0,76.62,77.03,76.0,76.33,3991631.0
2018-03-14,77.24,77.54,75.9,76.7,8336571.0,0.0,1.0,77.24,77.54,75.9,76.7,8336571.0
2018-03-13,78.52,78.73,76.71,77.0,7984443.0,0.0,1.0,78.52,78.73,76.71,77.0,7984443.0
2018-03-12,80.61,80.67,78.25,78.25,7014948.0,0.0,1.0,80.61,80.67,78.25,78.25,7014948.0
2018-03-09,80.0,81.13,79.66,80.75,9067144.0,0.0,1.0,80.0,81.13,79.66,80.75,9067144.0
2018-03-08,85.05,85.07,79.06,79.72,38570195.0,0.0,1.0,85.05,85.07,79.06,79.72,38570195.0
2018-03-07,73.75,74.34,72.51,73.42,5405606.0,0.0,1.0,73.75,74.34,72.51,73.42,5405606.0
2018-03-06,74.35,75.6,74.18,74.58,4048813.0,0.0,1.0,74.35,75.6,74.18,74.58,4048813.0
2018-03-05,74.3,75.59,74.22,74.76,3699342.0,0.0,1.0,74.3,75.59,74.22,74.76,3699342.0
2018-03-02,73.71,75.25,73.1852,74.77,3982436.0,0.0,1.0,73.71,75.25,73.1852,74.77,3982436.0
2018-03-01,75.26,76.15,73.42,74.07,4574508.0,0.0,1.0,75.26,76.15,73.42,74.07,4574508.0
2018-02-28,80.0,80.5,75.41,75.45,6889836.0,0.0,1.0,80.0,80.5,75.41,75.45,6889836.0
2018-02-27,77.57,79.65,76.56,78.64,5105971.0,0.0,1.0,77.57,79.65,76.56,78.64,5105971.0
2018-02-26,77.45,77.95,76.755,77.64,3987129.0,0.0,1.0,77.45,77.95,76.755,77.64,3987129.0
2018-02-23,75.33,77.12,74.77,77.0,3652324.0,0.0,1.0,75.33,77.12,74.77,77.0,3652324.0
2018-02-22,75.72,76.5,74.36,74.72,2396171.0,0.0,1.0,75.72,76.5,74.36,74.72,2396171.0
2018-02-21,76.05,77.19,75.82,75.83,3080191.0,0.0,1.0,76.05,77.19,75.82,75.83,3080191.0
2018-02-20,74.58,76.33,74.14,76.05,3922779.0,0.0,1.0,74.58,76.33,74.14,76.05,3922779.0
2018-02-16,74.19,75.64,74.11,75.23,2970392.0,0.0,1.0,74.19,75.64,74.11,75.23,2970392.0
2018-02-15,75.19,75.7,74.07,74.07,3235968.0,0.0,1.0,75.19,75.7,74.07,74.07,3235968.0
2018-02-14,73.13,75.08,72.795,74.93,3863178.0,0.0,1.0,73.13,75.08,72.795,74.93,3863178.0
2018-02-13,71.94,74.0536,71.41,73.59,3674491.0,0.0,1.0,71.94,74.0536,71.41,73.59,3674491.0
2018-02-12,72.1,73.71,72.07,72.89,3653999.0,0.0,1.0,72.1,73.71,72.07,72.89,3653999.0
2018-02-09,73.82,74.28,68.84,71.69,8612201.0,0.0,1.0,73.82,74.28,68.84,71.69,8612201.0
2018-02-08,74.73,75.9377,73.29,73.34,3232414.0,0.0,1.0,74.73,75.9377,73.29,73.34,3232414.0
2018-02-07,75.38,76.33,74.92,74.95,3662487.0,0.0,1.0,75.38,76.33,74.92,74.95,3662487.0
2018-02-06,73.76,76.13,72.95,75.94,6303347.0,0.0,1.0,73.76,76.13,72.95,75.94,6303347.0
2018-02-05,76.58,77.5,74.6,74.8999,3929197.0,0.0,1.0,76.58,77.5,74.6,74.8999,3929197.0
2018-02-02,77.61,78.23,76.44,76.5,3414739.0,0.0,1.0,77.61,78.23,76.44,76.5,3414739.0
2018-02-01,77.03,78.43,75.8,78.1,4228024.0,0.0,1.0,77.03,78.43,75.8,78.1,4228024.0
2018-01-31,80.0,80.33,78.46,79.18,5098131.0,0.0,1.0,80.0,80.33,78.46,79.18,5098131.0
2018-01-30,75.49,79.8,72.5701,79.305,11958136.0,0.0,1.0,75.49,79.8,72.5701,79.305,11958136.0
2018-01-29,81.24,83.485,81.0,81.92,3413738.0,0.0,1.0,81.24,83.485,81.0,81.92,3413738.0
2018-01-26,81.0,81.54,80.85,81.32,3693365.0,0.0,1.0,81.0,81.54,80.85,81.32,3693365.0
2018-01-25,81.15,81.1994,80.52,80.8,2281346.0,0.0,1.0,81.15,81.1994,80.52,80.8,2281346.0
2018-01-24,81.48,81.99,80.84,80.96,3600715.0,0.0,1.0,81.48,81.99,80.84,80.96,3600715.0
2018-01-23,80.66,81.665,80.5288,81.15,2603520.0,0.0,1.0,80.66,81.665,80.5288,81.15,2603520.0
2018-01-22,80.41,81.25,79.89,81.12,4546306.0,0.0,1.0,80.41,81.25,79.89,81.12,4546306.0
2018-01-19,80.27,80.7,79.61,80.22,3576247.0,0.0,1.0,80.27,80.7,79.61,80.22,3576247.0
2018-01-18,80.58,80.81,79.94,80.0,2735616.0,0.0,1.0,80.58,80.81,79.94,80.0,2735616.0
2018-01-17,80.97,81.025,80.45,80.78,3147930.0,0.0,1.0,80.97,81.025,80.45,80.78,3147930.0
2018-01-16,81.18,81.37,80.01,80.41,4270753.0,0.0,1.0,81.18,81.37,80.01,80.41,4270753.0
2018-01-12,80.57,81.755,80.15,80.87,3141192.0,0.0,1.0,80.57,81.755,80.15,80.87,3141192.0
2018-01-11,80.44,81.04,79.88,80.09,5042183.0,0.0,1.0,80.44,81.04,79.88,80.09,5042183.0
2018-01-10,79.25,80.76,78.9,80.35,6096245.0,0.0,1.0,79.25,80.76,78.9,80.35,6096245.0
2018-01-09,76.67,80.0,76.54,79.91,6898624.0,0.0,1.0,76.67,80.0,76.54,79.91,6898624.0
2018-01-08,75.93,76.67,75.29,76.56,2807824.0,0.0,1.0,75.93,76.67,75.29,76.56,2807824.0
2018-01-05,76.37,76.37,75.11,76.01,2468550.0,0.0,1.0,76.37,76.37,75.11,76.01,2468550.0
2018-01-04,75.89,76.32,75.08,76.08,3527734.0,0.0,1.0,75.89,76.32,75.08,76.08,3527734.0
2018-01-03,75.16,75.96,74.48100000000001,75.66,2877669.0,0.0,1.0,75.16,75.96,74.48100000000001,75.66,2877669.0
2018-01-02,74.99,76.02,74.8,75.23,2633751.0,0.0,1.0,74.99,76.02,74.8,75.23,2633751.0
2017-12-29,75.0,75.36,74.581,74.64,1711323.0,0.0,1.0,75.0,75.36,74.581,74.64,1711323.0
2017-12-28,75.0,75.13,74.66,74.99,1266503.0,0.0,1.0,75.0,75.13,74.66,74.99,1266503.0
2017-12-27,75.03,75.4,74.7,74.88,1261545.0,0.0,1.0,75.03,75.4,74.7,74.88,1261545.0
2017-12-26,74.73,75.64,74.53,74.99,2191813.0,0.0,1.0,74.73,75.64,74.53,74.99,2191813.0
2017-12-22,74.4,74.73,74.01100000000001,74.53,1372308.0,0.0,1.0,74.4,74.73,74.01100000000001,74.53,1372308.0
2017-12-21,74.34,74.86,73.76,74.46,3978676.0,0.0,1.0,74.34,74.86,73.76,74.46,3978676.0
2017-12-20,73.53,74.6,73.53,73.99,3502729.0,0.0,1.0,73.53,74.6,73.53,73.99,3502729.0
2017-12-19,73.64,74.67,73.52,73.66,5860244.0,0.0,1.0,73.64,74.67,73.52,73.66,5860244.0
2017-12-18,72.11,73.46,71.33,73.38,6808794.0,0.0,1.0,72.11,73.46,71.33,73.38,6808794.0
2017-12-15,71.25,72.11,68.78,71.55,8786136.0,0.0,1.0,71.25,72.11,68.78,71.55,8786136.0
2017-12-14,70.0,70.86,68.98,69.02,6135279.0,0.0,1.0,70.0,70.86,68.98,69.02,6135279.0
2017-12-13,68.91,69.3,67.97,68.57,3691861.0,0.0,1.0,68.91,69.3,67.97,68.57,3691861.0
2017-12-12,68.63,68.75,67.93,68.56,3063113.0,0.0,1.0,68.63,68.75,67.93,68.56,3063113.0
2017-12-11,68.0,68.63,67.73,68.39,4214019.0,0.0,1.0,68.0,68.63,67.73,68.39,4214019.0
2017-12-08,67.73,68.71,67.475,68.15,2939091.0,0.0,1.0,67.73,68.71,67.475,68.15,2939091.0
2017-12-07,68.37,68.7,67.32,67.41,3606408.0,0.0,1.0,68.37,68.7,67.32,67.41,3606408.0
2017-12-06,69.4,69.43,67.74,68.57,3656210.0,0.0,1.0,69.4,69.43,67.74,68.57,3656210.0
2017-12-05,68.0,68.27,66.75,67.84,5086355.0,0.0,1.0,68.0,68.27,66.75,67.84,5086355.0
2017-12-04,65.56,68.3,65.31,68.16,8756924.0,0.0,1.0,65.56,68.3,65.31,68.16,8756924.0
2017-12-01,64.19,64.8997,63.63,64.41,4640093.0,0.0,1.0,64.19,64.8997,63.63,64.41,4640093.0
2017-11-30,63.27,65.2,62.73,65.18,7364470.0,0.0,1.0,63.27,65.2,62.73,65.18,7364470.0
2017-11-29,61.6,64.68,61.3,62.86,5752965.0,0.0,1.0,61.6,64.68,61.3,62.86,5752965.0
2017-11-28,61.47,61.61,60.63,61.44,3540190.0,0.0,1.0,61.47,61.61,60.63,61.44,3540190.0
2017-11-27,61.18,61.62,60.75,61.47,3661600.0,0.0,1.0,61.18,61.62,60.75,61.47,3661600.0
2017-11-24,61.79,61.93,60.7,61.18,2111326.0,0.0,1.0,61.79,61.93,60.7,61.18,2111326.0
2017-11-22,61.22,62.7933,60.91,62.12,3195219.0,0.0,1.0,61.22,62.7933,60.91,62.12,3195219.0
2017-11-21,61.58,61.62,60.93,61.19,2835539.0,0.0,1.0,61.58,61.62,60.93,61.19,2835539.0
2017-11-20,61.78,61.84,61.08,61.42,2817634.0,0.0,1.0,61.78,61.84,61.08,61.42,2817634.0
2017-11-17,62.13,62.22,61.05,61.94,3022050.0,0.0,1.0,62.13,62.22,61.05,61.94,3022050.0
2017-11-16,60.54,62.9,60.2932,62.45,4452626.0,0.0,1.0,60.54,62.9,60.2932,62.45,4452626.0
2017-11-15,59.58,60.44,59.25,60.05,2586339.0,0.0,1.0,59.58,60.44,59.25,60.05,2586339.0
2017-11-14,60.67,60.69,59.17,60.25,2674780.0,0.0,1.0,60.67,60.69,59.17,60.25,2674780.0
2017-11-13,59.97,61.6,59.67,60.88,3427104.0,0.0,1.0,59.97,61.6,59.67,60.88,3427104.0
2017-11-10,60.52,60.55,59.47,60.05,3600905.0,0.0,1.0,60.52,60.55,59.47,60.05,3600905.0
2017-11-09,60.99,61.32,60.41,60.75,2517081.0,0.0,1.0,60.99,61.32,60.41,60.75,2517081.0
2017-11-07,60.81,60.97,60.1411,60.6,2436572.0,0.0,1.0,60.81,60.97,60.1411,60.6,2436572.0
2017-11-06,60.43,60.871,60.08,60.62,2201299.0,0.0,1.0,60.43,60.871,60.08,60.62,2201299.0
