Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,52.42,52.9007,51.79,52.13,3351239.0,0.0,1.0,52.42,52.9007,51.79,52.13,3351239.0
2018-03-26,51.26,52.565,51.01,52.37,4572513.0,0.0,1.0,51.26,52.565,51.01,52.37,4572513.0
2018-03-23,51.66,51.97,50.04,50.15,3178185.0,0.0,1.0,51.66,51.97,50.04,50.15,3178185.0
2018-03-22,53.0,53.15,50.42,51.41,2933457.0,0.0,1.0,53.0,53.15,50.42,51.41,2933457.0
2018-03-21,53.2,53.93,52.81,53.53,2819536.0,0.0,1.0,53.2,53.93,52.81,53.53,2819536.0
2018-03-20,53.51,54.04,53.0,53.2,2836092.0,0.0,1.0,53.51,54.04,53.0,53.2,2836092.0
2018-03-19,54.5,54.59,52.89,53.22,2990410.0,0.0,1.0,54.5,54.59,52.89,53.22,2990410.0
2018-03-16,54.46,55.165,54.29,54.57,3700978.0,0.0,1.0,54.46,55.165,54.29,54.57,3700978.0
2018-03-15,54.8,54.97,54.35,54.42,2529154.0,0.0,1.0,54.8,54.97,54.35,54.42,2529154.0
2018-03-14,55.36,55.42,54.44,54.75,2977807.0,0.0,1.0,55.36,55.42,54.44,54.75,2977807.0
2018-03-13,55.3,55.64,54.9,55.0,2845386.0,0.0,1.0,55.3,55.64,54.9,55.0,2845386.0
2018-03-12,55.51,55.8199,54.9,54.98,3262246.0,0.0,1.0,55.51,55.8199,54.9,54.98,3262246.0
2018-03-09,55.05,55.32,54.37,55.24,3872745.0,0.0,1.0,55.05,55.32,54.37,55.24,3872745.0
2018-03-08,55.0,55.38,54.56,54.9,3544686.0,0.0,1.0,55.0,55.38,54.56,54.9,3544686.0
2018-03-07,56.04,56.18,54.28,55.0,7476810.0,0.0,1.0,56.04,56.18,54.28,55.0,7476810.0
2018-03-06,58.34,58.605,57.19,57.7,4452804.0,0.0,1.0,58.34,58.605,57.19,57.7,4452804.0
2018-03-05,58.11,59.17,58.05,58.94,1993546.0,0.0,1.0,58.11,59.17,58.05,58.94,1993546.0
2018-03-02,57.99,58.67,57.68,58.47,1931886.0,0.0,1.0,57.99,58.67,57.68,58.47,1931886.0
2018-03-01,59.64,59.8656,57.953,58.36,2243668.0,0.0,1.0,59.64,59.8656,57.953,58.36,2243668.0
2018-02-28,60.47,60.74,59.56,59.59,2354380.0,0.0,1.0,60.47,60.74,59.56,59.59,2354380.0
2018-02-27,60.6,61.3,60.16,60.16,1824087.0,0.0,1.0,60.6,61.3,60.16,60.16,1824087.0
2018-02-26,59.85,60.75,59.52,60.57,1453564.0,0.0,1.0,59.85,60.75,59.52,60.57,1453564.0
2018-02-23,58.71,59.52,58.42,59.5,2237071.0,0.0,1.0,58.71,59.52,58.42,59.5,2237071.0
2018-02-22,58.74,59.08,58.16,58.31,1437342.0,0.0,1.0,58.74,59.08,58.16,58.31,1437342.0
2018-02-21,58.0,59.5,57.8,58.4,2282198.0,0.0,1.0,58.0,59.5,57.8,58.4,2282198.0
2018-02-20,58.23,59.05,57.86,58.0,2794752.0,0.0,1.0,58.23,59.05,57.86,58.0,2794752.0
2018-02-16,58.44,59.58,58.29,58.94,2312692.0,0.0,1.0,58.44,59.58,58.29,58.94,2312692.0
2018-02-15,58.84,58.9705,57.83,58.6,2865144.0,0.0,1.0,58.84,58.9705,57.83,58.6,2865144.0
2018-02-14,57.57,58.5,57.43,58.38,2029129.0,0.0,1.0,57.57,58.5,57.43,58.38,2029129.0
2018-02-13,57.7,58.14,57.02,58.03,2240432.0,0.0,1.0,57.7,58.14,57.02,58.03,2240432.0
2018-02-12,57.61,58.3099,57.16,57.88,2558583.0,0.0,1.0,57.61,58.3099,57.16,57.88,2558583.0
2018-02-09,56.95,57.74,55.13,57.2,3340114.0,0.0,1.0,56.95,57.74,55.13,57.2,3340114.0
2018-02-08,59.15,59.22,56.0,56.05,3701703.0,0.0,1.0,59.15,59.22,56.0,56.05,3701703.0
2018-02-07,59.33,60.5995,59.1322,59.25,3841289.0,0.0,1.0,59.33,60.5995,59.1322,59.25,3841289.0
2018-02-06,58.53,59.76,57.2824,59.57,4303469.0,0.0,1.0,58.53,59.76,57.2824,59.57,4303469.0
2018-02-05,61.83,62.83,59.235,59.44,3375937.0,0.0,1.0,61.83,62.83,59.235,59.44,3375937.0
2018-02-02,61.49,62.95,61.26,62.17,4197376.0,0.0,1.0,61.49,62.95,61.26,62.17,4197376.0
2018-02-01,62.89,63.32,61.36,61.67,4267529.0,0.0,1.0,62.89,63.32,61.36,61.67,4267529.0
2018-01-31,63.34,63.49,62.41,62.86,4818749.0,0.0,1.0,63.34,63.49,62.41,62.86,4818749.0
2018-01-30,64.42,65.07,63.66,64.2,2408523.0,0.0,1.0,64.42,65.07,63.66,64.2,2408523.0
2018-01-29,66.94,66.94,64.95,65.08,3725829.0,0.0,1.0,66.94,66.94,64.95,65.08,3725829.0
2018-01-26,63.55,66.73,63.25,64.75,3093288.0,0.0,1.0,63.55,66.73,63.25,64.75,3093288.0
2018-01-25,63.84,64.07,63.21,63.4,1598210.0,0.0,1.0,63.84,64.07,63.21,63.4,1598210.0
2018-01-24,63.62,64.31,63.41,63.66,1750198.0,0.0,1.0,63.62,64.31,63.41,63.66,1750198.0
2018-01-23,63.14,63.57,62.99,63.32,1680954.0,0.0,1.0,63.14,63.57,62.99,63.32,1680954.0
2018-01-22,63.32,63.53,62.76,63.46,1914700.0,0.0,1.0,63.32,63.53,62.76,63.46,1914700.0
2018-01-19,62.89,63.7069,62.8,63.5,3077436.0,0.0,1.0,62.89,63.7069,62.8,63.5,3077436.0
2018-01-18,61.24,62.82,61.16,62.62,4359842.0,0.0,1.0,61.24,62.82,61.16,62.62,4359842.0
2018-01-17,61.59,61.79,61.32,61.49,1547011.0,0.0,1.0,61.59,61.79,61.32,61.49,1547011.0
2018-01-16,62.1,62.29,60.88,61.23,1825599.0,0.0,1.0,62.1,62.29,60.88,61.23,1825599.0
2018-01-12,62.37,62.43,61.71,62.26,2226553.0,0.0,1.0,62.37,62.43,61.71,62.26,2226553.0
2018-01-11,62.07,62.23,61.69,62.23,1238152.0,0.0,1.0,62.07,62.23,61.69,62.23,1238152.0
2018-01-10,61.53,61.96,61.28,61.62,1341461.0,0.0,1.0,61.53,61.96,61.28,61.62,1341461.0
2018-01-09,62.19,62.37,61.34,61.49,2484369.0,0.0,1.0,62.19,62.37,61.34,61.49,2484369.0
2018-01-08,61.8,62.44,61.65,62.13,2454444.0,0.0,1.0,61.8,62.44,61.65,62.13,2454444.0
2018-01-05,61.87,61.89,61.46,61.7,1730978.0,0.0,1.0,61.87,61.89,61.46,61.7,1730978.0
2018-01-04,60.88,61.88,60.73,61.58,2454051.0,0.0,1.0,60.88,61.88,60.73,61.58,2454051.0
2018-01-03,59.95,60.83,59.79,60.56,2705527.0,0.0,1.0,59.95,60.83,59.79,60.56,2705527.0
2018-01-02,58.7,59.8358,58.26,59.77,3111362.0,0.0,1.0,58.7,59.8358,58.26,59.77,3111362.0
2017-12-29,57.99,58.25,57.63,57.94,1562882.0,0.0,1.0,57.99,58.25,57.63,57.94,1562882.0
2017-12-28,57.71,57.83,57.25,57.83,1007328.0,0.0,1.0,57.71,57.83,57.25,57.83,1007328.0
2017-12-27,57.67,57.93,57.47,57.65,904600.0,0.0,1.0,57.67,57.93,57.47,57.65,904600.0
2017-12-26,58.03,58.26,57.4,57.49,1303139.0,0.0,1.0,58.03,58.26,57.4,57.49,1303139.0
2017-12-22,57.595,58.14,57.4011,57.98,1228632.0,0.0,1.0,57.595,58.14,57.4011,57.98,1228632.0
2017-12-21,57.87,58.1,57.435,57.48,1335186.0,0.0,1.0,57.87,58.1,57.435,57.48,1335186.0
2017-12-20,58.02,58.18,57.84,57.97,1838587.0,0.0,1.0,58.02,58.18,57.84,57.97,1838587.0
2017-12-19,57.54,58.21,57.46,57.76,3098622.0,0.0,1.0,57.54,58.21,57.46,57.76,3098622.0
2017-12-18,56.73,57.57,56.55,57.41,2873345.0,0.0,1.0,56.73,57.57,56.55,57.41,2873345.0
2017-12-15,56.05,56.46,55.77,56.25,4653182.0,0.0,1.0,56.05,56.46,55.77,56.25,4653182.0
2017-12-14,56.375,56.73,55.18,55.18,2201026.0,0.0,1.0,56.375,56.73,55.18,55.18,2201026.0
2017-12-13,56.68,57.21,56.47,56.48,1584623.0,0.0,1.0,56.68,57.21,56.47,56.48,1584623.0
2017-12-12,57.4,57.4,56.54,56.63,2582139.0,0.0,1.0,57.4,57.4,56.54,56.63,2582139.0
2017-12-11,56.86,57.43,56.65,57.32,2628337.0,0.0,1.0,56.86,57.43,56.65,57.32,2628337.0
2017-12-08,56.92,57.23,56.66,56.91,1294082.0,0.0,1.0,56.92,57.23,56.66,56.91,1294082.0
2017-12-07,56.75,57.1,56.55,56.8,1198462.0,0.0,1.0,56.75,57.1,56.55,56.8,1198462.0
2017-12-06,56.95,57.25,56.69,56.8,1378071.0,0.0,1.0,56.95,57.25,56.69,56.8,1378071.0
2017-12-05,56.96,57.34,56.42,56.92,2295818.0,0.0,1.0,56.96,57.34,56.42,56.92,2295818.0
2017-12-04,56.0,57.28,55.72,56.88,2457494.0,0.0,1.0,56.0,57.28,55.72,56.88,2457494.0
2017-12-01,56.54,56.55,54.7721,55.63,2807824.0,0.0,1.0,56.54,56.55,54.7721,55.63,2807824.0
2017-11-30,55.53,56.93,55.38,56.61,2825834.0,0.0,1.0,55.53,56.93,55.38,56.61,2825834.0
2017-11-29,55.54,55.7706,55.0,55.52,2317147.0,0.0,1.0,55.54,55.7706,55.0,55.52,2317147.0
2017-11-28,55.34,55.62,55.0,55.58,2301700.0,0.0,1.0,55.34,55.62,55.0,55.58,2301700.0
2017-11-27,54.91,55.2,54.63,55.04,1560397.0,0.0,1.0,54.91,55.2,54.63,55.04,1560397.0
2017-11-24,54.98,55.45,54.73,54.92,566999.0,0.0,1.0,54.98,55.45,54.73,54.92,566999.0
2017-11-22,54.85,55.07,54.61,54.75,1085762.0,0.0,1.0,54.85,55.07,54.61,54.75,1085762.0
