Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,33.13,33.14,31.72,31.95,1192401.0,0.0,1.0,33.13,33.14,31.72,31.95,1192401.0
2018-03-26,32.87,33.24,32.38,33.0,996171.0,0.0,1.0,32.87,33.24,32.38,33.0,996171.0
2018-03-23,32.18,33.255,32.0,32.64,1238367.0,0.0,1.0,32.18,33.255,32.0,32.64,1238367.0
2018-03-22,32.83,32.9602,32.0,32.0,1022497.0,0.0,1.0,32.83,32.9602,32.0,32.0,1022497.0
2018-03-21,33.44,33.4802,32.57,33.0,1074562.0,0.0,1.0,33.44,33.4802,32.57,33.0,1074562.0
2018-03-20,34.25,34.25,33.28,33.58,727144.0,0.0,1.0,34.25,34.25,33.28,33.58,727144.0
2018-03-19,34.35,34.41,33.94,34.14,625794.0,0.0,1.0,34.35,34.41,33.94,34.14,625794.0
2018-03-16,34.37,34.65,34.1152,34.52,817816.0,0.0,1.0,34.37,34.65,34.1152,34.52,817816.0
2018-03-15,35.16,35.39,33.91,34.3,788149.0,0.0,1.0,35.16,35.39,33.91,34.3,788149.0
2018-03-14,35.56,35.57,34.98,35.16,474527.0,0.0,1.0,35.56,35.57,34.98,35.16,474527.0
2018-03-13,35.77,35.93,35.19,35.35,782713.0,0.0,1.0,35.77,35.93,35.19,35.35,782713.0
2018-03-12,35.66,36.15,35.375,35.73,901509.0,0.0,1.0,35.66,36.15,35.375,35.73,901509.0
2018-03-09,35.52,35.74,35.28,35.53,569279.0,0.0,1.0,35.52,35.74,35.28,35.53,569279.0
2018-03-08,35.54,35.7,35.01,35.31,441221.0,0.0,1.0,35.54,35.7,35.01,35.31,441221.0
2018-03-07,35.69,35.81,35.37,35.5,880047.0,0.0,1.0,35.69,35.81,35.37,35.5,880047.0
2018-03-06,35.59,35.85,35.12,35.84,1020860.0,0.0,1.0,35.59,35.85,35.12,35.84,1020860.0
2018-03-05,34.94,35.7625,34.92,35.57,975941.0,0.0,1.0,34.94,35.7625,34.92,35.57,975941.0
2018-03-02,33.88,34.9,33.801,34.75,671475.0,0.0,1.0,33.88,34.9,33.801,34.75,671475.0
2018-03-01,34.74,35.01,34.01,34.09,1177655.0,0.0,1.0,34.74,35.01,34.01,34.09,1177655.0
2018-02-28,35.14,35.2553,34.37,34.78,2125847.0,0.0,1.0,35.14,35.2553,34.37,34.78,2125847.0
2018-02-27,35.02,35.3099,34.81,34.96,1206181.0,0.0,1.0,35.02,35.3099,34.81,34.96,1206181.0
2018-02-26,34.65,35.29,34.41,35.04,713921.0,0.0,1.0,34.65,35.29,34.41,35.04,713921.0
2018-02-23,34.21,34.935,33.86,34.85,1309836.0,0.0,1.0,34.21,34.935,33.86,34.85,1309836.0
2018-02-22,33.95,34.235,33.62,33.71,1091003.0,0.0,1.0,33.95,34.235,33.62,33.71,1091003.0
