Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,161.77,163.85,157.6,159.0,1792127.0,0.0,1.0,161.77,163.85,157.6,159.0,1792127.0
2018-03-26,159.88,162.58,159.57,161.71,1921225.0,0.0,1.0,159.88,162.58,159.57,161.71,1921225.0
2018-03-23,160.49,161.64,157.98,158.12,2038068.0,0.0,1.0,160.49,161.64,157.98,158.12,2038068.0
2018-03-22,163.5,165.51,159.73,160.16,1555706.0,0.0,1.0,163.5,165.51,159.73,160.16,1555706.0
2018-03-21,164.31,166.967,163.6301,164.5,1180152.0,0.0,1.0,164.31,166.967,163.6301,164.5,1180152.0
2018-03-20,164.29,165.82,163.9754,164.18,943823.0,0.0,1.0,164.29,165.82,163.9754,164.18,943823.0
2018-03-19,165.07,165.57,162.09,163.54,1351283.0,0.0,1.0,165.07,165.57,162.09,163.54,1351283.0
2018-03-16,165.4,166.9,163.61,165.12,7645863.0,0.0,1.0,165.4,166.9,163.61,165.12,7645863.0
2018-03-15,163.01,167.38,160.82,165.39,2182164.0,0.0,1.0,163.01,167.38,160.82,165.39,2182164.0
2018-03-14,165.65,165.9899,162.39,162.95,2235064.0,0.0,1.0,165.65,165.9899,162.39,162.95,2235064.0
2018-03-13,169.06,169.86,164.23,164.81,2293624.0,0.0,1.0,169.06,169.86,164.23,164.81,2293624.0
2018-03-12,171.13,171.65,167.85,169.18,1654748.0,0.0,1.0,171.13,171.65,167.85,169.18,1654748.0
2018-03-09,169.76,171.7054,168.805,171.42,1942883.0,0.0,1.0,169.76,171.7054,168.805,171.42,1942883.0
2018-03-08,168.69,169.23,166.93,168.44,1522583.0,0.0,1.0,168.69,169.23,166.93,168.44,1522583.0
2018-03-07,168.02,168.83,166.04,168.58,1358081.0,0.0,1.0,167.324635213,168.131282961,165.352829609,167.882317607,1358081.0
2018-03-06,169.07,170.3,166.46,169.59,1610330.0,0.0,1.0,168.370289701,169.595199243,165.771091404,168.888137637,1610330.0
2018-03-05,165.35,170.13,164.9,168.49,1945960.0,0.0,1.0,164.665685231,169.425902802,164.217547594,167.79269007899998,1945960.0
2018-03-02,161.56,166.385,161.56,166.26,1605000.0,0.0,1.0,160.891370462,165.69640179700002,160.891370462,165.57191912,1605000.0
2018-03-01,166.37,166.99,161.28,162.26,1415414.0,0.0,1.0,165.681463876,166.29889795399998,160.612529266,161.588473454,1415414.0
2018-02-28,166.78,168.82,165.6251,166.16,1589048.0,0.0,1.0,166.78,168.82,165.6251,166.16,1589048.0
2018-02-27,167.24,169.52,166.5,166.69,1570030.0,0.0,1.0,167.24,169.52,166.5,166.69,1570030.0
2018-02-26,164.52,166.95,163.6,166.9,1211295.0,0.0,1.0,164.52,166.95,163.6,166.9,1211295.0
